id,eta_A1_SAEM,eta_tau1_SAEM,eta_A2_SAEM,eta_tau2_SAEM
21,0.0710131,-2.0744,0.19525,-0.140376
30,-0.071768,-2.50259,0.191983,0.583899
31,-0.454641,2.88718,-0.370479,1.91309
32,0.0333123,0.388495,-0.0237912,-0.188355
33,0.0928941,-0.75556,0.0897378,-0.375738
34,-0.253668,1.45599,-0.193716,1.09033
35,0.142172,-0.511834,0.0827635,-0.639532
36,0.0463106,-0.290538,0.0375161,-0.20326
37,0.340055,-0.935822,0.173395,-1.53841
38,-0.0646146,-0.624207,0.0348372,0.380085
39,-0.112639,0.735445,-0.0934497,0.467109
22,0.349995,-0.809075,0.165284,-1.58708
40,0.196325,-0.414984,0.0894876,-0.900114
41,0.0392366,-0.550211,0.0575505,-0.14142
42,-0.051044,-0.0439549,-0.0104425,0.25064
23,0.191544,-0.611628,0.105044,-0.877458
24,-0.130837,0.430806,-0.0725842,0.576208
25,0.0872403,-0.178009,0.0393108,-0.406563
26,-0.424673,2.94019,-0.366612,1.76096
27,0.203121,-0.21548,0.0745856,-0.960199
28,-0.3258,1.89125,-0.250462,1.39319
29,0.090825,-0.301674,0.0506636,-0.404118
