id,A1_SAEM,tau1_SAEM,A2_SAEM,tau2_SAEM
21,0.206954,1.31094,0.385075,101.867
30,0.196443,1.56012,0.363681,140.513
31,0.127356,8.07963,0.214034,2489.21
32,0.205525,2.99004,0.305635,241.951
33,0.217206,1.98922,0.342905,139.527
34,0.157848,4.64699,0.259024,783.391
35,0.227518,2.02035,0.342306,125.715
36,0.203597,2.15926,0.333865,177.992
37,0.278851,1.83664,0.363641,65.6872
38,0.191506,2.32126,0.324744,224.161
39,0.175742,3.32562,0.290206,411.843
22,0.32238,2.97888,0.32045,75.8467
40,0.253051,2.7351,0.325795,123.969
41,0.213529,2.46187,0.325719,177.123
42,0.191438,2.67626,0.312057,259.969
23,0.24855,2.23904,0.336848,110.779
24,0.175811,3.34863,0.290112,408.769
25,0.219713,2.56716,0.324904,169.089
26,0.133106,7.62588,0.21772,2136.34
27,0.228272,1.89452,0.349588,115.973
28,0.152735,6.37935,0.235255,1202.38
29,0.219469,2.48786,0.327332,163.939
