id,A1_SAEM,tau1_SAEM,A2_SAEM,tau2_SAEM,A1_mean,tau1_mean,A2_mean,tau2_mean,A1_mode,tau1_mode,A2_mode,tau2_mode,A1_sd,tau1_sd,A2_sd,tau2_sd
21,0.229817,1.46076,0.366612,27.3158,0.226896,1.43586,0.368924,29.489,0.21879,0.972341,0.375951,31.3939,0.0219036,0.934708,0.0259258,13.3752
30,0.189753,0.888699,0.381769,58.9661,0.187967,0.902457,0.379345,61.8015,0.190741,0.815015,0.377802,52.9002,0.0159684,0.688596,0.0207573,19.3419
31,0.102777,18.5471,0.232645,432.557,0.107918,22.0494,0.229189,331.777,0.103055,16.1781,0.234918,365.557,0.00877978,8.74754,0.0125776,125.092
32,0.195931,3.92386,0.313362,44.1729,0.196524,4.37462,0.311825,46.1314,0.194708,3.30127,0.315023,42.3214,0.021561,3.17074,0.019812,22.0807
33,0.222781,2.63567,0.33827,29.5145,0.220643,2.45639,0.341513,31.7735,0.221456,2.14154,0.339252,27.6697,0.0232359,1.53364,0.0229913,15.0395
34,0.135751,6.39135,0.280097,166.026,0.141105,7.93067,0.274266,148.773,0.138956,6.19911,0.27733,135.676,0.0161497,4.7839,0.0162755,79.2876
35,0.224025,2.21413,0.345608,28.878,0.226341,2.35472,0.342526,27.275,0.225106,1.98139,0.343451,26.2998,0.0182759,1.4595,0.0194757,8.7143
36,0.198919,2.42932,0.336756,44.2851,0.201581,2.34237,0.336625,43.5796,0.200383,2.05985,0.33653,40.0358,0.0179985,1.2239,0.0192432,19.2231
37,0.298306,2.96353,0.342613,9.77674,0.294033,2.4044,0.351531,10.0776,0.290853,2.069,0.353116,10.2899,0.0135623,1.4734,0.0171099,1.75819
38,0.187772,2.68642,0.329017,53.5467,0.190278,2.88044,0.326562,53.6828,0.186837,2.28333,0.328953,51.1272,0.0192862,1.81979,0.0198745,24.0372
39,0.162856,4.69831,0.302465,90.4003,0.167494,5.19867,0.297685,79.2807,0.167654,4.42011,0.29724,70.8288,0.0186616,2.93936,0.0184253,37.74
22,0.299776,2.91968,0.34227,9.56666,0.301928,3.19921,0.340718,8.91149,0.301812,2.77365,0.341318,8.72816,0.0151356,1.62341,0.0189522,1.95043
40,0.252195,4.0865,0.324168,17.6852,0.253328,3.59873,0.327291,17.8559,0.256558,3.72619,0.321405,15.2898,0.019992,1.78103,0.021008,6.52143
41,0.205554,2.51909,0.335126,39.3257,0.208041,2.80756,0.33217,36.7979,0.20489,2.18574,0.334901,36.6708,0.0186911,1.72985,0.0204326,12.6175
42,0.182759,3.67166,0.319435,63.0672,0.182921,3.75701,0.317131,61.1603,0.181737,2.76768,0.319569,55.4002,0.0211029,2.78563,0.022399,33.2383
23,0.250785,3.12533,0.333668,18.3416,0.2448,2.81237,0.336922,19.8091,0.24809,2.53174,0.336779,17.9807,0.0167415,1.37791,0.017774,5.87314
24,0.163766,4.43041,0.303842,89.0789,0.1619,4.20892,0.304981,92.6635,0.163374,3.62579,0.304065,79.499,0.0172339,3.37054,0.0177051,36.3094
25,0.222044,4.15357,0.318991,28.8007,0.21946,3.63716,0.321092,29.8059,0.220553,3.22963,0.321146,26.9185,0.0192884,1.76665,0.0186178,11.3525
26,0.110306,20.6352,0.232305,305.419,0.10759,15.396,0.242368,330.779,0.108004,13.9805,0.240974,312.734,0.00940929,6.98952,0.0148417,100.044
27,0.23625,2.64295,0.339351,23.1278,0.234496,2.19456,0.343489,23.6008,0.234468,2.10688,0.342503,22.5219,0.0138175,0.890227,0.0145926,5.51711
28,0.122931,9.15314,0.264794,248.821,0.125222,9.79017,0.263022,231.899,0.124809,8.21437,0.263466,194.972,0.0160393,5.10401,0.0162764,161.854
29,0.218697,3.50626,0.328311,31.8602,0.216717,3.03771,0.328871,32.4691,0.21531,2.51951,0.330833,30.1412,0.0189507,1.58497,0.0205859,14.3141
