ID,eta_A1_mean,eta_A1_mode,eta_tau1_mean,eta_tau1_mode,eta_I0_mean,eta_I0_mode,split,color,filter
64,-0.0565332,-0.0438815,0.0561934,0.0432087,-0.0489658,-0.0488975,All,#4682B4,0
73,0.185126,0.157765,-0.180856,-0.156385,0.0510621,0.0695587,All,#4682B4,0
74,0.0967891,0.151096,-0.0938658,-0.150122,-0.024434,-0.0407765,All,#4682B4,0
75,0.0184101,0.0184444,-0.0180668,-0.0186692,-0.0140763,-0.00808238,All,#4682B4,0
76,0.0716296,0.0856777,-0.0713715,-0.0850697,-0.0787452,-0.0794329,All,#4682B4,0
77,0.0188852,0.0543007,-0.0200348,-0.0538564,0.0228164,0.0183344,All,#4682B4,0
78,-0.222271,-0.14131,0.220511,0.139735,-0.067293,-0.0922718,All,#4682B4,0
79,0.0626635,0.0566879,-0.0639852,-0.0560307,0.0130367,0.0203669,All,#4682B4,0
80,0.0387714,0.0356102,-0.0362846,-0.0350186,0.078482,0.0835478,All,#4682B4,0
81,0.0282243,0.0544878,-0.0273686,-0.0538255,0.0418438,0.0385167,All,#4682B4,0
82,0.115972,0.126344,-0.116015,-0.125009,0.0269208,0.0273661,All,#4682B4,0
83,-0.165641,-0.150074,0.163777,0.14854,0.0617273,0.0623675,All,#4682B4,0
84,0.00568287,-0.00676702,-0.00664575,0.0065053,0.0368911,0.0468276,All,#4682B4,0
85,0.0756891,0.130021,-0.0762137,-0.128979,0.107713,0.0944409,All,#4682B4,0
86,-0.364551,-0.403808,0.360573,0.399608,-0.173858,-0.161034,All,#4682B4,0
87,0.340627,0.333674,-0.339007,-0.331101,0.00463734,0.0131275,All,#4682B4,0
88,-0.179621,-0.139463,0.177146,0.138062,0.0472095,0.0376553,All,#4682B4,0
89,-0.113193,-0.0976097,0.113594,0.0965244,0.0989524,0.0972264,All,#4682B4,0
90,-0.321942,-0.27998,0.318097,0.276881,-0.106497,-0.115374,All,#4682B4,0
91,0.0958664,0.0295875,-0.0937054,-0.0290633,0.132962,0.161593,All,#4682B4,0
92,-0.281169,-0.239346,0.277377,0.23691,-0.0416211,-0.0542497,All,#4682B4,0
185,-0.00322134,0.0440227,0.00248853,-0.0438783,0.00380145,-0.0096793,All,#4682B4,0
186,0.224648,0.220766,-0.219689,-0.218533,0.0818515,0.0896978,All,#4682B4,0
187,-0.0308113,-0.0377776,0.0278175,0.0372974,0.00960344,0.0187863,All,#4682B4,0
188,0.0327136,0.0792474,-0.031534,-0.0787839,-0.0393827,-0.0556745,All,#4682B4,0
189,0.0983244,0.131389,-0.0962563,-0.130119,0.0366822,0.0265878,All,#4682B4,0
190,-0.293294,-0.261548,0.290073,0.258544,-0.12888,-0.138071,All,#4682B4,0
191,-0.0296184,0.0294269,0.0320494,-0.0292806,0.0373693,0.0186889,All,#4682B4,0
192,-0.180603,-0.189668,0.180765,0.18748,-0.172945,-0.164408,All,#4682B4,0
193,-0.0463454,-0.0815819,0.0473002,0.0808641,0.0751999,0.092629,All,#4682B4,0
194,-0.0713571,-0.0366196,0.0683909,0.0362604,0.0138088,0.00564572,All,#4682B4,0
195,0.207925,0.186378,-0.207331,-0.184402,-0.0387278,-0.0208647,All,#4682B4,0
196,0.0546881,0.061304,-0.0542596,-0.0608743,-0.0120551,-0.00901606,All,#4682B4,0
197,-0.0460781,-0.0430841,0.0468317,0.042419,-0.05607,-0.0490283,All,#4682B4,0
198,-0.0935185,-0.109258,0.0945911,0.108164,0.0224966,0.0330202,All,#4682B4,0
199,0.265822,0.241315,-0.262962,-0.239374,0.00431769,0.0226847,All,#4682B4,0
200,0.165327,0.196382,-0.164762,-0.19443,0.0954255,0.0902286,All,#4682B4,0
201,0.0588659,0.0994113,-0.0555926,-0.098308,0.147483,0.136787,All,#4682B4,0
202,0.0848518,0.0966284,-0.0844269,-0.0955939,0.0684809,0.072036,All,#4682B4,0
203,0.0732876,0.0678196,-0.0713294,-0.0674325,0.0197486,0.0274584,All,#4682B4,0
204,0.141777,0.138707,-0.140156,-0.13732,0.0322446,0.0377976,All,#4682B4,0
205,-0.137372,-0.214132,0.135866,0.211968,-0.0172113,0.0137947,All,#4682B4,0
206,0.202418,0.164175,-0.200587,-0.162277,0.190363,0.210481,All,#4682B4,0
207,-0.0551869,-0.0308511,0.0552161,0.0307731,0.0212073,0.0155717,All,#4682B4,0
208,0.126585,0.103798,-0.123758,-0.102729,0.00704586,0.0212708,All,#4682B4,0
209,0.01451,0.0716726,-0.0144983,-0.0709818,-0.0312939,-0.0486913,All,#4682B4,0
210,-0.101083,-0.0868601,0.0979715,0.0858975,-0.0324036,-0.03149,All,#4682B4,0
211,0.181476,0.154555,-0.179393,-0.152979,-0.00587778,0.0123865,All,#4682B4,0
212,0.601864,0.478952,-0.600747,-0.47456,0.082223,0.159718,All,#4682B4,0
213,-0.177381,-0.228254,0.174638,0.225784,-0.117388,-0.0948463,All,#4682B4,0
214,-0.244582,-0.21143,0.243324,0.209184,-0.0419927,-0.0467876,All,#4682B4,0
215,-0.0260834,0.0111178,0.0234555,-0.0112097,0.113965,0.106244,All,#4682B4,0
216,0.0492708,0.0899751,-0.0496302,-0.0894024,0.0207664,0.00772568,All,#4682B4,0
217,0.0930391,0.0529077,-0.0940173,-0.0523699,0.0777134,0.0978292,All,#4682B4,0
218,0.0311896,-0.0171332,-0.0322664,0.0169784,-0.1131,-0.0833044,All,#4682B4,0
219,-0.0299081,-0.0355982,0.0287945,0.0353737,0.132888,0.14101,All,#4682B4,0
220,0.129712,0.144406,-0.128924,-0.143009,0.0650128,0.0629613,All,#4682B4,0
221,-0.146015,-0.121322,0.14631,0.120043,-0.00598051,-0.00935333,All,#4682B4,0
222,0.0784095,0.0443491,-0.0758264,-0.0439355,-0.0282309,-0.00758052,All,#4682B4,0
223,-0.0677689,-0.0302901,0.0672137,0.0297789,-0.0470055,-0.0537618,All,#4682B4,0
224,-0.174066,-0.147881,0.171236,0.146191,-0.0594431,-0.0660296,All,#4682B4,0
225,-0.100612,-0.181601,0.0983219,0.17953,-0.2019,-0.160451,All,#4682B4,0
226,-0.173579,-0.190471,0.171543,0.188387,-0.0784371,-0.0693342,All,#4682B4,0
227,0.0854762,0.125935,-0.0837936,-0.124889,0.0281721,0.0178017,All,#4682B4,0
228,-0.36067,-0.444107,0.355552,0.43925,-0.327031,-0.292738,All,#4682B4,0
229,0.109184,0.110716,-0.108678,-0.109763,-0.0157032,-0.0106463,All,#4682B4,0
