rep,ID,eta_A1_simulated,eta_tau1_simulated,eta_I0_simulated,split,color,filter
1,64,0.027117,1.0351,-0.319922,All,#4682B4,0
2,64,0.886442,0.385448,-1.02884,All,#4682B4,0
3,64,0.0929884,0.218859,-0.583756,All,#4682B4,0
4,64,1.01439,1.36722,-0.332838,All,#4682B4,0
5,64,-0.938636,-0.389345,-0.30738,All,#4682B4,0
6,64,0.413525,0.891937,-0.323841,All,#4682B4,0
7,64,-1.08252,-1.22511,-0.693786,All,#4682B4,0
8,64,-0.215731,0.410047,-0.188461,All,#4682B4,0
1,73,0.818256,-0.735022,0.397047,All,#4682B4,0
2,73,2.47562,1.54367,0.467255,All,#4682B4,0
3,73,1.23608,1.29771,1.31503,All,#4682B4,0
4,73,1.1706,-0.703916,0.272547,All,#4682B4,0
5,73,1.23316,0.630202,0.900074,All,#4682B4,0
6,73,0.038976,-0.169595,1.03887,All,#4682B4,0
7,73,0.583996,0.519582,1.10591,All,#4682B4,0
8,73,0.397929,-0.086388,0.915962,All,#4682B4,0
1,74,0.432019,0.629424,0.287954,All,#4682B4,0
2,74,0.862623,1.19582,0.25466,All,#4682B4,0
3,74,0.41999,-0.501312,-0.0653815,All,#4682B4,0
4,74,0.026346,-1.5318,-0.872928,All,#4682B4,0
5,74,0.039986,-1.66429,-0.983726,All,#4682B4,0
6,74,0.722057,-1.3819,-1.3984,All,#4682B4,0
7,74,-0.340369,-0.190432,0.539705,All,#4682B4,0
8,74,0.140857,0.0168842,0.18865,All,#4682B4,0
1,75,0.0189504,-0.184672,-0.108461,All,#4682B4,0
2,75,-0.134346,0.229988,0.194565,All,#4682B4,0
3,75,1.10337,0.850412,-0.290771,All,#4682B4,0
4,75,0.47661,-0.102615,-0.298017,All,#4682B4,0
5,75,1.19096,-0.298217,-0.954843,All,#4682B4,0
6,75,0.365549,-1.09974,-0.804319,All,#4682B4,0
7,75,-1.25274,-0.834239,0.288394,All,#4682B4,0
8,75,-0.273215,0.227194,0.221398,All,#4682B4,0
1,76,-0.801323,-1.63045,-0.642112,All,#4682B4,0
2,76,0.386321,-0.922448,-1.0609,All,#4682B4,0
3,76,0.988549,-0.515009,-1.36811,All,#4682B4,0
4,76,0.352897,-0.665325,-0.883209,All,#4682B4,0
5,76,-0.364365,0.0260816,-0.142785,All,#4682B4,0
6,76,-1.82984,-1.22727,-0.0616894,All,#4682B4,0
7,76,-0.901395,-0.527458,-0.0419878,All,#4682B4,0
8,76,-1.00337,-1.03985,-0.135134,All,#4682B4,0
1,77,-0.483073,-1.34221,-0.330281,All,#4682B4,0
2,77,0.586734,-0.268571,-0.134476,All,#4682B4,0
3,77,0.0780439,-0.444906,0.40306,All,#4682B4,0
4,77,-1.28512,0.87214,1.34837,All,#4682B4,0
5,77,-0.473361,1.21041,1.32656,All,#4682B4,0
6,77,0.7772,-0.129065,-0.2123,All,#4682B4,0
7,77,0.191654,-0.548275,-0.134179,All,#4682B4,0
8,77,0.342044,-0.185854,0.276008,All,#4682B4,0
1,78,-0.373982,1.10834,-0.44341,All,#4682B4,0
2,78,0.598671,1.44099,-1.00069,All,#4682B4,0
3,78,-1.33686,0.113464,-0.680839,All,#4682B4,0
4,78,1.11918,0.388114,-2.06319,All,#4682B4,0
5,78,-1.16928,1.31558,-0.125459,All,#4682B4,0
6,78,-0.842543,3.31486,0.194486,All,#4682B4,0
7,78,-2.5112,1.5926,0.342937,All,#4682B4,0
8,78,0.377195,0.171304,-1.43877,All,#4682B4,0
1,79,0.333148,-0.545646,-0.132491,All,#4682B4,0
2,79,-0.863491,-1.39791,-0.155089,All,#4682B4,0
3,79,0.936941,0.907225,0.105434,All,#4682B4,0
4,79,1.1361,0.558772,-0.0888549,All,#4682B4,0
5,79,-0.247305,0.0669617,0.543673,All,#4682B4,0
6,79,0.914737,0.941395,0.289929,All,#4682B4,0
7,79,-0.181417,0.515779,0.640407,All,#4682B4,0
8,79,1.46357,1.31047,0.200388,All,#4682B4,0
1,80,0.100791,-0.152793,0.715144,All,#4682B4,0
2,80,0.503384,0.667948,1.08085,All,#4682B4,0
3,80,0.633676,-0.764517,0.238813,All,#4682B4,0
4,80,0.943681,-0.134614,0.240223,All,#4682B4,0
5,80,0.542324,0.75047,0.790031,All,#4682B4,0
6,80,0.311045,0.746971,1.00513,All,#4682B4,0
7,80,-0.313778,-0.589406,0.999711,All,#4682B4,0
8,80,-0.051442,0.183684,0.932167,All,#4682B4,0
1,81,-0.3028,-0.261372,0.717588,All,#4682B4,0
2,81,-0.953217,0.727765,1.37281,All,#4682B4,0
3,81,-0.154819,-1.17795,-0.0405623,All,#4682B4,0
4,81,-1.02081,-1.18784,0.625219,All,#4682B4,0
5,81,1.11945,1.38321,0.641026,All,#4682B4,0
6,81,0.407567,-1.47443,-0.425831,All,#4682B4,0
7,81,0.624643,-0.372182,0.119575,All,#4682B4,0
8,81,-0.523498,-0.723983,0.427456,All,#4682B4,0
1,82,1.06471,-0.624476,-0.381118,All,#4682B4,0
2,82,0.420904,1.10589,1.12349,All,#4682B4,0
3,82,-1.52646,-1.38211,0.841952,All,#4682B4,0
4,82,-0.0319611,-0.0969926,0.71383,All,#4682B4,0
5,82,0.0859103,-0.735086,0.233484,All,#4682B4,0
6,82,0.747913,0.418304,0.566231,All,#4682B4,0
7,82,1.19087,-0.371075,-0.168205,All,#4682B4,0
8,82,1.33911,-0.136289,-0.20287,All,#4682B4,0
1,83,-1.23713,1.6565,1.20028,All,#4682B4,0
2,83,-1.92936,1.05883,1.33958,All,#4682B4,0
3,83,-1.60723,0.971613,1.109,All,#4682B4,0
4,83,0.23618,0.582696,0.327634,All,#4682B4,0
5,83,1.20068,0.388721,-0.255978,All,#4682B4,0
6,83,0.441847,1.23927,0.481793,All,#4682B4,0
7,83,0.682717,0.0274662,-0.430686,All,#4682B4,0
8,83,-1.71648,-0.688304,0.851096,All,#4682B4,0
1,84,-1.37313,-1.84538,-0.00486204,All,#4682B4,0
2,84,0.249798,-0.233983,0.125081,All,#4682B4,0
3,84,1.05586,0.263053,-0.12278,All,#4682B4,0
4,84,0.189764,1.02184,0.655846,All,#4682B4,0
5,84,-1.25324,-0.428195,0.818655,All,#4682B4,0
6,84,-0.205607,0.751885,0.863852,All,#4682B4,0
7,84,0.423057,1.2604,0.889459,All,#4682B4,0
8,84,-0.442356,-1.55024,-0.229254,All,#4682B4,0
1,85,0.439275,0.405453,1.33229,All,#4682B4,0
2,85,1.67668,-0.90677,-0.0184698,All,#4682B4,0
3,85,-0.752628,0.355369,1.69588,All,#4682B4,0
4,85,-0.190515,0.579816,1.89438,All,#4682B4,0
5,85,0.831711,-0.656354,0.426476,All,#4682B4,0
6,85,0.723799,0.0288587,0.680211,All,#4682B4,0
7,85,-0.0283064,-0.722847,0.957976,All,#4682B4,0
8,85,0.0222559,-1.61042,0.530398,All,#4682B4,0
1,86,-2.15155,1.59085,-1.26895,All,#4682B4,0
2,86,-2.42658,1.57163,-1.25538,All,#4682B4,0
3,86,-1.06168,2.30702,-1.13629,All,#4682B4,0
4,86,-1.16301,1.64707,-1.44079,All,#4682B4,0
5,86,-2.04248,0.4369,-1.5001,All,#4682B4,0
6,86,-1.46233,0.603643,-1.71718,All,#4682B4,0
7,86,-1.08708,0.777302,-1.65617,All,#4682B4,0
8,86,-0.16834,1.95317,-1.90533,All,#4682B4,0
1,87,1.44548,-0.927787,0.276995,All,#4682B4,0
2,87,1.55681,-0.761391,0.0728382,All,#4682B4,0
3,87,-0.129143,-2.2496,0.220053,All,#4682B4,0
4,87,1.34046,-0.611327,0.167635,All,#4682B4,0
5,87,-0.0603294,-0.54249,1.26462,All,#4682B4,0
6,87,0.924993,-0.87287,0.517788,All,#4682B4,0
7,87,-0.257106,-2.58604,0.179641,All,#4682B4,0
8,87,2.40299,-0.0248044,-0.100071,All,#4682B4,0
1,88,0.199867,0.339353,0.0896082,All,#4682B4,0
2,88,-0.851506,0.0135994,0.300699,All,#4682B4,0
3,88,-1.20105,-1.37282,-0.196729,All,#4682B4,0
4,88,0.742325,0.289529,-0.250996,All,#4682B4,0
5,88,-1.69147,1.02774,0.881842,All,#4682B4,0
6,88,-1.11552,1.37494,0.970751,All,#4682B4,0
7,88,-2.02687,1.08123,1.30579,All,#4682B4,0
8,88,-0.474626,0.995552,0.399805,All,#4682B4,0
1,89,-1.26745,-0.255004,0.939785,All,#4682B4,0
2,89,-0.464607,0.394728,0.913601,All,#4682B4,0
3,89,0.614701,1.46966,0.764866,All,#4682B4,0
4,89,-0.0746072,0.992399,1.12714,All,#4682B4,0
5,89,-0.601812,0.24564,0.90916,All,#4682B4,0
6,89,-1.21716,-0.869349,0.761239,All,#4682B4,0
7,89,-1.00926,-0.836412,0.678335,All,#4682B4,0
8,89,-0.666754,-0.454458,0.716316,All,#4682B4,0
1,90,-1.90744,-0.127313,-1.07868,All,#4682B4,0
2,90,-0.340837,1.78831,-0.962246,All,#4682B4,0
3,90,-2.54362,-0.0247017,-0.74221,All,#4682B4,0
4,90,-1.06759,1.19775,-0.96145,All,#4682B4,0
5,90,-2.12165,0.91849,-0.471427,All,#4682B4,0
6,90,-1.94124,1.13127,-0.57456,All,#4682B4,0
7,90,-2.10302,0.95285,-0.778299,All,#4682B4,0
8,90,-2.03502,-0.722106,-1.38071,All,#4682B4,0
1,91,0.736498,0.965601,1.56717,All,#4682B4,0
2,91,1.18019,0.173129,0.772399,All,#4682B4,0
3,91,1.34562,-0.821583,0.42774,All,#4682B4,0
4,91,1.84291,-0.503476,0.115383,All,#4682B4,0
5,91,0.433613,-0.254458,1.15243,All,#4682B4,0
6,91,1.65021,0.611762,0.994797,All,#4682B4,0
7,91,0.721257,-0.598593,0.822084,All,#4682B4,0
8,91,1.02835,-0.607782,0.687064,All,#4682B4,0
1,92,-1.36058,0.520963,-0.299531,All,#4682B4,0
2,92,0.168994,2.09808,-0.502737,All,#4682B4,0
3,92,-1.44833,0.485572,-0.396712,All,#4682B4,0
4,92,-1.97598,-0.119251,-0.274962,All,#4682B4,0
5,92,-1.14458,1.38587,-0.140127,All,#4682B4,0
6,92,-2.17459,-1.07599,-0.703629,All,#4682B4,0
7,92,0.167635,1.00256,-0.917714,All,#4682B4,0
8,92,-0.0306569,0.764162,-0.721,All,#4682B4,0
1,185,-0.732173,-1.21289,-0.0754692,All,#4682B4,0
2,185,0.687592,0.672397,0.124196,All,#4682B4,0
3,185,0.820046,0.186802,-0.0960432,All,#4682B4,0
4,185,-0.13329,0.44148,0.190779,All,#4682B4,0
5,185,-1.55426,-1.28481,0.346107,All,#4682B4,0
6,185,0.42219,0.846734,0.26343,All,#4682B4,0
7,185,0.605054,1.43093,0.585874,All,#4682B4,0
8,185,0.636347,-0.273534,-0.581012,All,#4682B4,0
1,186,1.48747,-1.37202,-0.193381,All,#4682B4,0
2,186,1.61396,0.681293,1.00928,All,#4682B4,0
3,186,-0.526594,-1.50134,1.17137,All,#4682B4,0
4,186,1.85483,-0.279931,-0.00276907,All,#4682B4,0
5,186,-0.374485,-1.21946,1.50617,All,#4682B4,0
6,186,2.93081,0.889987,0.430088,All,#4682B4,0
7,186,0.484221,-1.51906,0.590339,All,#4682B4,0
8,186,0.964609,-1.46094,0.0522489,All,#4682B4,0
1,187,-1.56156,-1.48276,-0.0596272,All,#4682B4,0
2,187,-1.15793,1.02819,0.809787,All,#4682B4,0
3,187,-1.9893,-0.51388,0.86461,All,#4682B4,0
4,187,1.11948,0.642323,-0.314237,All,#4682B4,0
5,187,0.803002,0.904264,0.105457,All,#4682B4,0
6,187,-0.356309,-0.466052,-0.00434008,All,#4682B4,0
7,187,0.534342,0.703069,0.00373132,All,#4682B4,0
8,187,-0.555173,-1.37404,-0.389358,All,#4682B4,0
1,188,-2.37545,-1.07585,0.623687,All,#4682B4,0
2,188,-0.0037137,1.46823,0.578202,All,#4682B4,0
3,188,-0.114143,-0.272405,-0.247955,All,#4682B4,0
4,188,0.186283,-0.0883018,-0.29342,All,#4682B4,0
5,188,0.532605,0.319365,-0.350581,All,#4682B4,0
6,188,-0.213172,-0.959001,-0.545646,All,#4682B4,0
7,188,-1.54525,0.588965,0.702759,All,#4682B4,0
8,188,0.443522,-0.077601,-0.716267,All,#4682B4,0
1,189,1.47978,0.476173,0.155356,All,#4682B4,0
2,189,0.00434255,-0.374432,0.648301,All,#4682B4,0
3,189,-0.467353,-0.30932,0.79586,All,#4682B4,0
4,189,-0.519881,1.48935,1.6794,All,#4682B4,0
5,189,1.20649,0.123371,-0.0404855,All,#4682B4,0
6,189,3.34427,1.85735,-0.369819,All,#4682B4,0
7,189,0.843519,-0.197473,0.112318,All,#4682B4,0
8,189,0.790502,-0.658973,-0.175836,All,#4682B4,0
1,190,-0.930575,1.52412,-0.73933,All,#4682B4,0
2,190,-1.34091,1.74765,-0.759268,All,#4682B4,0
3,190,-1.44711,-0.0165024,-1.50183,All,#4682B4,0
4,190,-0.95056,0.245703,-1.5363,All,#4682B4,0
5,190,0.262917,2.43309,-1.14313,All,#4682B4,0
6,190,-0.123456,2.19496,-0.888495,All,#4682B4,0
7,190,-1.52252,0.572542,-1.0788,All,#4682B4,0
8,190,-1.55519,0.180905,-1.17216,All,#4682B4,0
1,191,2.10169,1.45725,-0.358868,All,#4682B4,0
2,191,0.842516,1.38193,0.457741,All,#4682B4,0
3,191,0.567679,0.93295,0.425796,All,#4682B4,0
4,191,-1.44957,-0.998829,0.564432,All,#4682B4,0
5,191,0.952371,0.909451,0.095914,All,#4682B4,0
6,191,2.07508,-0.0153216,-1.13858,All,#4682B4,0
7,191,-1.00216,-0.171437,0.620563,All,#4682B4,0
8,191,0.270878,0.00609454,0.462103,All,#4682B4,0
1,192,-0.941707,1.05847,-0.996793,All,#4682B4,0
2,192,0.229095,2.7642,-0.725668,All,#4682B4,0
3,192,-0.402235,1.40677,-1.32186,All,#4682B4,0
4,192,0.136019,1.65273,-1.3513,All,#4682B4,0
5,192,-2.27873,-0.309416,-1.65815,All,#4682B4,0
6,192,-0.633761,1.21837,-1.47266,All,#4682B4,0
7,192,-0.446626,0.528315,-1.83105,All,#4682B4,0
8,192,-1.13199,0.532129,-1.28844,All,#4682B4,0
1,193,-0.419068,1.19643,1.25487,All,#4682B4,0
2,193,-0.865677,-1.03413,0.337079,All,#4682B4,0
3,193,-0.690863,-0.402651,0.744388,All,#4682B4,0
4,193,-0.263287,0.621748,1.00838,All,#4682B4,0
5,193,0.335171,-0.0582005,0.230907,All,#4682B4,0
6,193,0.62009,0.967845,0.866889,All,#4682B4,0
7,193,0.100381,0.577602,0.786803,All,#4682B4,0
8,193,-0.887449,0.607001,1.1449,All,#4682B4,0
1,194,-0.901743,-0.390869,0.365315,All,#4682B4,0
2,194,-1.54806,-0.839404,0.539839,All,#4682B4,0
3,194,-0.389953,-0.0774728,0.188454,All,#4682B4,0
4,194,-0.168403,0.3404,0.0938468,All,#4682B4,0
5,194,0.658357,0.987006,-0.22032,All,#4682B4,0
6,194,-0.568588,0.440716,0.275993,All,#4682B4,0
7,194,0.776773,1.48804,0.0105295,All,#4682B4,0
8,194,-1.04877,-0.700022,-0.0831518,All,#4682B4,0
1,195,-1.24237,-1.22792,0.883505,All,#4682B4,0
2,195,1.3092,0.451644,0.177057,All,#4682B4,0
3,195,-0.691813,-1.70164,0.0852111,All,#4682B4,0
4,195,1.01244,-0.317644,-0.231178,All,#4682B4,0
5,195,0.0316247,-1.21324,-0.148662,All,#4682B4,0
6,195,-1.78754,-1.99804,0.321826,All,#4682B4,0
7,195,0.0784507,-0.351928,0.304912,All,#4682B4,0
8,195,-0.281443,-0.385131,0.528547,All,#4682B4,0
1,196,0.030552,0.00247386,0.149419,All,#4682B4,0
2,196,0.0701714,-0.613737,0.0122616,All,#4682B4,0
3,196,0.764869,-0.127799,-0.122637,All,#4682B4,0
4,196,-0.140261,-0.639093,-0.0428984,All,#4682B4,0
5,196,1.50391,0.432686,-0.632156,All,#4682B4,0
6,196,-0.408183,-0.618025,0.168775,All,#4682B4,0
7,196,-0.293165,-1.74461,-0.636945,All,#4682B4,0
8,196,-1.22851,-0.617143,0.435508,All,#4682B4,0
1,197,0.0923223,-0.871547,-1.16192,All,#4682B4,0
2,197,-0.622834,-0.393895,-0.360698,All,#4682B4,0
3,197,0.804581,0.569908,-0.812091,All,#4682B4,0
4,197,0.15575,-0.299314,-0.431371,All,#4682B4,0
5,197,-0.537294,2.45689,0.819743,All,#4682B4,0
6,197,0.358138,0.358429,-0.882884,All,#4682B4,0
7,197,-1.57578,1.39576,0.66146,All,#4682B4,0
8,197,0.567282,-0.307817,-1.22225,All,#4682B4,0
1,198,0.382438,-0.47774,-0.524945,All,#4682B4,0
2,198,1.04257,0.936689,-0.176979,All,#4682B4,0
3,198,-0.461404,-0.756501,-0.030542,All,#4682B4,0
4,198,0.254748,-0.520889,-0.426227,All,#4682B4,0
