rep,ID,eta_A1_simulated,eta_tau1_simulated,eta_I0_simulated,split,color,filter
1,64,-0.142747,0.15227,-0.0344767,All,#4682B4,0
2,64,0.0811836,-0.0676713,-0.110874,All,#4682B4,0
3,64,-0.0168064,0.0198122,-0.0629089,All,#4682B4,0
4,64,-0.0385387,0.0622459,-0.0358685,All,#4682B4,0
5,64,-0.0886314,0.0744908,-0.0331251,All,#4682B4,0
6,64,-0.0631948,0.0758377,-0.034899,All,#4682B4,0
7,64,0.0079252,-0.0311422,-0.0747663,All,#4682B4,0
8,64,-0.0912657,0.0924626,-0.0203097,All,#4682B4,0
1,73,0.229751,-0.226989,0.0427881,All,#4682B4,0
2,73,0.160419,-0.118523,0.0503541,All,#4682B4,0
3,73,0.00530966,0.0202999,0.141715,All,#4682B4,0
4,73,0.27935,-0.272304,0.0293712,All,#4682B4,0
5,73,0.0995969,-0.0799628,0.0969971,All,#4682B4,0
6,73,0.0300442,-0.0311107,0.111954,All,#4682B4,0
7,73,0.0157832,-0.00451636,0.119179,All,#4682B4,0
8,73,0.0732611,-0.0695047,0.0987092,All,#4682B4,0
1,74,-0.0231032,0.0336195,0.0310316,All,#4682B4,0
2,74,-0.0374789,0.0579344,0.0274436,All,#4682B4,0
3,74,0.13553,-0.135216,-0.00704588,All,#4682B4,0
4,74,0.221436,-0.234773,-0.0940717,All,#4682B4,0
5,74,0.242331,-0.256692,-0.106012,All,#4682B4,0
6,74,0.306811,-0.310901,-0.1507,All,#4682B4,0
7,74,-0.0251503,0.0195843,0.0581617,All,#4682B4,0
8,74,0.0191965,-0.0174443,0.02033,All,#4682B4,0
1,75,0.0291142,-0.0305426,-0.0116884,All,#4682B4,0
2,75,-0.0532352,0.0537547,0.0209674,All,#4682B4,0
3,75,0.0484492,-0.0283306,-0.0313351,All,#4682B4,0
4,75,0.0876254,-0.0831187,-0.032116,All,#4682B4,0
5,75,0.224892,-0.214003,-0.102899,All,#4682B4,0
6,75,0.212115,-0.217748,-0.086678,All,#4682B4,0
7,75,-0.0736414,0.0519682,0.031079,All,#4682B4,0
8,75,-0.0741267,0.0730421,0.0238591,All,#4682B4,0
1,76,0.108559,-0.132187,-0.0691977,All,#4682B4,0
2,76,0.190138,-0.193956,-0.114328,All,#4682B4,0
3,76,0.224631,-0.217974,-0.147436,All,#4682B4,0
4,76,0.148522,-0.150432,-0.0951796,All,#4682B4,0
5,76,-0.0595571,0.0556456,-0.0153873,All,#4682B4,0
6,76,-0.106328,0.074593,-0.006648,All,#4682B4,0
7,76,-0.0633212,0.0483746,-0.00452484,All,#4682B4,0
8,76,-0.00623298,-0.0144346,-0.0145628,All,#4682B4,0
1,77,0.116437,-0.133879,-0.0355929,All,#4682B4,0
2,77,0.12806,-0.123778,-0.0144918,All,#4682B4,0
3,77,0.0751061,-0.0781792,0.043436,All,#4682B4,0
4,77,-0.32078,0.313929,0.145308,All,#4682B4,0
5,77,-0.244349,0.249741,0.142958,All,#4682B4,0
6,77,0.137458,-0.129769,-0.0228786,All,#4682B4,0
7,77,0.107192,-0.109894,-0.0144599,All,#4682B4,0
8,77,0.0788106,-0.0765752,0.0297442,All,#4682B4,0
1,78,-0.214628,0.220242,-0.0477844,All,#4682B4,0
2,78,-0.112736,0.132372,-0.10784,All,#4682B4,0
3,78,-0.221038,0.206845,-0.073371,All,#4682B4,0
4,78,0.116483,-0.1003,-0.222341,All,#4682B4,0
5,78,-0.365956,0.36437,-0.0135201,All,#4682B4,0
6,78,-0.599612,0.61954,0.0209589,All,#4682B4,0
7,78,-0.610982,0.596601,0.0369569,All,#4682B4,0
8,78,0.0335102,-0.0276957,-0.15505,All,#4682B4,0
1,79,0.12851,-0.129578,-0.014278,All,#4682B4,0
2,79,0.066026,-0.0882904,-0.0167133,All,#4682B4,0
3,79,0.0148726,0.0038589,0.0113622,All,#4682B4,0
4,79,0.0948559,-0.0769615,-0.00957551,All,#4682B4,0
5,79,-0.0474142,0.0451978,0.0585893,All,#4682B4,0
6,79,0.00661946,0.0121638,0.0312444,All,#4682B4,0
7,79,-0.101011,0.10354,0.0690139,All,#4682B4,0
8,79,0.0383724,-0.0100621,0.021595,All,#4682B4,0
1,80,0.0371356,-0.0373496,0.077068,All,#4682B4,0
2,80,-0.0176308,0.0293017,0.116478,All,#4682B4,0
3,80,0.205642,-0.205241,0.0257358,All,#4682B4,0
4,80,0.163767,-0.154233,0.0258878,All,#4682B4,0
5,80,-0.0233731,0.0362215,0.0851382,All,#4682B4,0
6,80,-0.0583305,0.0685174,0.108318,All,#4682B4,0
7,80,0.0355494,-0.0443648,0.107735,All,#4682B4,0
8,80,-0.0339548,0.0350049,0.100456,All,#4682B4,0
1,81,-0.00932323,0.00355288,0.0773314,All,#4682B4,0
2,81,-0.24941,0.245049,0.147942,All,#4682B4,0
3,81,0.143446,-0.155693,-0.00437122,All,#4682B4,0
4,81,0.012097,-0.0342804,0.0673771,All,#4682B4,0
5,81,-0.0247028,0.0497472,0.0690806,All,#4682B4,0
6,81,0.271733,-0.280224,-0.04589,All,#4682B4,0
7,81,0.148576,-0.144786,0.0128861,All,#4682B4,0
8,81,0.0225,-0.0348985,0.0460651,All,#4682B4,0
1,82,0.251842,-0.245293,-0.0410714,All,#4682B4,0
2,82,-0.0924281,0.10706,0.121074,All,#4682B4,0
3,82,-0.0378474,0.00818411,0.0907335,All,#4682B4,0
4,82,0.00886598,-0.0100929,0.0769264,All,#4682B4,0
5,82,0.117495,-0.123062,0.0251615,All,#4682B4,0
6,82,0.0552846,-0.0430553,0.0610202,All,#4682B4,0
7,82,0.235219,-0.224979,-0.0181268,All,#4682B4,0
8,82,0.224622,-0.210606,-0.0218624,All,#4682B4,0
1,83,-0.424742,0.425419,0.129349,All,#4682B4,0
2,83,-0.446035,0.433519,0.144361,All,#4682B4,0
3,83,-0.384275,0.374646,0.119512,All,#4682B4,0
4,83,-0.0464926,0.0543658,0.0353077,All,#4682B4,0
5,83,0.128891,-0.111775,-0.0275857,All,#4682B4,0
6,83,-0.108148,0.124205,0.0519207,All,#4682B4,0
7,83,0.100759,-0.0927505,-0.0464131,All,#4682B4,0
8,83,-0.165443,0.139795,0.0917189,All,#4682B4,0
1,84,0.051407,-0.0834507,-0.000523961,All,#4682B4,0
2,84,0.0715004,-0.0707425,0.0134794,All,#4682B4,0
3,84,0.124525,-0.110175,-0.0132315,All,#4682B4,0
4,84,-0.115933,0.127188,0.0706777,All,#4682B4,0
5,84,-0.131345,0.113281,0.0882229,All,#4682B4,0
6,84,-0.138228,0.142583,0.0930936,All,#4682B4,0
7,84,-0.114026,0.130058,0.0958531,All,#4682B4,0
8,84,0.152203,-0.171034,-0.0247058,All,#4682B4,0
1,85,0.00979583,-0.0011908,0.143576,All,#4682B4,0
2,85,0.385719,-0.374723,-0.00199041,All,#4682B4,0
3,85,-0.165809,0.160414,0.182758,All,#4682B4,0
4,85,-0.111494,0.114489,0.204149,All,#4682B4,0
5,85,0.220649,-0.217033,0.0459595,All,#4682B4,0
6,85,0.106859,-0.098371,0.0733034,All,#4682B4,0
7,85,0.0982493,-0.105006,0.103237,All,#4682B4,0
8,85,0.231968,-0.246051,0.0571587,All,#4682B4,0
1,86,-0.555599,0.545293,-0.136749,All,#4682B4,0
2,86,-0.595033,0.581428,-0.135287,All,#4682B4,0
3,86,-0.49017,0.498633,-0.122453,All,#4682B4,0
4,86,-0.412042,0.413478,-0.155268,All,#4682B4,0
5,86,-0.375109,0.35577,-0.16166,All,#4682B4,0
6,86,-0.309839,0.298582,-0.185053,All,#4682B4,0
7,86,-0.276962,0.271519,-0.178478,All,#4682B4,0
8,86,-0.303005,0.318478,-0.205329,All,#4682B4,0
1,87,0.353259,-0.34508,0.0298505,All,#4682B4,0
2,87,0.346711,-0.335784,0.00784946,All,#4682B4,0
3,87,0.299472,-0.320967,0.0237141,All,#4682B4,0
4,87,0.292247,-0.282445,0.0180653,All,#4682B4,0
5,87,0.0677436,-0.073259,0.136283,All,#4682B4,0
6,87,0.265677,-0.262928,0.0557997,All,#4682B4,0
7,87,0.327605,-0.35355,0.0193592,All,#4682B4,0
8,87,0.371888,-0.34478,-0.0107842,All,#4682B4,0
1,88,-0.0175233,0.0228172,0.00965669,All,#4682B4,0
2,88,-0.132462,0.122899,0.032405,All,#4682B4,0
3,88,0.010719,-0.0365989,-0.0212007,All,#4682B4,0
4,88,0.0727042,-0.0616847,-0.0270487,All,#4682B4,0
5,88,-0.405155,0.395068,0.0950323,All,#4682B4,0
6,88,-0.36614,0.365694,0.104614,All,#4682B4,0
7,88,-0.464161,0.450736,0.140719,All,#4682B4,0
8,88,-0.21405,0.217515,0.0430853,All,#4682B4,0
1,89,-0.158103,0.141419,0.101277,All,#4682B4,0
2,89,-0.127243,0.125473,0.0984549,All,#4682B4,0
3,89,-0.114348,0.134422,0.0824263,All,#4682B4,0
4,89,-0.152281,0.160267,0.121467,All,#4682B4,0
5,89,-0.127117,0.12246,0.0979762,All,#4682B4,0
6,89,-0.063205,0.0416239,0.0820354,All,#4682B4,0
7,89,-0.0360081,0.0170846,0.0731012,All,#4682B4,0
