A1_vs_I0_abscissa,A1_vs_I0_spline,A1_vs_I0_regression,A1_vs_tau1_abscissa,A1_vs_tau1_spline,A1_vs_tau1_regression,I0_vs_A1_abscissa,I0_vs_A1_spline,I0_vs_A1_regression,I0_vs_tau1_abscissa,I0_vs_tau1_spline,I0_vs_tau1_regression,tau1_vs_A1_abscissa,tau1_vs_A1_spline,tau1_vs_A1_regression,tau1_vs_I0_abscissa,tau1_vs_I0_spline,tau1_vs_I0_regression
-0.336337,-0.248291,-0.07432,-0.750511,0.753731,0.75569,-0.610982,-0.0140757,-0.0201284,-0.750511,0.0140939,0.0338572,-0.610982,0.606571,0.604917,-0.336337,0.246927,0.076352
-0.330544,-0.258085,-0.0731819,-0.736672,0.739061,0.741764,-0.597188,-0.0303151,-0.0195942,-0.736672,0.0168391,0.0332986,-0.597188,0.592111,0.591271,-0.330544,0.258292,0.0751859
-0.32475,-0.26557,-0.0720438,-0.722833,0.724434,0.727837,-0.583395,-0.0374484,-0.0190599,-0.722833,0.0194126,0.03274,-0.583395,0.577844,0.577625,-0.32475,0.267204,0.0740198
-0.318956,-0.272173,-0.0709057,-0.708994,0.710095,0.713911,-0.569601,-0.043401,-0.0185257,-0.708994,0.0208184,0.0321814,-0.569601,0.563604,0.563979,-0.318956,0.275176,0.0728537
-0.313163,-0.270924,-0.0697676,-0.695155,0.695757,0.699985,-0.555807,-0.0493536,-0.0179915,-0.695155,0.0222241,0.0316228,-0.555807,0.549363,0.550333,-0.313163,0.274772,0.0716877
-0.307369,-0.269111,-0.0686295,-0.681316,0.681418,0.686059,-0.542014,-0.0461745,-0.0174572,-0.681316,0.0236299,0.0310642,-0.542014,0.535403,0.536687,-0.307369,0.273765,0.0705216
-0.301575,-0.267298,-0.0674914,-0.667477,0.667183,0.672132,-0.52822,-0.0428555,-0.016923,-0.667477,0.024621,0.0305056,-0.52822,0.521447,0.523041,-0.301575,0.272758,0.0693555
-0.295782,-0.264709,-0.0663533,-0.653638,0.653121,0.658206,-0.514426,-0.0391025,-0.0163888,-0.653638,0.0249284,0.029947,-0.514426,0.50752,0.509395,-0.295782,0.270916,0.0681894
-0.289988,-0.256869,-0.0652152,-0.6398,0.639396,0.64428,-0.500633,-0.0325277,-0.0158546,-0.6398,0.023981,0.0293884,-0.500633,0.493782,0.495749,-0.289988,0.263429,0.0670234
-0.284194,-0.248407,-0.0640771,-0.625961,0.62568,0.630354,-0.486839,-0.0259522,-0.0153203,-0.625961,0.0230041,0.0288298,-0.486839,0.480073,0.482103,-0.284194,0.255262,0.0658573
