A1_abscissa,A1_cdf,tau1_abscissa,tau1_cdf,I0_abscissa,I0_cdf,split
0.0779316,0,2.03983,0,0.243699,0,All
0.103614,0.00189394,2.34973,0.00189394,0.331294,0.00189394,All
0.104799,0.00378788,2.40829,0.00378788,0.331858,0.00378788,All
0.10528,0.00568182,2.41321,0.00568182,0.332253,0.00568182,All
0.109515,0.00757576,2.53573,0.00757576,0.336673,0.00757576,All
0.113908,0.0094697,2.54649,0.0094697,0.337311,0.0094697,All
0.11692,0.0113636,2.55573,0.0113636,0.344748,0.0113636,All
0.11824,0.0132576,2.55765,0.0132576,0.348705,0.0132576,All
0.119346,0.0151515,2.58958,0.0151515,0.356533,0.0151515,All
0.12,0.0170455,2.98059,0.0170455,0.370444,0.0170455,All
0.120625,0.0189394,3.12314,0.0189394,0.371297,0.0189394,All
0.120726,0.0208333,3.21025,0.0208333,0.371616,0.0208333,All
0.120789,0.0227273,3.27648,0.0227273,0.374686,0.0227273,All
0.121033,0.0246212,3.31337,0.0246212,0.3753,0.0246212,All
0.121276,0.0265152,3.3453,0.0265152,0.377667,0.0265152,All
0.121976,0.0284091,3.42153,0.0284091,0.380702,0.0284091,All
0.122195,0.030303,3.4237,0.030303,0.384914,0.030303,All
0.122978,0.032197,3.44705,0.032197,0.385403,0.032197,All
0.12404,0.0340909,3.48185,0.0340909,0.386538,0.0340909,All
0.124825,0.0359848,3.49475,0.0359848,0.387862,0.0359848,All
0.126421,0.0378788,3.49883,0.0378788,0.387945,0.0378788,All
0.127294,0.0397727,3.50397,0.0397727,0.392989,0.0397727,All
0.127529,0.0416667,3.51796,0.0416667,0.393109,0.0416667,All
0.127641,0.0435606,3.52447,0.0435606,0.393208,0.0435606,All
0.128534,0.0454545,3.52553,0.0454545,0.394452,0.0454545,All
0.129702,0.0473485,3.53468,0.0473485,0.394525,0.0473485,All
0.12998,0.0492424,3.53775,0.0492424,0.395417,0.0492424,All
0.130613,0.0511364,3.55134,0.0511364,0.395694,0.0511364,All
0.131177,0.0530303,3.55739,0.0530303,0.396498,0.0530303,All
0.131566,0.0549242,3.58376,0.0549242,0.396779,0.0549242,All
0.132359,0.0568182,3.59392,0.0568182,0.396943,0.0568182,All
0.132383,0.0587121,3.61049,0.0587121,0.397055,0.0587121,All
0.132643,0.0606061,3.6325,0.0606061,0.397141,0.0606061,All
0.132756,0.0625,3.64702,0.0625,0.398873,0.0625,All
0.132793,0.0643939,3.65981,0.0643939,0.399634,0.0643939,All
0.133116,0.0662879,3.6669,0.0662879,0.400177,0.0662879,All
0.133313,0.0681818,3.69499,0.0681818,0.400903,0.0681818,All
0.13355,0.0700758,3.69876,0.0700758,0.402154,0.0700758,All
0.133776,0.0719697,3.73476,0.0719697,0.402177,0.0719697,All
0.135312,0.0738636,3.742,0.0738636,0.403628,0.0738636,All
0.136731,0.0757576,3.74509,0.0757576,0.404476,0.0757576,All
0.137169,0.0776515,3.75229,0.0776515,0.405068,0.0776515,All
0.137878,0.0795455,3.75502,0.0795455,0.406517,0.0795455,All
0.138135,0.0814394,3.76063,0.0814394,0.406667,0.0814394,All
0.138501,0.0833333,3.76379,0.0833333,0.408299,0.0833333,All
0.138544,0.0852273,3.79054,0.0852273,0.408717,0.0852273,All
0.139352,0.0871212,3.82624,0.0871212,0.40889,0.0871212,All
0.139467,0.0890152,3.85018,0.0890152,0.409169,0.0890152,All
0.140025,0.0909091,3.85236,0.0909091,0.409998,0.0909091,All
0.140315,0.092803,3.86037,0.092803,0.410019,0.092803,All
0.140345,0.094697,3.87213,0.094697,0.410055,0.094697,All
0.140556,0.0965909,3.88782,0.0965909,0.410199,0.0965909,All
0.140647,0.0984848,3.89137,0.0984848,0.4103,0.0984848,All
0.140703,0.100379,3.89432,0.100379,0.410826,0.100379,All
0.140985,0.102273,3.90183,0.102273,0.412801,0.102273,All
0.141122,0.104167,3.91255,0.104167,0.41285,0.104167,All
0.142177,0.106061,3.92102,0.106061,0.412856,0.106061,All
0.142543,0.107955,3.92433,0.107955,0.413648,0.107955,All
0.142678,0.109848,3.9355,0.109848,0.413883,0.109848,All
