A1_abscissa,A1_pdf,tau1_abscissa,tau1_pdf,I0_abscissa,I0_pdf,split
0.110187,0.751706,2.49968,0.0527181,0.336872,0.885638,All
0.123332,3.00683,2.79958,0,0.34803,0.354255,All
0.136478,5.1116,3.09948,0.0197693,0.359187,0.177128,All
0.149623,5.56263,3.39939,0.0988465,0.370345,0.885638,All
0.162768,6.31433,3.69929,0.131795,0.381502,0.885638,All
0.175913,13.23,3.99919,0.250411,0.392659,2.47979,All
0.189059,9.32116,4.29909,0.395386,0.403817,2.65691,All
0.202204,10.9749,4.59899,0.461284,0.414974,5.84521,All
0.215349,9.02048,4.8989,0.375617,0.426132,5.31383,All
0.228495,5.1116,5.1988,0.388796,0.437289,5.31383,All
0.24164,3.75853,5.4987,0.421745,0.448446,7.26223,All
0.254785,2.10478,5.7986,0.230642,0.459604,11.8675,All
0.267931,2.25512,6.0985,0.125206,0.470761,11.3362,All
0.281076,0.902048,6.39841,0.125206,0.481919,8.67925,All
0.294221,0.451024,6.69831,0.105436,0.493076,7.97074,All
0.307367,0.300683,6.99821,0.0922568,0.504234,6.90797,All
0.320512,0,7.29811,0.0658977,0.515391,5.49095,All
0.333657,0,7.59801,0.0593079,0.526548,2.47979,All
0.346803,0,7.89792,0.0329488,0.537706,2.30266,All
0.359948,0.150341,8.19782,0.0197693,0.548863,1.41702,All
0.373093,0.601365,8.49772,0.00658977,0.560021,1.59415,All
0.386239,0.300683,8.79762,0.00658977,0.571178,0.177128,All
0.399384,0.150341,9.09752,0.0131795,0.582335,1.23989,All
