A1_abscissa,A1_pdf,A1_cdf,tau1_abscissa,tau1_pdf,tau1_cdf,I0_abscissa,I0_pdf,I0_cdf,split
0.0779316,0.00249021,9.00714e-06,2.03983,8.85743e-05,8.28031e-06,0.243699,2.76095e-07,1.18292e-09,All
0.081867,0.0063379,2.53521e-05,2.14188,0.000226438,2.33948e-05,0.250151,1.11102e-06,5.08217e-09,All
0.0858025,0.0146597,6.46971e-05,2.24393,0.000526186,5.99429e-05,0.256604,4.07766e-06,1.99107e-08,All
0.0897379,0.0311521,0.000151372,2.34599,0.00112343,0.000140832,0.263056,1.37315e-05,7.15629e-08,All
0.0936733,0.0613837,0.000327819,2.44804,0.0022241,0.000306272,0.269508,4.26594e-05,2.3728e-07,All
0.0976087,0.113052,0.00066254,2.55009,0.00411526,0.000621578,0.275961,0.000122879,7.2948e-07,All
0.101544,0.195953,0.00125853,2.65215,0.00716546,0.00118557,0.282413,0.000329689,2.08921e-06,All
0.10548,0.321566,0.00226085,2.7542,0.0118107,0.0021383,0.288866,0.000827454,5.59816e-06,All
0.109415,0.502226,0.00386175,2.85625,0.0185249,0.00366658,0.295318,0.00195028,1.40909e-05,All
0.11335,0.749951,0.00630184,2.9583,0.0277757,0.00600568,0.301771,0.00433252,3.34405e-05,All
0.117286,1.07504,0.00986613,3.06036,0.0399719,0.00943606,0.308223,0.00910184,7.50827e-05,All
0.121221,1.48468,0.0148744,3.16241,0.0554089,0.0142746,0.314676,0.0181391,0.000160003,All
0.125157,1.98168,0.0216667,3.26446,0.0742194,0.0208603,0.321128,0.0343921,0.000324587,All
0.129092,2.56367,0.0305837,3.36651,0.0963384,0.0295359,0.327581,0.0622045,0.000628574,All
0.133028,3.22269,0.0419462,3.46857,0.121487,0.0406267,0.334033,0.107596,0.00116501,All
0.136963,3.94542,0.0560328,3.57062,0.149175,0.0544186,0.340486,0.178399,0.00207163,All
0.140898,4.71385,0.0730601,3.67267,0.178728,0.0711377,0.346938,0.284159,0.00354234,All
0.144834,5.50642,0.0931665,3.77472,0.209326,0.0909336,0.353391,0.4357,0.00583713,All
0.148769,6.29945,0.116401,3.87678,0.24006,0.113867,0.359843,0.644314,0.00928784,All
0.152705,7.06864,0.142717,3.97883,0.269986,0.139904,0.366296,0.920597,0.0142977,All
0.15664,7.79056,0.171975,4.08088,0.29819,0.168914,0.372748,1.27301,0.0213321,All
0.160575,8.444,0.203946,4.18293,0.323834,0.200678,0.379201,1.70634,0.0309002,All
0.164511,9.01102,0.238323,4.28499,0.346204,0.234898,0.385653,2.22031,0.0435263,All
0.168446,9.47772,0.274738,4.38704,0.364738,0.27121,0.392106,2.80856,0.0597136,All
0.172382,9.83461,0.312776,4.48909,0.379047,0.309199,0.398558,3.45813,0.0799031,All
0.176317,10.0767,0.351994,4.59114,0.388913,0.348424,0.405011,4.14978,0.104432,All
0.180253,10.2034,0.391937,4.6932,0.394293,0.388426,0.411463,4.85891,0.133494,All
0.184188,10.2178,0.432156,4.79525,0.395293,0.428752,0.417916,5.55726,0.167113,All
0.188123,10.1266,0.472221,4.8973,0.392154,0.468966,0.424368,6.215,0.205123,All
0.192059,9.93889,0.511734,4.99935,0.385225,0.508663,0.430821,6.80312,0.247167,All
0.195994,9.66587,0.550336,5.10141,0.37493,0.547478,0.437273,7.29565,0.292711,All
0.19993,9.31992,0.587717,5.20346,0.361749,0.58509,0.443726,7.6717,0.341066,All
0.203865,8.914,0.623613,5.30551,0.346185,0.621232,0.450178,7.91686,0.391432,All
0.207801,8.46116,0.657816,5.40756,0.328747,0.655685,0.456631,8.024,0.442936,All
0.211736,7.97398,0.690165,5.50962,0.309928,0.688283,0.463083,7.99341,0.494685,All
0.215671,7.46429,0.720548,5.61167,0.290194,0.718911,0.469536,7.83222,0.54581,All
0.219607,6.94283,0.7489,5.71372,0.269967,0.747497,0.475988,7.55343,0.595506,All
0.223542,6.41912,0.775191,5.81577,0.249625,0.774009,0.482441,7.17446,0.643071,All
0.227478,5.90134,0.799431,5.91783,0.229491,0.798454,0.488893,6.71562,0.687921,All
0.231413,5.39635,0.821657,6.01988,0.209836,0.820866,0.495346,6.1985,0.72961,All
0.235349,4.90964,0.841929,6.12193,0.190882,0.841306,0.501798,5.6446,0.767833,All
0.239284,4.4455,0.860329,6.22398,0.172797,0.859855,0.508251,5.07406,0.802418,All
0.243219,4.00705,0.876953,6.32604,0.155708,0.876609,0.514703,4.50476,0.833317,All
0.247155,3.5964,0.891905,6.42809,0.1397,0.891673,0.521156,3.95176,0.860587,All
0.25109,3.21477,0.905298,6.53014,0.124822,0.905161,0.527608,3.42698,0.884375,All
0.255026,2.86262,0.917246,6.63219,0.111093,0.917189,0.534061,2.93918,0.904892,All
0.258961,2.53979,0.927867,6.73425,0.09851,0.927874,0.540513,2.4941,0.922397,All
0.262896,2.24561,0.937274,6.8363,0.0870461,0.937333,0.546966,2.09484,0.937177,All
0.266832,1.97902,0.945578,6.93835,0.076661,0.945678,0.553418,1.74222,0.949532,All
0.270767,1.73869,0.952885,7.0404,0.0673024,0.953015,0.559871,1.43525,0.959759,All
0.274703,1.52306,0.959296,7.14246,0.0589098,0.959447,0.566323,1.1716,0.968147,All
0.278638,1.33046,0.964903,7.24451,0.0514177,0.96507,0.572776,0.947981,0.974964,All
0.282574,1.15915,0.969796,7.34656,0.0447579,0.96997,0.579228,0.760558,0.980458,All
0.286509,1.00737,0.974053,7.44861,0.0388612,0.974231,0.585681,0.605215,0.984848,All
0.290444,0.873383,0.977748,7.55067,0.0336597,0.977926,0.592133,0.477815,0.988329,All
0.29438,0.755509,0.980948,7.65272,0.0290873,0.981122,0.598586,0.374375,0.991066,All
0.298315,0.652144,0.983713,7.75477,0.0250812,0.983882,0.605038,0.291183,0.993204,All
0.302251,0.561777,0.986098,7.85682,0.0215821,0.986259,0.611491,0.224881,0.99486,All
0.306186,0.483,0.98815,7.95888,0.0185346,0.988302,0.617943,0.172495,0.996135,All
0.310122,0.414509,0.989913,8.06093,0.0158876,0.990055,0.624396,0.131443,0.997111,All
0.314057,0.355112,0.991425,8.16298,0.0135946,0.991557,0.630848,0.099527,0.997851,All
0.317992,0.303726,0.992719,8.26503,0.0116129,0.992841,0.637301,0.0748998,0.998411,All
0.321928,0.259368,0.993824,8.36709,0.00990419,0.993937,0.643753,0.0560338,0.99883,All
0.325863,0.22116,0.994768,8.46914,0.00843411,0.99487,0.650206,0.0416809,0.999143,All
0.329799,0.188315,0.995572,8.57119,0.00717189,0.995665,0.656658,0.030834,0.999376,All
0.333734,0.160134,0.996256,8.67324,0.00609024,0.99634,0.663111,0.0226886,0.999547,All
0.33767,0.135998,0.996838,8.7753,0.00516502,0.996913,0.669563,0.0166094,0.999673,All
0.341605,0.115361,0.997331,8.87735,0.00437498,0.997399,0.676016,0.0120988,0.999765,All
0.34554,0.0977437,0.99775,8.9794,0.00370146,0.99781,0.682468,0.00877091,0.999832,All
0.349476,0.0827278,0.998104,9.08146,0.00312816,0.998158,0.688921,0.00632902,0.99988,All
