pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-3.57009,0.00164407,-3.79775,0.000582032,-3.80437,0.00198087,All
-3.46638,0.00164407,-3.76143,0.000582032,-3.71829,0,All
-3.36267,0.00164407,-3.72511,0,-3.63222,0.00396175,All
-3.25896,0.00328814,-3.68878,0.000582032,-3.54614,0.00792349,All
-3.15525,0.00657627,-3.65246,0.00232813,-3.46006,0.00594262,All
-3.05154,0.00657627,-3.61614,0.00349219,-3.37398,0.00594262,All
-2.94783,0.00986441,-3.57982,0.0017461,-3.28791,0.00594262,All
-2.84411,0.0180848,-3.5435,0.00523829,-3.20183,0.00990437,All
-2.7404,0.00986441,-3.50718,0.00523829,-3.11575,0.00198087,All
-2.63669,0.023017,-3.47085,0.0017461,-3.02968,0.0118852,All
-2.53298,0.0263051,-3.43453,0.00291016,-2.9436,0.00990437,All
-2.42927,0.0164407,-3.39821,0.00232813,-2.85752,0.0217896,All
-2.32556,0.0394576,-3.36189,0.00465625,-2.77144,0.0118852,All
-2.22185,0.0345254,-3.32557,0.000582032,-2.68537,0.0217896,All
-2.11814,0.0312373,-3.28925,0.00116406,-2.59929,0.0257514,All
-2.01442,0.0394576,-3.25293,0.0017461,-2.51321,0.0178279,All
-1.91071,0.0509661,-3.2166,0.00116406,-2.42713,0.0415983,All
-1.807,0.0706949,-3.18028,0.00407422,-2.34106,0.0198087,All
-1.70329,0.0854916,-3.14396,0.00291016,-2.25498,0.0217896,All
-1.59958,0.097,-3.10764,0.00465625,-2.1689,0.0415983,All
-1.49587,0.110153,-3.07132,0.00582032,-2.08282,0.0277322,All
-1.39216,0.129881,-3.035,0.00523829,-1.99675,0.0396175,All
-1.28844,0.143034,-2.99867,0.00640235,-1.91067,0.0614071,All
-1.18473,0.187424,-2.96235,0.00291016,-1.82459,0.0693306,All
-1.08102,0.233458,-2.92603,0.00523829,-1.73851,0.0574453,All
-0.977311,0.243322,-2.88971,0.00582032,-1.65244,0.0970628,All
-0.873599,0.287712,-2.85339,0.00814844,-1.56636,0.114891,All
-0.769888,0.28278,-2.81707,0.00465625,-1.48028,0.104986,All
-0.666177,0.32717,-2.78075,0.00873048,-1.3942,0.140642,All
-0.562465,0.345254,-2.74442,0.00640235,-1.30813,0.128757,All
-0.458754,0.322237,-2.7081,0.00814844,-1.22205,0.164412,All
-0.355043,0.401153,-2.67178,0.00931251,-1.13597,0.211953,All
-0.251331,0.420882,-2.63546,0.0122227,-1.04989,0.215915,All
-0.14762,0.44061,-2.59914,0.0168789,-0.963816,0.245628,All
-0.0439088,0.437322,-2.56282,0.0133867,-0.877739,0.275341,All
0.0598025,0.406085,-2.52649,0.017461,-0.791662,0.277322,All
0.163514,0.412661,-2.49017,0.0168789,-0.705584,0.346653,All
0.267225,0.437322,-2.45385,0.017461,-0.619507,0.285246,All
0.370936,0.425814,-2.41753,0.0162969,-0.533429,0.330806,All
0.474648,0.350187,-2.38121,0.017461,-0.447352,0.346653,All
0.578359,0.338678,-2.34489,0.0238633,-0.361274,0.344672,All
0.68207,0.353475,-2.30856,0.0256094,-0.275197,0.414002,All
0.785782,0.307441,-2.27224,0.0314297,-0.189119,0.415983,All
0.889493,0.295932,-2.23592,0.0256094,-0.103042,0.441735,All
0.993204,0.266339,-2.1996,0.0320117,-0.0169645,0.461543,All
1.09692,0.187424,-2.16328,0.0256094,0.0691129,0.394194,All
1.20063,0.152898,-2.12696,0.0331758,0.15519,0.396175,All
1.30434,0.164407,-2.09064,0.0355039,0.241268,0.461543,All
1.40805,0.103576,-2.05431,0.0430703,0.327345,0.40806,All
1.51176,0.134814,-2.01799,0.0430703,0.413423,0.417964,All
1.61547,0.0805594,-1.98167,0.0506368,0.4995,0.376366,All
1.71918,0.0854916,-1.94535,0.0663516,0.585578,0.350615,All
1.82289,0.0674068,-1.90903,0.0494727,0.671655,0.360519,All
1.92661,0.0657627,-1.87271,0.0529649,0.757732,0.324863,All
2.03032,0.0427458,-1.83638,0.0768282,0.84381,0.285246,All
2.13403,0.0394576,-1.80006,0.0669336,0.929887,0.297131,All
2.23774,0.0295932,-1.76374,0.0873048,1.01596,0.277322,All
2.34145,0.0197288,-1.72742,0.0942891,1.10204,0.217896,All
2.44516,0.0147966,-1.6911,0.0838126,1.18812,0.156489,All
2.54887,0.0180848,-1.65478,0.0937071,1.2742,0.164412,All
2.65259,0.0180848,-1.61845,0.091961,1.36027,0.124795,All
2.7563,0.0115085,-1.58213,0.125719,1.44635,0.110929,All
2.86001,0.00822034,-1.54581,0.105348,1.53243,0.110929,All
2.96372,0.00657627,-1.50949,0.135031,1.61851,0.104986,All
3.06743,0.00986441,-1.47317,0.136195,1.70458,0.0752732,All
3.17114,0.00493221,-1.43685,0.14318,1.79066,0.0792349,All
3.27485,0.00328814,-1.40053,0.147836,1.87674,0.0732923,All
3.37856,0.00164407,-1.3642,0.165297,1.96282,0.0633879,All
3.48228,0.00164407,-1.32788,0.184504,2.04889,0.031694,All
3.58599,0.00328814,-1.29156,0.18043,2.13497,0.0356557,All
3.6897,0.00328814,-1.25524,0.18916,2.22105,0.0118852,All
3.79341,0.00164407,-1.21892,0.195563,2.30713,0.0297131,All
3.89712,0.00164407,-1.1826,0.192652,2.3932,0.015847,All
4.00083,0,-1.14627,0.217098,2.47928,0.0237705,All
4.10454,0,-1.10995,0.215934,2.56536,0.0257514,All
4.20826,0,-1.07363,0.222336,2.65144,0.0198087,All
4.31197,0,-1.03731,0.230485,2.73751,0.00792349,All
