standEta_A1_abscissa,standEta_A1_pdf,standEta_tau1_abscissa,standEta_tau1_pdf,standEta_I0_abscissa,standEta_I0_pdf,split
-2.78258,0.0278146,-3.4801,0.020613,-3.0053,0.0427009,All
-2.49837,0.00695365,-3.19247,0.034355,-2.77389,0.00854018,All
-2.21416,0.0834438,-2.90484,0,-2.54248,0.0170804,All
-1.92995,0.0764902,-2.61722,0.00687101,-2.31107,0,All
-1.64574,0.125166,-2.32959,0.00687101,-2.07966,0.0341607,All
-1.36154,0.159934,-2.04196,0.027484,-1.84825,0.0256205,All
-1.07733,0.194702,-1.75434,0.0961941,-1.61684,0.0768616,All
-0.793119,0.222517,-1.46671,0.109936,-1.38543,0.128103,All
-0.508911,0.396358,-1.17908,0.164904,-1.15402,0.187884,All
-0.224702,0.493709,-0.891456,0.199259,-0.922611,0.256205,All
0.0595057,0.347683,-0.60383,0.439744,-0.691201,0.247665,All
0.343714,0.43808,-0.316203,0.446615,-0.45979,0.290366,All
0.627922,0.417219,-0.0285764,0.377905,-0.22838,0.48679,All
0.91213,0.215563,0.25905,0.474099,0.00302983,0.512411,All
1.19634,0.194702,0.546677,0.398518,0.23444,0.563652,All
1.48055,0.0764902,0.834304,0.164904,0.46585,0.427009,All
1.76475,0.104305,1.12193,0.199259,0.69726,0.409929,All
2.04896,0.020861,1.40956,0.164904,0.92867,0.324527,All
2.33317,0.0139073,1.69718,0.116807,1.16008,0.145183,All
2.61738,0,1.98481,0.0824521,1.39149,0.128103,All
2.90159,0,2.27244,0.0687101,1.6229,0.0854018,All
3.1858,0.0347683,2.56006,0.00687101,1.85431,0.0512411,All
3.47,0.020861,2.84769,0.020613,2.08572,0.0597813,All
