rep,ID,standEta_A1_simulated,standEta_tau1_simulated,standEta_I0_simulated,filter
1,64,-0.683309,0.73525,-0.319922,0
2,64,0.388614,-0.326757,-1.02884,0
3,64,-0.0804496,0.095665,-0.583756,0
4,64,-0.184479,0.30056,-0.332838,0
5,64,-0.424265,0.359686,-0.30738,0
6,64,-0.302504,0.36619,-0.323841,0
7,64,0.0379368,-0.150373,-0.693786,0
8,64,-0.436875,0.446464,-0.188461,0
1,73,1.09978,-1.09604,0.397047,0
2,73,0.767903,-0.572302,0.467255,0
3,73,0.0254165,0.0980201,1.31503,0
4,73,1.33721,-1.31484,0.272547,0
5,73,0.476756,-0.386108,0.900074,0
6,73,0.143817,-0.150221,1.03887,0
7,73,0.0755519,-0.0218077,1.10591,0
8,73,0.35069,-0.33561,0.915962,0
1,74,-0.110592,0.162335,0.287954,0
2,74,-0.179406,0.279742,0.25466,0
3,74,0.648762,-0.652905,-0.0653815,0
4,74,1.05998,-1.13362,-0.872928,0
5,74,1.16,-1.23946,-0.983726,0
6,74,1.46866,-1.50122,-1.3984,0
7,74,-0.120391,0.0945644,0.539705,0
8,74,0.0918909,-0.0842316,0.18865,0
1,75,0.139365,-0.147478,-0.108461,0
2,75,-0.254829,0.25956,0.194565,0
3,75,0.231919,-0.136797,-0.290771,0
4,75,0.41945,-0.401346,-0.298017,0
5,75,1.07653,-1.03333,-0.954843,0
6,75,1.01536,-1.05142,-0.804319,0
7,75,-0.352511,0.250933,0.288394,0
8,75,-0.354833,0.35269,0.221398,0
1,76,0.519656,-0.638275,-0.642112,0
2,76,0.910161,-0.936535,-1.0609,0
3,76,1.07528,-1.05251,-1.36811,0
4,76,0.710954,-0.726374,-0.883209,0
5,76,-0.285091,0.26869,-0.142785,0
6,76,-0.508976,0.360179,-0.0616894,0
7,76,-0.303109,0.233581,-0.0419878,0
8,76,-0.0298363,-0.0696989,-0.135134,0
1,77,0.557367,-0.646449,-0.330281,0
2,77,0.613004,-0.597675,-0.134476,0
3,77,0.359522,-0.377496,0.40306,0
4,77,-1.53552,1.51583,1.34837,0
5,77,-1.16966,1.2059,1.32656,0
6,77,0.657993,-0.6266,-0.2123,0
7,77,0.513114,-0.530631,-0.134179,0
8,77,0.377255,-0.36975,0.276008,0
1,78,-1.02739,1.06346,-0.44341,0
2,78,-0.53965,0.639171,-1.00069,0
3,78,-1.05808,0.99877,-0.680839,0
4,78,0.557585,-0.484307,-2.06319,0
5,78,-1.75178,1.7594,-0.125459,0
6,78,-2.87025,2.9915,0.194486,0
7,78,-2.92468,2.88074,0.342937,0
8,78,0.160409,-0.133731,-1.43877,0
1,79,0.615157,-0.625681,-0.132491,0
2,79,0.316057,-0.426318,-0.155089,0
3,79,0.0711931,0.0186331,0.105434,0
4,79,0.454061,-0.371616,-0.0888549,0
