ID,time,observation,median,piLower,piUpper,censored,color,filter
64,0,0.456322,0.475502,0.338601,0.593368,0,#4682B4,0
64,0.3539,0.542919,0.628713,0.493137,0.759054,0,#4682B4,0
64,0.7078,0.564334,0.658173,0.505689,0.79974,0,#4682B4,0
64,1.0617,0.512804,0.661413,0.509856,0.815324,0,#4682B4,0
64,1.4156,0.685256,0.66605,0.514126,0.834244,0,#4682B4,0
64,1.7695,0.579454,0.65817,0.517351,0.818729,0,#4682B4,0
64,2.1234,0.65844,0.668111,0.532575,0.817383,0,#4682B4,0
64,2.4773,0.61947,0.660847,0.52675,0.816282,0,#4682B4,0
64,2.8312,0.694681,0.663775,0.510044,0.814344,0,#4682B4,0
64,3.185,0.512761,0.662961,0.524861,0.815796,0,#4682B4,0
64,3.6882,0.614926,0.665804,0.511278,0.817103,0,#4682B4,0
64,4.0421,0.646861,0.65976,0.528682,0.812329,0,#4682B4,0
64,4.396,0.576457,0.653947,0.524286,0.796299,0,#4682B4,0
64,4.7499,0.61749,0.666265,0.517755,0.808873,0,#4682B4,0
64,5.1038,0.514017,0.658792,0.50975,0.8167,0,#4682B4,0
64,5.4577,0.608404,0.663321,0.525847,0.813236,0,#4682B4,0
64,5.8116,0.655792,0.666406,0.530777,0.817972,0,#4682B4,0
64,6.1655,0.589048,0.665067,0.510674,0.804861,0,#4682B4,0
64,6.5194,0.729878,0.666896,0.522323,0.820942,0,#4682B4,0
64,6.8733,0.597206,0.6611,0.525742,0.806993,0,#4682B4,0
64,7.2272,0.73842,0.665101,0.515901,0.817878,0,#4682B4,0
64,7.5811,0.683489,0.659535,0.512939,0.820535,0,#4682B4,0
64,7.935,0.707587,0.661512,0.519915,0.80869,0,#4682B4,0
64,8.2889,0.697563,0.661262,0.521247,0.824296,0,#4682B4,0
64,8.6428,0.63069,0.662975,0.521697,0.833523,0,#4682B4,0
64,8.9967,0.635013,0.663425,0.510386,0.802501,0,#4682B4,0
64,9.3506,0.6631,0.664556,0.523865,0.807804,0,#4682B4,0
64,9.7044,0.673488,0.662335,0.519374,0.821184,0,#4682B4,0
64,10.0583,0.635835,0.657495,0.509785,0.81068,0,#4682B4,0
64,10.4122,0.630219,0.657828,0.517147,0.821279,0,#4682B4,0
64,10.7661,0.658018,0.654198,0.526143,0.817431,0,#4682B4,0
64,11.12,0.662643,0.664244,0.516689,0.825958,0,#4682B4,0
64,11.4739,0.572188,0.666707,0.523497,0.804364,0,#4682B4,0
64,11.8278,0.714433,0.662709,0.530972,0.820861,0,#4682B4,0
64,12.1817,0.646652,0.663301,0.52507,0.820303,0,#4682B4,0
64,12.5356,0.642466,0.664204,0.514946,0.813069,0,#4682B4,0
64,12.8895,0.56545,0.664652,0.519956,0.822511,0,#4682B4,0
64,13.2434,0.687537,0.666522,0.532551,0.813653,0,#4682B4,0
