rep,ID,time,observation,indivPredSimulated,censored,split,color,filter
1,64,0,0.456322,0.448033,0,All,#4682B4,0
2,64,0,0.456322,0.415079,0,All,#4682B4,0
3,64,0,0.456322,0.435473,0,All,#4682B4,0
4,64,0,0.456322,0.447409,0,All,#4682B4,0
5,64,0,0.456322,0.448639,0,All,#4682B4,0
6,64,0,0.456322,0.447843,0,All,#4682B4,0
7,64,0,0.456322,0.43034,0,All,#4682B4,0
8,64,0,0.456322,0.454425,0,All,#4682B4,0
1,64,0.3539,0.542919,0.59224,0,All,#4682B4,0
2,64,0.3539,0.542919,0.582189,0,All,#4682B4,0
3,64,0.3539,0.542919,0.592041,0,All,#4682B4,0
4,64,0.3539,0.542919,0.602894,0,All,#4682B4,0
5,64,0.3539,0.542919,0.597138,0,All,#4682B4,0
6,64,0.3539,0.542919,0.600237,0,All,#4682B4,0
7,64,0.3539,0.542919,0.587849,0,All,#4682B4,0
8,64,0.3539,0.542919,0.603417,0,All,#4682B4,0
1,64,0.7078,0.564334,0.610785,0,All,#4682B4,0
2,64,0.7078,0.564334,0.614408,0,All,#4682B4,0
3,64,0.7078,0.564334,0.618011,0,All,#4682B4,0
4,64,0.7078,0.564334,0.626751,0,All,#4682B4,0
5,64,0.7078,0.564334,0.619403,0,All,#4682B4,0
6,64,0.7078,0.564334,0.623028,0,All,#4682B4,0
7,64,0.7078,0.564334,0.616414,0,All,#4682B4,0
8,64,0.7078,0.564334,0.625001,0,All,#4682B4,0
1,64,1.0617,0.512804,0.61317,0,All,#4682B4,0
2,64,1.0617,0.512804,0.62062,0,All,#4682B4,0
3,64,1.0617,0.512804,0.622318,0,All,#4682B4,0
4,64,1.0617,0.512804,0.630412,0,All,#4682B4,0
5,64,1.0617,0.512804,0.622742,0,All,#4682B4,0
6,64,1.0617,0.512804,0.626437,0,All,#4682B4,0
7,64,1.0617,0.512804,0.621594,0,All,#4682B4,0
8,64,1.0617,0.512804,0.628128,0,All,#4682B4,0
1,64,1.4156,0.685256,0.613477,0,All,#4682B4,0
2,64,1.4156,0.685256,0.621818,0,All,#4682B4,0
