popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
0.463749,0.491655,0.463749,0.354349,0.573149,0.346057,0.35518,0.346057,0.236657,0.455457,All
0.466957,0.494375,0.466957,0.357557,0.576357,0.352352,0.361492,0.352352,0.242952,0.461751,All
0.467566,0.494892,0.467566,0.358166,0.576966,0.356181,0.365332,0.356181,0.246781,0.465581,All
0.470188,0.497114,0.470188,0.360788,0.579588,0.35876,0.367919,0.35876,0.24936,0.46816,All
0.471384,0.498128,0.471384,0.361984,0.580784,0.365285,0.374462,0.365285,0.255885,0.474685,All
0.473441,0.499872,0.473441,0.364041,0.582841,0.366304,0.375483,0.366304,0.256904,0.475704,All
0.475202,0.501365,0.475202,0.365802,0.584602,0.371929,0.381125,0.371929,0.262529,0.481329,All
0.476716,0.502649,0.476716,0.367316,0.586116,0.376427,0.385635,0.376427,0.267027,0.485827,All
0.479019,0.504601,0.479019,0.369619,0.588419,0.378694,0.387908,0.378694,0.269294,0.488094,All
0.480014,0.505445,0.480014,0.370614,0.589414,0.385582,0.394816,0.385582,0.276182,0.494982,All
0.482837,0.507838,0.482837,0.373437,0.592237,0.38655,0.395787,0.38655,0.27715,0.49595,All
0.483335,0.50826,0.483335,0.373935,0.592735,0.392595,0.401848,0.392595,0.283195,0.501995,All
0.486655,0.511074,0.486655,0.377255,0.596054,0.396673,0.405422,0.396673,0.287273,0.506073,All
0.486679,0.511095,0.486679,0.377279,0.596079,0.399735,0.40798,0.399735,0.290335,0.509135,All
0.490046,0.51395,0.490046,0.380646,0.599446,0.406797,0.413831,0.406797,0.297397,0.516197,All
0.490472,0.514311,0.490472,0.381072,0.599872,0.407006,0.414003,0.407006,0.297606,0.516406,All
0.493436,0.516824,0.493436,0.384036,0.602836,0.414408,0.420061,0.414408,0.305008,0.523808,All
0.49429,0.517548,0.49429,0.38489,0.60369,0.41692,0.422111,0.41692,0.30752,0.52632,All
0.49685,0.519718,0.49685,0.38745,0.60625,0.421946,0.426213,0.421946,0.312546,0.531346,All
0.498107,0.520784,0.498107,0.388707,0.607507,0.427043,0.43041,0.427043,0.317643,0.536443,All
0.500288,0.522632,0.500288,0.390888,0.609688,0.42962,0.432555,0.42962,0.32022,0.53902,All
0.501925,0.524021,0.501925,0.392525,0.611325,0.437166,0.438934,0.437166,0.327766,0.546566,All
0.503749,0.525567,0.503749,0.394349,0.613149,0.437434,0.439163,0.437434,0.328034,0.546834,All
0.505743,0.527257,0.505743,0.396343,0.615143,0.44539,0.446124,0.44539,0.33599,0.55479,All
0.507234,0.528521,0.507234,0.397834,0.616634,0.447289,0.447843,0.447289,0.337889,0.556689,All
0.50956,0.530494,0.50956,0.40016,0.61896,0.453491,0.453564,0.453491,0.344091,0.562891,All
0.510743,0.531496,0.510743,0.401343,0.620143,0.457413,0.457318,0.457413,0.348013,0.566813,All
0.513378,0.53373,0.513378,0.403978,0.622778,0.461739,0.461589,0.461739,0.352339,0.571139,All
0.514277,0.534492,0.514277,0.404877,0.623677,0.467536,0.467515,0.467536,0.358136,0.576936,All
0.517196,0.536967,0.517196,0.407796,0.626596,0.470138,0.47028,0.470138,0.360738,0.579537,All
0.517835,0.537509,0.517835,0.408435,0.627235,0.477659,0.478548,0.477659,0.368259,0.587059,All
0.521013,0.540203,0.521013,0.411613,0.630413,0.478688,0.4797,0.478688,0.369288,0.588088,All
0.521417,0.540546,0.521417,0.412017,0.630817,0.487395,0.48949,0.487395,0.377995,0.596795,All
0.524831,0.54344,0.524831,0.415431,0.634231,0.487782,0.489922,0.487782,0.378382,0.597182,All
0.525025,0.543604,0.525025,0.415625,0.634425,0.49626,0.499297,0.49626,0.38686,0.60566,All
0.528649,0.546677,0.528649,0.419249,0.638049,0.497905,0.501068,0.497905,0.388505,0.607305,All
0.528657,0.546684,0.528657,0.419257,0.638057,0.505286,0.508642,0.505286,0.395886,0.614686,All
0.532314,0.549784,0.532314,0.422914,0.641714,0.508029,0.511304,0.508029,0.398629,0.617429,All
0.532466,0.549913,0.532466,0.423066,0.641866,0.514476,0.517055,0.514476,0.405076,0.623876,All
0.535997,0.552907,0.535997,0.426597,0.645397,0.518152,0.519933,0.518152,0.408752,0.627552,All
0.536284,0.55315,0.536284,0.426884,0.645684,0.523833,0.523965,0.523833,0.414433,0.633233,All
0.539705,0.55605,0.539705,0.430305,0.649105,0.528275,0.526751,0.528275,0.418875,0.637675,All
0.540102,0.556386,0.540102,0.430702,0.649501,0.533361,0.530004,0.533361,0.423961,0.642761,All
0.543439,0.559216,0.543439,0.434039,0.652839,0.538398,0.534131,0.538398,0.428998,0.647798,All
0.543919,0.559623,0.543919,0.434519,0.653319,0.543062,0.538451,0.543062,0.433662,0.652462,All
0.547199,0.562403,0.547199,0.437799,0.656599,0.548521,0.54569,0.548521,0.439121,0.657921,All
0.547737,0.562859,0.547737,0.438337,0.657137,0.552939,0.553048,0.552939,0.443539,0.662339,All
0.550985,0.565613,0.550985,0.441585,0.660385,0.558645,0.557624,0.558645,0.449245,0.668045,All
0.551554,0.566096,0.551554,0.442155,0.660954,0.562996,0.561227,0.562996,0.453596,0.672396,All
0.554797,0.568845,0.554797,0.445397,0.664197,0.568768,0.566961,0.568768,0.459368,0.678168,All
0.555372,0.569332,0.555372,0.445972,0.664772,0.573236,0.572866,0.573236,0.463836,0.682636,All
0.558635,0.572099,0.558635,0.449235,0.668035,0.578891,0.580272,0.578891,0.469491,0.688291,All
0.55919,0.572569,0.55919,0.44979,0.66859,0.583662,0.585275,0.583662,0.474262,0.693062,All
0.5625,0.575375,0.5625,0.4531,0.6719,0.589014,0.588503,0.589014,0.479614,0.698414,All
0.563007,0.575806,0.563007,0.453607,0.672407,0.594278,0.592818,0.594278,0.484878,0.703678,All
0.566391,0.578674,0.566391,0.456991,0.675791,0.599137,0.599147,0.599137,0.489737,0.708537,All
0.566825,0.579042,0.566825,0.457425,0.676225,0.605087,0.610556,0.605087,0.495687,0.714487,All
0.57031,0.581997,0.57031,0.46091,0.67971,0.609261,0.615909,0.609261,0.499861,0.718661,All
0.570643,0.582279,0.570643,0.461243,0.680043,0.616092,0.610145,0.616092,0.506692,0.725492,All
0.574256,0.585342,0.574256,0.464856,0.683656,0.619384,0.604544,0.619384,0.509984,0.728784,All
0.57446,0.585515,0.57446,0.46506,0.68386,0.627298,0.6289,0.627298,0.517898,0.736698,All
0.578229,0.58871,0.578229,0.468829,0.687628,0.629507,0.627703,0.629507,0.520107,0.738907,All
0.578278,0.588752,0.578278,0.468878,0.687678,0.638707,0.639047,0.638707,0.529307,0.748107,All
0.582096,0.591988,0.582096,0.472696,0.691496,0.63963,0.639982,0.63963,0.53023,0.74903,All
0.582229,0.592101,0.582229,0.472829,0.691629,0.649753,0.649513,0.649753,0.540353,0.759153,All
0.585913,0.595225,0.585913,0.476513,0.695313,0.650324,0.649786,0.650324,0.540924,0.759724,All
0.586257,0.595516,0.586257,0.476857,0.695657,0.659877,0.659428,0.659877,0.550477,0.769277,All
0.589731,0.598461,0.589731,0.480331,0.699131,0.662152,0.661884,0.662152,0.552752,0.771552,All
0.590313,0.598955,0.590313,0.480913,0.699713,0.67,0.669988,0.67,0.5606,0.7794,All
0.593549,0.601698,0.593549,0.484149,0.702949,0.674195,0.674477,0.674195,0.564796,0.783595,All
0.594397,0.602417,0.594397,0.484997,0.703797,0.680123,0.680289,0.680123,0.570723,0.789523,All
0.597366,0.604934,0.597366,0.487966,0.706766,0.686458,0.68716,0.686458,0.577058,0.795858,All
0.598509,0.605904,0.598509,0.489109,0.707909,0.690246,0.690124,0.690246,0.580846,0.799646,All
0.601184,0.608171,0.601184,0.491784,0.710584,0.698943,0.700024,0.698943,0.589543,0.808343,All
0.60265,0.609414,0.60265,0.49325,0.71205,0.700369,0.700582,0.700369,0.590969,0.809769,All
0.605002,0.611408,0.605002,0.495602,0.714401,0.710493,0.709665,0.710493,0.601093,0.819893,All
0.606819,0.612949,0.606819,0.497419,0.716219,0.711656,0.710959,0.711656,0.602256,0.821056,All
0.608819,0.614644,0.608819,0.499419,0.718219,0.720616,0.721583,0.720616,0.611216,0.830016,All
0.611018,0.616508,0.611018,0.501618,0.720418,0.724599,0.725005,0.724599,0.6152,0.833999,All
0.612637,0.617881,0.612637,0.503237,0.722037,0.730739,0.731456,0.730739,0.621339,0.840139,All
0.615245,0.620092,0.615245,0.505845,0.724645,0.737779,0.73855,0.737779,0.628379,0.847179,All
0.616454,0.621117,0.616454,0.507054,0.725854,0.740862,0.741007,0.740862,0.631462,0.850262,All
0.619501,0.6237,0.619501,0.510101,0.728901,0.750985,0.751973,0.750985,0.641585,0.860385,All
0.620272,0.624354,0.620272,0.510872,0.729672,0.751197,0.752212,0.751197,0.641798,0.860597,All
0.623787,0.627339,0.623787,0.514387,0.733187,0.761109,0.763381,0.761109,0.651709,0.870509,All
0.62409,0.627596,0.62409,0.51469,0.73349,0.76486,0.767609,0.76486,0.65546,0.87426,All
0.627907,0.630842,0.627907,0.518507,0.737307,0.771232,0.774788,0.771232,0.661832,0.880632,All
0.628103,0.631008,0.628103,0.518703,0.737503,0.778772,0.783285,0.778772,0.669372,0.888172,All
0.631725,0.634088,0.631725,0.522325,0.741125,0.781355,0.786196,0.781355,0.671955,0.890755,All
0.632448,0.634703,0.632448,0.523048,0.741848,0.791478,0.794772,0.791478,0.682078,0.900878,All
0.635543,0.637334,0.635543,0.526143,0.744943,0.792936,0.795651,0.792936,0.683536,0.902336,All
0.636824,0.638423,0.636824,0.527424,0.746224,0.801601,0.797757,0.801601,0.692202,0.911001,All
0.63936,0.64058,0.63936,0.52996,0.74876,0.807358,0.797925,0.807358,0.697958,0.916758,All
0.64123,0.642169,0.64123,0.53183,0.75063,0.811725,0.798052,0.811725,0.702325,0.921125,All
0.643178,0.643825,0.643178,0.533778,0.752578,0.821848,0.801921,0.821848,0.712448,0.931248,All
0.645666,0.645941,0.645666,0.536266,0.755066,0.822043,0.802098,0.822043,0.712643,0.931443,All
0.646996,0.647071,0.646996,0.537596,0.756396,0.831971,0.811123,0.831971,0.722571,0.941371,All
0.650133,0.652278,0.650133,0.540733,0.759533,0.836994,0.815689,0.836994,0.727594,0.946394,All
0.650813,0.654376,0.650813,0.541413,0.760213,0.842094,0.822787,0.842094,0.732694,0.951494,All
0.654631,0.66112,0.654631,0.545231,0.764031,0.852217,0.853674,0.852217,0.742818,0.961617,All
