time,mean,sd,split
0,0.495372,0.0692884,All
0.3539,0.607461,0.0806649,All
0.7078,0.626983,0.0743194,All
1.0617,0.672238,0.0733049,All
1.4156,0.671836,0.0639261,All
1.7695,0.683371,0.0812118,All
2.1234,0.685619,0.0765604,All
2.4773,0.677985,0.0828623,All
2.8312,0.682197,0.0829351,All
3.18507,0.67714,0.0919259,All
3.58536,0.684533,0.0785266,All
3.8929,0.692633,0.0908539,All
4.23171,0.695773,0.0873659,All
4.6007,0.677726,0.0910839,All
4.93951,0.690873,0.09006,All
5.35486,0.691335,0.0824178,All
5.6624,0.684969,0.0783888,All
6.00116,0.691178,0.0871654,All
6.3701,0.694778,0.103371,All
6.70896,0.691532,0.0930965,All
7.0779,0.681714,0.0874087,All
7.41676,0.689973,0.0836044,All
7.83209,0.682995,0.0816295,All
8.1396,0.677927,0.0965201,All
8.47846,0.687687,0.0760779,All
8.8474,0.695095,0.0967466,All
9.18626,0.682812,0.0778647,All
9.60156,0.687721,0.0938303,All
9.9091,0.685516,0.0952759,All
10.2479,0.674508,0.0907922,All
10.6169,0.695033,0.108509,All
10.9557,0.687159,0.0869485,All
11.3247,0.677857,0.0911671,All
11.6635,0.682749,0.0894292,All
12.0789,0.672241,0.0898351,All
12.3863,0.67294,0.101275,All
12.7252,0.672196,0.0806475,All
13.0941,0.676332,0.0816981,All
13.433,0.678273,0.100733,All
13.8019,0.668475,0.0845534,All
14.1408,0.663073,0.0874076,All
14.5561,0.665814,0.0838534,All
14.8636,0.682461,0.10372,All
15.2025,0.66187,0.0921838,All
15.5714,0.684537,0.0827039,All
15.9102,0.667064,0.0855599,All
16.2792,0.646305,0.0766952,All
16.618,0.654792,0.0906342,All
17.0334,0.667703,0.0944454,All
17.3409,0.667093,0.0950011,All
17.6797,0.659967,0.0921145,All
18.0487,0.667153,0.104232,All
18.3875,0.666106,0.0999696,All
18.7564,0.671864,0.084794,All
19.0953,0.663401,0.0984801,All
19.5106,0.658824,0.094706,All
19.8181,0.660481,0.100083,All
20.157,0.649888,0.0842429,All
20.5259,0.652676,0.106919,All
20.8648,0.653829,0.0933261,All
21.2337,0.653485,0.0962013,All
21.5726,0.645598,0.0915381,All
21.9879,0.648975,0.095094,All
22.2954,0.640672,0.0957439,All
22.6342,0.645925,0.104243,All
23.0032,0.640163,0.0804571,All
23.342,0.643201,0.0975912,All
23.711,0.639271,0.0943757,All
24.0498,0.646874,0.0944713,All
24.4652,0.636375,0.0977166,All
24.7727,0.641547,0.0882978,All
25.1115,0.629695,0.0876695,All
25.4804,0.638531,0.0721104,All
25.8193,0.628767,0.0915579,All
26.2346,0.641594,0.088681,All
26.5421,0.624809,0.0855221,All
26.881,0.632175,0.0930779,All
27.2499,0.634133,0.0797479,All
27.5888,0.63544,0.0990715,All
27.9577,0.62913,0.0933326,All
28.2966,0.636282,0.0978101,All
28.7119,0.622026,0.0957381,All
29.0194,0.608344,0.0905263,All
29.3582,0.627754,0.0906404,All
29.7272,0.639041,0.0980594,All
30.066,0.627348,0.0977639,All
30.435,0.628487,0.0997331,All
30.7738,0.629152,0.0974211,All
31.1892,0.626827,0.0853979,All
31.543,0.611347,0.0854563,All
