iteration,convergenceIndicator,phase,A1_pop,tau1_pop,I0_pop,omega_A1,omega_tau1,omega_I0,corr_tau1_A1,a
1,11051.7,1,0.193651,5.05077,0.461746,1,1,1,-0.998984,1
2,10752.9,1,0.218781,4.5036,0.345682,0.974679,0.974679,0.974679,-0.998984,0.974679
3,10468.7,1,0.19869,4.96988,0.350117,0.95,0.95,0.95,-0.998984,0.95
4,10145,1,0.224914,4.38068,0.336617,0.925945,0.925945,0.925945,-0.998984,0.925945
5,9813.88,1,0.243686,4.04422,0.33273,0.9025,0.9025,0.9025,-0.998984,0.9025
6,9561.03,1,0.24869,3.96425,0.310814,0.879648,0.879648,0.879648,-0.998984,0.879648
7,9208.8,1,0.243719,4.03233,0.321918,0.857375,0.857375,0.857375,-0.998984,0.857375
8,8955.78,1,0.27305,3.57859,0.272992,0.835666,0.835666,0.835666,-0.998984,0.835666
9,8585.01,1,0.298113,3.26513,0.263091,0.814506,0.814506,0.814506,-0.998984,0.814506
10,8282.31,1,0.314101,3.08474,0.27899,0.793882,0.793882,0.793882,-0.998984,0.793882
11,7969.42,1,0.298302,3.22376,0.279129,0.773781,0.773781,0.773781,-0.998984,0.773781
12,7667.74,1,0.259509,3.70122,0.322428,0.754188,0.754188,0.754188,-0.998984,0.754188
13,7328.86,1,0.256467,3.74978,0.34253,0.735092,0.735092,0.735092,-0.998984,0.735092
14,7020.65,1,0.255267,3.75945,0.337935,0.716479,0.716479,0.716479,-0.998984,0.716479
15,6728.72,1,0.274847,3.49139,0.308815,0.698337,0.698337,0.698337,-0.998984,0.698337
16,6420.89,1,0.258782,3.70784,0.313383,0.680655,0.680655,0.680655,-0.998984,0.680655
17,6106.9,1,0.275796,3.48181,0.313361,0.66342,0.66342,0.66342,-0.998984,0.66342
18,5811.84,1,0.262525,3.64192,0.32577,0.646622,0.646622,0.646622,-0.998984,0.646622
19,5459.76,1,0.266009,3.59845,0.332844,0.630249,0.630249,0.630249,-0.998984,0.630249
20,5159.36,1,0.270242,3.52166,0.307072,0.614291,0.614291,0.614291,-0.998984,0.614291
21,4845.84,1,0.293075,3.2605,0.311217,0.598737,0.598737,0.598737,-0.998984,0.598737
22,4534.18,1,0.317811,3.01247,0.29678,0.583577,0.583577,0.583577,-0.998984,0.583577
23,4277.64,1,0.302744,3.15929,0.300204,0.5688,0.5688,0.5688,-0.998984,0.5688
24,3940.44,1,0.294036,3.25987,0.317757,0.554398,0.554398,0.554398,-0.998984,0.554398
25,3569.78,1,0.308517,3.10407,0.318214,0.54036,0.54036,0.54036,-0.998984,0.54036
26,3311.46,1,0.301786,3.16325,0.312188,0.526678,0.526678,0.526678,-0.998984,0.526678
27,3004.45,1,0.30118,3.15682,0.310537,0.513342,0.513342,0.513342,-0.998984,0.513342
28,2711.95,1,0.301034,3.1614,0.313715,0.500344,0.500344,0.500344,-0.998984,0.500344
29,2398.65,1,0.280808,3.37712,0.319902,0.487675,0.487675,0.487675,-0.998984,0.487675
30,2121.34,1,0.282252,3.37076,0.324418,0.475327,0.475327,0.475327,-0.998984,0.475327
31,1812.12,1,0.293209,3.25065,0.309203,0.463291,0.463291,0.463291,-0.998984,0.463291
