ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
64,0,0.463749,-0.223085,-0.223085,0.441588,0.221535,0.221535,0.441618,0.221081,0.221081,0.463749,-0.236368,-0.236368,0,All,#4682B4,0
64,0.3539,0.621834,-1.01137,-1.01137,0.593984,-0.767785,-0.767785,0.595265,-0.787042,-0.787042,0.621834,-0.984282,-0.984282,0,All,#4682B4,0
64,0.7078,0.648996,-1.06375,-1.06375,0.617634,-0.801376,-0.801376,0.619689,-0.832273,-0.832273,0.648996,-1.03522,-1.03522,0,All,#4682B4,0
64,1.0617,0.653663,-1.69358,-1.69358,0.621304,-1.63133,-1.63133,0.623571,-1.66542,-1.66542,0.653663,-1.59046,-1.59046,0,All,#4682B4,0
64,1.4156,0.654465,0.204338,0.204338,0.621874,0.952965,0.952965,0.624189,0.91816,0.91816,0.654465,0.224994,0.224994,0,All,#4682B4,0
64,1.7695,0.654602,-0.899253,-0.899253,0.621962,-0.639112,-0.639112,0.624287,-0.674063,-0.674063,0.654602,-0.927565,-0.927565,0,All,#4682B4,0
64,2.1234,0.654626,-0.162992,-0.162992,0.621976,0.548244,0.548244,0.624302,0.513264,0.513264,0.654626,-0.143279,-0.143279,0,All,#4682B4,0
64,2.4773,0.65463,-0.489782,-0.489782,0.621978,-0.0377133,-0.0377133,0.624305,-0.0726981,-0.0726981,0.65463,-0.457082,-0.457082,0,All,#4682B4,0
64,2.8312,0.654631,0.312277,0.312277,0.621978,1.09311,1.09311,0.624305,1.05812,1.05812,0.654631,0.321138,0.321138,0,All,#4682B4,0
64,3.185,0.654631,-1.71701,-1.71701,0.621978,-1.6421,-1.6421,0.624305,-1.67709,-1.67709,0.654631,-1.73378,-1.73378,0,All,#4682B4,0
64,3.6882,0.654631,-0.528081,-0.528081,0.621978,-0.10603,-0.10603,0.624305,-0.141016,-0.141016,0.654631,-0.569944,-0.569944,0,All,#4682B4,0
64,4.0421,0.654631,-0.180302,-0.180302,0.621978,0.374118,0.374118,0.624305,0.339132,0.339132,0.654631,-0.153625,-0.153625,0,All,#4682B4,0
64,4.396,0.654631,-0.98552,-0.98552,0.621978,-0.684416,-0.684416,0.624305,-0.719402,-0.719402,0.654631,-1.01933,-1.01933,0,All,#4682B4,0
64,4.7499,0.654631,-0.539963,-0.539963,0.621978,-0.0674752,-0.0674752,0.624305,-0.102461,-0.102461,0.654631,-0.557946,-0.557946,0,All,#4682B4,0
64,5.1038,0.654631,-1.573,-1.573,0.621978,-1.62322,-1.62322,0.624305,-1.6582,-1.6582,0.654631,-1.58802,-1.58802,0,All,#4682B4,0
64,5.4577,0.654631,-0.607132,-0.607132,0.621978,-0.204087,-0.204087,0.624305,-0.239073,-0.239073,0.654631,-0.615089,-0.615089,0,All,#4682B4,0
64,5.8116,0.654631,-0.134812,-0.134812,0.621978,0.508395,0.508395,0.624305,0.473409,0.473409,0.654631,-0.0942067,-0.0942067,0,All,#4682B4,0
64,6.1655,0.654631,-0.833595,-0.833595,0.621978,-0.495112,-0.495112,0.624305,-0.530097,-0.530097,0.654631,-0.872254,-0.872254,0,All,#4682B4,0
64,6.5194,0.654631,0.63604,0.63604,0.621978,1.62229,1.62229,0.624305,1.5873,1.5873,0.654631,0.605737,0.605737,0,All,#4682B4,0
64,6.8733,0.654631,-0.725071,-0.725071,0.621978,-0.372462,-0.372462,0.624305,-0.407448,-0.407448,0.654631,-0.71027,-0.71027,0,All,#4682B4,0
64,7.2272,0.654631,0.814654,0.814654,0.621978,1.75073,1.75073,0.624305,1.71575,1.71575,0.654631,0.80962,0.80962,0,All,#4682B4,0
64,7.5811,0.654631,0.21923,0.21923,0.621978,0.924836,0.924836,0.624305,0.88985,0.88985,0.654631,0.237634,0.237634,0,All,#4682B4,0
64,7.935,0.654631,0.480317,0.480317,0.621978,1.28715,1.28715,0.624305,1.25217,1.25217,0.654631,0.526975,0.526975,0,All,#4682B4,0
64,8.2889,0.654631,0.34674,0.34674,0.621978,1.13644,1.13644,0.624305,1.10145,1.10145,0.654631,0.392651,0.392651,0,All,#4682B4,0
64,8.6428,0.654631,-0.368616,-0.368616,0.621978,0.130989,0.130989,0.624305,0.0960032,0.0960032,0.654631,-0.293422,-0.293422,0,All,#4682B4,0
64,8.9967,0.654631,-0.282616,-0.282616,0.621978,0.195979,0.195979,0.624305,0.160993,0.160993,0.654631,-0.283433,-0.283433,0,All,#4682B4,0
64,9.3506,0.654631,-0.00639323,-0.00639323,0.621978,0.618281,0.618281,0.624305,0.583295,0.583295,0.654631,-0.0335635,-0.0335635,0,All,#4682B4,0
64,9.7044,0.654631,0.101612,0.101612,0.621978,0.774466,0.774466,0.624305,0.73948,0.73948,0.654631,0.117195,0.117195,0,All,#4682B4,0
