id,A1_SAEM,tau1_SAEM,I0_SAEM,A1_mean,tau1_mean,I0_mean,A1_mode,tau1_mode,I0_mode,A1_sd,tau1_sd,I0_sd
21,0.250523,3.53456,0.336197,0.257864,3.40809,0.32847,0.25552,3.36187,0.331355,0.0360541,0.554309,0.0340796
22,0.326351,2.56688,0.234558,0.307679,2.73137,0.25167,0.3211,2.58418,0.239285,0.0196325,0.201016,0.0190693
23,0.109038,9.20953,0.227616,0.0978984,10.5,0.238347,0.0957957,10.3697,0.240993,0.0178928,1.95174,0.0181236
24,0.157909,6.18616,0.351456,0.15957,6.12421,0.350058,0.161725,5.68609,0.347677,0.03188,1.76129,0.0309028
25,0.175743,5.4756,0.38241,0.188601,4.92476,0.369915,0.183445,4.92092,0.375279,0.0317746,0.948774,0.0310652
26,0.15214,6.37866,0.263521,0.151693,6.32914,0.263854,0.1474,6.32527,0.267935,0.0237294,1.31246,0.0238059
27,0.250551,3.52255,0.316896,0.259094,3.3955,0.308454,0.259679,3.30215,0.307424,0.0361114,0.596254,0.0348374
28,0.217017,4.2149,0.317761,0.206667,4.37853,0.327217,0.216519,4.06722,0.318352,0.0270124,0.63769,0.0271181
29,0.236806,3.73822,0.405144,0.227051,4.01087,0.414932,0.235517,3.69227,0.40697,0.0383269,0.971146,0.0369868
30,0.183136,5.28106,0.330462,0.180819,5.1969,0.332353,0.18467,4.88217,0.329086,0.0303648,1.1204,0.0295775
31,0.146216,6.71352,0.318126,0.143234,6.90195,0.321398,0.142395,6.58176,0.322197,0.0288793,1.84666,0.0285018
32,0.176771,5.19988,0.465247,0.210438,4.28052,0.432451,0.203249,4.37457,0.439653,0.0276287,0.567394,0.0268681
33,0.152749,6.34816,0.425749,0.149105,6.35516,0.429662,0.15697,5.88708,0.421685,0.0180367,0.87713,0.0185409
34,0.184056,5.07812,0.3539,0.180189,5.3471,0.356622,0.192942,4.64367,0.344826,0.0406718,1.43312,0.0397867
35,0.164238,5.85868,0.335123,0.164343,5.78207,0.334526,0.167716,5.45502,0.33199,0.0280057,1.08062,0.0272012
36,0.212194,4.31832,0.372186,0.212472,4.23442,0.371648,0.209981,4.21491,0.37409,0.0259602,0.668372,0.0258925
37,0.190311,4.88207,0.275753,0.190037,4.86813,0.276172,0.192032,4.66888,0.27445,0.0300352,0.955303,0.028857
38,0.215561,4.20248,0.325414,0.226077,3.92799,0.314812,0.222676,3.94302,0.318653,0.0238961,0.504289,0.0236222
39,0.0991062,10.1709,0.247992,0.106452,9.48965,0.240902,0.10299,9.54275,0.244883,0.0171613,1.87045,0.0177772
40,0.217414,4.27325,0.357313,0.224965,3.97495,0.350375,0.2288,3.81803,0.346711,0.0279406,0.632483,0.027483
41,0.142669,6.82223,0.243845,0.145274,6.60247,0.241986,0.139836,6.71849,0.247218,0.0213771,1.10812,0.0209302
42,0.216683,4.2085,0.32841,0.211651,4.30032,0.332426,0.211672,4.17761,0.33313,0.0316838,0.774316,0.0306759
