id,eta_A1_SAEM,eta_tau1_SAEM,eta_I0_SAEM,eta_A1_mean,eta_tau1_mean,eta_I0_mean,eta_A1_mode,eta_tau1_mode,eta_I0_mode,eta_A1_sd,eta_tau1_sd,eta_I0_sd
21,0.312688,-0.357608,0.0436401,0.340492,-0.391901,0.0210489,0.341141,-0.392604,0.0353534,0.140197,0.160615,0.106442
22,0.583528,-0.66789,-0.317214,0.524891,-0.603042,-0.24265,0.569595,-0.655693,-0.290181,0.0631574,0.0743644,0.0770555
23,-0.521864,0.59748,-0.345042,-0.633648,0.727559,-0.297165,-0.63994,0.733785,-0.283067,0.172398,0.1978,0.0793178
24,-0.161643,0.183878,0.0886081,-0.151738,0.173372,0.0863775,-0.116258,0.132922,0.0834376,0.216964,0.249457,0.0882012
25,-0.0558334,0.0630203,0.172158,0.0235534,-0.0291829,0.141783,0.0097542,-0.0116054,0.159835,0.166658,0.192015,0.0863503
26,-0.194869,0.222449,-0.201489,-0.193506,0.221047,-0.196507,-0.209008,0.239452,-0.177091,0.16621,0.189946,0.0902835
27,0.313376,-0.359347,-0.0161353,0.344974,-0.396753,-0.0427445,0.357289,-0.410526,-0.0396076,0.143591,0.165134,0.114518
28,0.16334,-0.189084,-0.0146191,0.120683,-0.139111,0.0191698,0.175522,-0.202141,-0.00467798,0.127885,0.147379,0.0863653
29,0.25899,-0.297903,0.232572,0.207542,-0.239503,0.256281,0.259626,-0.298858,0.240904,0.181188,0.207447,0.089691
30,-0.0156727,0.018658,0.0245164,-0.0197598,0.0214891,0.0344541,0.0164115,-0.0195095,0.0284844,0.176995,0.203495,0.0881571
31,-0.235051,0.26963,-0.0104797,-0.259045,0.295743,0.000840861,-0.24355,0.279202,0.00732746,0.21087,0.242204,0.0900111
32,-0.031745,0.035617,0.372185,0.139388,-0.16035,0.299483,0.112273,-0.129291,0.31815,0.120673,0.13946,0.0675433
33,-0.188825,0.217337,0.282426,-0.204786,0.234623,0.294223,-0.146106,0.167661,0.276422,0.120627,0.13844,0.0434907
34,-5.44963e-5,-0.00140187,0.0962557,-0.0332731,0.0377966,0.102272,0.0602307,-0.0695948,0.0752051,0.224976,0.258114,0.116388
35,-0.118141,0.135594,0.0410609,-0.113998,0.131804,0.0413858,-0.0798846,0.0914355,0.0372693,0.164702,0.190962,0.0849138
36,0.141965,-0.162873,0.14559,0.148798,-0.173195,0.147701,0.144861,-0.166471,0.156662,0.127315,0.147767,0.0693426
37,0.0339478,-0.0401092,-0.155558,0.0324122,-0.0399096,-0.152499,0.0555031,-0.0641818,-0.153065,0.160375,0.184474,0.107915
38,0.161992,-0.184796,0.0116703,0.213024,-0.244873,-0.0186887,0.203561,-0.233153,-0.00373244,0.107384,0.124754,0.0753552
39,-0.613272,0.701838,-0.257596,-0.547818,0.6265,-0.286187,-0.567524,0.650681,-0.267054,0.164813,0.191243,0.0742359
40,0.160563,-0.183302,0.102785,0.205547,-0.236636,0.0881386,0.230688,-0.265365,0.0806553,0.130704,0.148863,0.0775912
41,-0.256273,0.293865,-0.27812,-0.234273,0.268364,-0.282807,-0.261689,0.299764,-0.257565,0.146623,0.167394,0.0885413
42,0.16482,-0.187826,0.0203438,0.141439,-0.161948,0.0341963,0.152881,-0.17536,0.0406961,0.151491,0.175079,0.0944436
