A1_pop,1,-0.39769,-0.98514,0.63097,-0.29193,0.11994,nan,-0.22958,-0.084454,-0.35801,nan,-0.026047
tau1_pop,-0.39769,1,0.46077,-0.55725,0.27519,-0.60861,nan,0.58621,0.58708,0.35566,nan,0.03117
A2_pop,-0.98514,0.46077,1,-0.69214,0.32678,-0.18783,nan,0.25272,0.14848,0.39617,nan,0.029435
p_pop,0.63097,-0.55725,-0.69214,1,-0.53933,0.40278,nan,-0.38249,-0.35084,-0.61039,nan,-0.047027
omega_A1,-0.29193,0.27519,0.32678,-0.53933,1,-0.31853,nan,0.15819,0.2865,0.9767,nan,0.029194
corr_tau1_A1,0.11994,-0.60861,-0.18783,0.40278,-0.31853,1,nan,-0.40442,-0.99676,-0.37461,nan,-0.042317
corr_A2_A1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
omega_tau1,-0.22958,0.58621,0.25272,-0.38249,0.15819,-0.40442,nan,1,0.39882,0.24134,nan,-0.020459
corr_tau1_A2,-0.084454,0.58708,0.14848,-0.35084,0.2865,-0.99676,nan,0.39882,1,0.34237,nan,0.039683
omega_A2,-0.35801,0.35566,0.39617,-0.61039,0.9767,-0.37461,nan,0.24134,0.34237,1,nan,0.031487
omega_p,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
a,-0.026047,0.03117,0.029435,-0.047027,0.029194,-0.042317,nan,-0.020459,0.039683,0.031487,nan,1
