id,eta_A1_SAEM,eta_tau1_SAEM,eta_A2_SAEM,eta_p_SAEM,eta_A1_mean,eta_tau1_mean,eta_A2_mean,eta_p_mean,eta_A1_mode,eta_tau1_mode,eta_A2_mode,eta_p_mode,eta_A1_sd,eta_tau1_sd,eta_A2_sd,eta_p_sd
21,0.0133221,-0.110705,-0.0107218,-0.029675,0.0157521,-0.102997,-0.0128575,-0.026843,0.0168937,-0.106673,-0.0132287,-5.08619e-7,0.0209514,0.234815,0.0173708,3.70258
30,-0.0388972,-0.177045,0.0266214,0.889763,-0.0362299,-0.129095,0.0255174,0.154199,-0.0323207,-0.182925,0.0219113,-5.71341e-8,0.0223645,0.23376,0.0177915,3.68592
31,-0.53057,0.267178,0.387698,0.61611,-0.515803,0.261302,0.377718,0.596769,-0.526883,0.309861,0.386091,-3.97352e-8,0.0279031,0.217194,0.0214706,3.1843
32,-0.127246,0.0462058,0.0928183,0.57355,-0.123679,0.0641585,0.090161,0.996903,-0.121242,0.0273164,0.0884579,-2.25438e-7,0.0394845,0.222066,0.0290754,3.41136
33,-0.0304813,-0.00867074,0.0220066,-0.10701,-0.0137284,0.0112617,0.0097509,-0.121534,-0.0298821,-0.00619382,0.0216885,-3.18655e-7,0.0781091,0.216507,0.0580477,4.18937
34,-0.325516,0.170863,0.237844,0.899782,-0.321211,0.101463,0.234645,1.34612,-0.321021,0.152311,0.234918,1.28432e-6,0.0297488,0.255818,0.0222202,3.83494
35,-0.0275701,-0.0647566,0.0192647,-0.759588,-0.0151618,-0.0415285,0.0107041,0.49756,-0.016543,-0.0849339,0.0112914,4.34622e-7,0.0221942,0.215271,0.0175383,3.67508
36,-0.0739478,-0.0165826,0.053724,0.133336,-0.0756937,-0.041251,0.0541298,-0.305111,-0.0736862,-0.0406047,0.0532591,3.72054e-7,0.0219409,0.241589,0.0172036,3.42741
37,0.107817,-0.134048,-0.0793334,-0.499544,0.0516736,-0.110637,-0.0390474,-1.46924,0.108143,-0.160342,-0.0800945,-5.11367e-7,0.144935,0.26689,0.106356,4.63978
38,-0.115676,0.00831025,0.0845595,0.726383,-0.0762824,-0.00742752,0.0551747,-0.635096,-0.113032,-0.00382548,0.0822109,5.81032e-7,0.131088,0.277665,0.0959677,4.67264
39,-0.208586,0.0918529,0.152554,0.0937949,-0.209875,0.122,0.152591,0.39771,-0.211973,0.124085,0.155325,-2.04491e-8,0.0307237,0.221262,0.0228914,3.14778
22,0.113883,-0.087446,-0.0838899,-0.706047,0.101427,-0.0629933,-0.0743827,-0.935115,0.109525,-0.0946074,-0.0805232,1.57769e-7,0.0514816,0.214242,0.0379444,4.18362
40,-0.00252676,0.0742212,0.00241566,0.2664,0.0100573,0.0958214,-0.00617982,0.487796,0.00497285,0.0625664,-0.00306909,2.0906e-7,0.0483324,0.210777,0.0350253,3.62275
41,-0.0647708,0.0270992,0.0477327,-0.153514,-0.0683359,0.00606804,0.0497142,0.399394,-0.0679044,0.00650319,0.0494657,-7.06113e-7,0.0232925,0.242296,0.0186241,3.33243
42,-0.143693,0.110756,0.105097,0.288524,-0.144506,0.0802216,0.106526,0.253666,-0.139986,0.0797861,0.102557,-1.89971e-7,0.0249779,0.236495,0.0196775,3.66693
23,0.017299,0.0296538,-0.0121792,-0.240371,0.00253486,0.0184643,-0.00205066,-0.423691,0.0140097,-0.022472,-0.010391,7.86972e-8,0.0436118,0.231991,0.0326066,4.13882
24,-0.207087,0.0547906,0.151423,0.823455,-0.208603,0.0686914,0.152258,0.763617,-0.207727,0.051423,0.151598,-3.8667e-7,0.0261692,0.234062,0.0197975,3.53646
25,-0.0739706,0.0529922,0.0548345,-0.347022,-0.0639523,0.076666,0.0469894,0.0223593,-0.060668,0.0432254,0.0445227,-4.07145e-7,0.0211687,0.228512,0.0170321,3.37564
26,-0.508127,0.235496,0.371052,-0.204041,-0.508147,0.294687,0.37225,-0.106306,-0.49478,0.267655,0.362361,2.06125e-6,0.038814,0.242356,0.0294885,3.15061
27,-0.0117716,-0.0661612,0.00839424,0.182439,-0.00116598,-0.0636198,-0.000344593,0.58604,-0.00127083,-0.0719827,0.000292768,3.67525e-7,0.0401008,0.238627,0.0296303,4.06691
28,-0.397683,0.159952,0.289626,0.815224,-0.400472,0.241089,0.292985,0.978899,-0.389501,0.172732,0.284925,-7.37671e-7,0.0290027,0.236203,0.0217261,3.43831
29,-0.0518744,0.0362902,0.0381524,-0.843319,-0.0528834,0.0723489,0.0381971,0.243828,-0.0547146,0.0434683,0.040193,-1.12177e-7,0.0190841,0.260523,0.0146745,3.49526
72,0.0827598,-0.0703084,-0.0610792,-0.603072,0.0837271,-0.0857602,-0.0625205,-0.875164,0.0800476,-0.0698991,-0.0588579,-2.21629e-7,0.0330635,0.21938,0.0247673,4.97226
73,0.224885,-0.137364,-0.164637,0.496113,0.206263,-0.11552,-0.150825,-0.116891,0.224315,-0.138466,-0.164431,-1.75718e-7,0.0795952,0.237769,0.0589859,4.16289
74,0.148455,-0.293514,-0.110266,-0.313956,0.158098,-0.242507,-0.117443,-0.532757,0.147717,-0.275034,-0.109896,-3.62657e-7,0.04872,0.258871,0.0365049,4.22142
75,0.127054,-0.168908,-0.093767,-0.210507,0.115041,-0.144817,-0.0849144,-0.546572,0.12771,-0.196939,-0.0946533,-3.49491e-7,0.0503669,0.225084,0.0368464,4.18735
76,0.0962204,-0.0618996,-0.0707684,-0.882324,0.0984522,-0.0825218,-0.0725165,-0.888267,0.0998649,-0.120452,-0.0737211,2.39253e-7,0.0218589,0.21425,0.0171616,4.367
77,0.155788,-0.0672672,-0.113505,0.241682,0.13522,-0.0230417,-0.0978889,-1.21428,0.157001,-0.083922,-0.114974,1.40817e-6,0.05822,0.226767,0.042897,4.33634
78,0.0114877,0.0628042,-0.00786741,-0.0451122,0.0181034,0.0505651,-0.0118934,-0.158332,0.0203926,0.0217823,-0.0146468,4.87903e-7,0.0275502,0.194301,0.021294,4.05696
79,0.152085,0.0420976,-0.110182,-0.142943,0.165901,0.0189877,-0.120921,-0.31816,0.159135,0.00817462,-0.115718,-3.6938e-7,0.0363566,0.216733,0.0276003,3.77764
