parameter,value,se_sa,rse_sa
A1_pop,0.576035622970053,0.0232691222135032,4.03952833568297
tau1_pop,6.3083624844184,0.879524089339308,13.9421932634931
A2_pop,0.673816733557101,0.0216866443109295,3.21847814559976
p_pop,0.999999999999999,3.98703863648971e-14,3.98703863648971e-12
omega_A1,0.189789282734265,0.0264787570141399,13.9516608275581
omega_tau1,0.263078868510868,0.153753864375996,58.444019181892
omega_A2,0.139112654510716,0.0200245899930565,14.3945136145138
omega_p,3.86829495792209,nan,nan
corr_A2_A1,-0.998971462972136,nan,nan
corr_tau1_A1,-0.378897030047808,0.561062576424643,148.077850162576
corr_tau1_A2,0.392725553407211,0.55094032333498,140.286344638165
a,0.0840188130737635,0.00109873982705998,1.30773071751841
