rep,ID,eta_A1_simulated,eta_tau1_simulated,eta_A2_simulated,eta_tau2_simulated,eta_I0_simulated,split,color,filter
1,1,-0.389853,5.37901,-0.333196,5.34979,0.0952817,All,#4682B4,0
2,1,0.0659996,0.448679,-0.0694402,0.171662,0.00511318,All,#4682B4,0
3,1,-0.206312,-0.514094,0.084691,0.147374,-0.0222247,All,#4682B4,0
4,1,0.0523608,-1.18702,0.102464,-1.07932,-0.0215534,All,#4682B4,0
5,1,0.346676,-2.6659,0.113088,-3.06774,-0.0824588,All,#4682B4,0
6,1,0.064787,1.86496,-0.188527,1.29607,0.0272438,All,#4682B4,0
7,1,-0.175071,-2.43829,0.280155,-1.45707,-0.0537788,All,#4682B4,0
8,1,0.0781883,0.409904,-0.0952575,0.10576,0.0237427,All,#4682B4,0
9,1,-0.178405,1.94431,-0.111556,2.03125,0.0364486,All,#4682B4,0
10,1,0.122121,-3.08032,0.247733,-2.77579,-0.0655576,All,#4682B4,0
1,2,0.103394,3.62854,-0.352289,2.60113,0.186407,All,#4682B4,0
2,2,0.279107,-2.11629,0.0738675,-2.44998,0.121046,All,#4682B4,0
3,2,0.248609,-4.55203,0.335022,-4.29106,0.0269668,All,#4682B4,0
4,2,0.378081,-6.86476,0.527205,-6.47987,-0.0217102,All,#4682B4,0
5,2,0.429846,-1.92698,0.0389047,-2.70522,0.0840281,All,#4682B4,0
6,2,0.659762,-7.1162,0.399308,-7.4652,-0.0231125,All,#4682B4,0
7,2,0.667972,-5.00157,0.217877,-5.79923,0.0108642,All,#4682B4,0
8,2,0.209402,-5.35987,0.424453,-4.8167,0.0330563,All,#4682B4,0
9,2,-0.137266,-2.66167,0.28349,-1.73512,0.0981189,All,#4682B4,0
10,2,-0.19822,-2.03616,0.267297,-1.06946,0.0965889,All,#4682B4,0
1,3,0.00585427,-4.23868,0.383809,-3.37267,-0.079173,All,#4682B4,0
2,3,-0.0130041,-2.54695,0.251687,-1.98203,-0.063257,All,#4682B4,0
3,3,-0.244287,1.6233,-0.0607377,1.95749,0.0240554,All,#4682B4,0
4,3,0.0105348,-4.28924,0.372485,-3.43648,-0.109596,All,#4682B4,0
5,3,-0.103197,-0.557777,0.0806871,-0.162035,-0.0100198,All,#4682B4,0
6,3,0.332734,-4.4258,0.27055,-4.43107,-0.127767,All,#4682B4,0
7,3,-0.0732568,2.38944,-0.172332,2.09698,0.0393289,All,#4682B4,0
8,3,0.032182,-1.69817,0.13984,-1.43327,-0.0350517,All,#4682B4,0
9,3,-0.00853396,-6.83271,0.649586,-5.38886,-0.215071,All,#4682B4,0
10,3,0.243174,-4.51752,0.317496,-4.24965,-0.100289,All,#4682B4,0
1,4,0.0248467,1.48201,-0.166028,1.09299,-0.0841019,All,#4682B4,0
2,4,-0.299228,1.90646,-0.0647064,2.33564,-0.061751,All,#4682B4,0
3,4,-0.433218,5.06144,-0.278999,5.20996,-0.0196056,All,#4682B4,0
4,4,0.269075,-0.748231,-0.0239351,-1.33772,-0.143228,All,#4682B4,0
5,4,-0.253148,0.58509,0.016122,1.15496,-0.0808545,All,#4682B4,0
6,4,0.0903747,1.58969,-0.153419,1.02011,-0.095711,All,#4682B4,0
7,4,0.0837817,1.26401,-0.134752,0.769367,-0.101649,All,#4682B4,0
8,4,-0.15089,6.54789,-0.506885,5.61492,-0.0232153,All,#4682B4,0
9,4,-0.126654,0.275311,0.0180983,0.56589,-0.120536,All,#4682B4,0
10,4,-0.0427069,2.34494,-0.194929,1.98439,-0.0700909,All,#4682B4,0
1,5,-0.440119,4.93094,-0.271119,5.12794,-0.289454,All,#4682B4,0
2,5,-0.376731,4.47496,-0.251146,4.59997,-0.289029,All,#4682B4,0
3,5,-0.64216,7.29891,-0.432519,7.55878,-0.226533,All,#4682B4,0
4,5,-0.443218,4.87698,-0.284427,5.07994,-0.291371,All,#4682B4,0
5,5,-0.373376,4.50376,-0.267096,4.59243,-0.264483,All,#4682B4,0
6,5,-0.652558,7.35241,-0.444061,7.62715,-0.203404,All,#4682B4,0
7,5,-0.418419,4.96989,-0.297553,5.09148,-0.251772,All,#4682B4,0
8,5,-0.360414,4.53596,-0.275764,4.59199,-0.287273,All,#4682B4,0
9,5,-0.660286,7.37999,-0.432429,7.67317,-0.205359,All,#4682B4,0
10,5,-0.416143,5.00935,-0.299094,5.12104,-0.250615,All,#4682B4,0
1,6,0.263934,-0.29741,-0.0525578,-0.952164,-0.105287,All,#4682B4,0
2,6,-0.448119,3.47447,-0.176749,3.98269,0.00902618,All,#4682B4,0
3,6,-0.102386,0.807472,-0.0611424,0.906518,-0.0600398,All,#4682B4,0
4,6,0.0702069,-2.40847,0.182421,-2.10742,-0.109281,All,#4682B4,0
5,6,0.167132,5.35212,-0.516422,3.78763,0.00468345,All,#4682B4,0
6,6,-0.0776704,2.95666,-0.211705,2.56904,-0.0225718,All,#4682B4,0
7,6,0.160071,1.54426,-0.20035,0.791314,-0.0296534,All,#4682B4,0
8,6,-0.223599,-1.71748,0.228636,-0.74596,-0.077833,All,#4682B4,0
9,6,-0.0088265,1.17395,-0.116467,0.951509,-0.0337571,All,#4682B4,0
10,6,-0.107112,1.80788,-0.094208,1.73373,-0.0270593,All,#4682B4,0
1,7,-0.48164,2.10394,0.0347573,3.00876,0.0151804,All,#4682B4,0
2,7,-0.18948,3.02019,-0.212941,2.916,0.018089,All,#4682B4,0
3,7,-0.287468,2.01229,-0.102871,2.37917,0.00680768,All,#4682B4,0
4,7,-0.20758,4.91636,-0.387198,4.47958,0.0498721,All,#4682B4,0
5,7,-0.371073,2.32906,-0.0760498,2.86916,0.0463039,All,#4682B4,0
6,7,-0.301898,5.99073,-0.421696,5.58533,0.0844054,All,#4682B4,0
7,7,0.050969,1.74804,-0.151201,1.25871,-0.00913928,All,#4682B4,0
