A1_abscissa,A1_pdf,A1_cdf,tau1_abscissa,tau1_pdf,tau1_cdf,A2_abscissa,A2_pdf,A2_cdf,tau2_abscissa,tau2_pdf,tau2_cdf,I0_abscissa,I0_pdf,I0_cdf,split
0.020451,0.0491108,6.48727e-05,5.56108,0.000637843,0.00369077,0.0417364,0.00850233,1.84193e-05,13.0293,0.000464018,0.00646136,0.255432,3.6405e-07,1.6824e-09,All
0.0217825,0.11243,0.000167587,371844,2.31066e-07,0.814917,0.044028,0.0208324,5.02192e-05,494092,1.59003e-07,0.847316,0.262313,1.4393e-06,7.10653e-09,All
0.0231139,0.232446,0.00038931,743682,9.22776e-08,0.868475,0.0463196,0.0463057,0.000123852,988171,6.11039e-08,0.895406,0.269194,5.19086e-06,2.73771e-08,All
0.0244454,0.440252,0.00082544,1.11552e+06,5.27095e-08,0.894293,0.0486112,0.094487,0.000279694,1.48225e+06,3.40709e-08,0.91786,0.276075,1.71811e-05,9.67785e-08,All
0.0257768,0.772884,0.00161702,1.48736e+06,3.50628e-08,0.910244,0.0509028,0.178771,0.000584383,1.97633e+06,2.22633e-08,0.931442,0.282957,5.24793e-05,3.15693e-07,All
0.0271083,1.26993,0.00295655,1.8592e+06,2.54073e-08,0.921329,0.0531944,0.316298,0.00113963,2.47041e+06,1.5904e-08,0.940729,0.289838,0.000148678,9.5517e-07,All
0.0284397,1.9689,0.00508843,2.23104e+06,1.94536e-08,0.929589,0.055486,0.527143,0.00209,2.96449e+06,1.20329e-08,0.947559,0.296719,0.000392512,2.69328e-06,All
0.0297712,2.90015,0.0083028,2.60287e+06,1.54807e-08,0.936038,0.0577776,0.832745,0.00362802,3.45857e+06,9.47763e-09,0.952833,0.303601,0.000969757,7.10822e-06,All
0.0311026,4.08223,0.0129228,2.97471e+06,1.26762e-08,0.941245,0.0600692,1.25372,0.00599484,3.95264e+06,7.6908e-09,0.95705,0.310482,0.00225109,1.76307e-05,All
0.0324341,5.51844,0.0192864,3.34655e+06,1.06111e-08,0.945556,0.0623608,1.80734,0.00947552,4.44672e+06,6.38603e-09,0.960512,0.317363,0.0049275,4.12501e-05,All
0.0337655,7.1951,0.0277248,3.71839e+06,9.03953e-09,0.949197,0.0646524,2.5051,0.0143885,4.9408e+06,5.40058e-09,0.963412,0.324244,0.0102054,9.13544e-05,All
0.035097,9.08172,0.0385397,4.09023e+06,7.81165e-09,0.952321,0.066944,3.35069,0.02107,5.43488e+06,4.63588e-09,0.965884,0.331126,0.0200612,0.000192121,All
0.0364284,11.133,0.0519818,4.46207e+06,6.8313e-09,0.955037,0.0692355,4.33865,0.0298544,5.92896e+06,4.02917e-09,0.968019,0.338007,0.0375379,0.000384824,All
