rep,ID,standEta_A1_simulated,standEta_tau1_simulated,standEta_A2_simulated,standEta_tau2_simulated,standEta_I0_simulated,filter
1,1,-1.48631,1.73094,-1.47693,1.78146,0.867141,0
2,1,0.251622,0.144383,-0.307801,0.0571629,0.0465341,0
3,1,-0.78656,-0.165433,0.375402,0.0490751,-0.202263,0
4,1,0.199624,-0.381977,0.454182,-0.359409,-0.196154,0
5,1,1.3217,-0.857874,0.501277,-1.02155,-0.750442,0
6,1,0.246999,0.600133,-0.835667,0.431588,0.247941,0
7,1,-0.667453,-0.784631,1.24182,-0.485201,-0.489431,0
8,1,0.298091,0.131905,-0.42224,0.0352176,0.216078,0
9,1,-0.680164,0.625669,-0.494483,0.676402,0.331712,0
10,1,0.465582,-0.991231,1.0981,-0.924332,-0.596628,0
1,2,0.394186,1.16765,-1.56156,0.86617,1.69645,0
2,2,1.06409,-0.68101,0.327426,-0.815836,1.10161,0
3,2,0.947818,-1.46482,1.48502,-1.42891,0.24542,0
4,2,1.44143,-2.20905,2.33689,-2.15778,-0.19758,0
5,2,1.63878,-0.620093,0.172449,-0.900832,0.764724,0
6,2,2.51533,-2.28996,1.76998,-2.48589,-0.210343,0
7,2,2.54663,-1.60948,0.965765,-1.93113,0.098873,0
8,2,0.798339,-1.72478,1.88144,-1.60395,0.300839,0
9,2,-0.523324,-0.856511,1.2566,-0.577789,0.892962,0
10,2,-0.755711,-0.655225,1.18482,-0.356127,0.879037,0
1,3,0.0223193,-1.36399,1.70127,-1.12309,-0.720539,0
2,3,-0.0495779,-0.819596,1.11563,-0.660009,-0.57569,0
3,3,-0.931338,0.522369,-0.269226,0.65184,0.218924,0
4,3,0.0401637,-1.38026,1.65108,-1.14434,-0.997416,0
5,3,-0.393436,-0.17949,0.357654,-0.0539572,-0.0911886,0
6,3,1.26854,-1.4242,1.19924,-1.47553,-1.16278,0
7,3,-0.27929,0.768911,-0.763881,0.69829,0.357925,0
8,3,0.122693,-0.546464,0.619858,-0.477277,-0.318999,0
9,3,-0.0325355,-2.19873,2.87936,-1.79448,-1.95733,0
10,3,0.927095,-1.45372,1.40734,-1.41512,-0.912714,0
1,4,0.0947274,0.476902,-0.735939,0.363963,-0.765395,0
2,4,-1.1408,0.613488,-0.286818,0.777761,-0.561985,0
3,4,-1.65163,1.62875,-1.23669,1.7349,-0.178427,0
4,4,1.02584,-0.240777,-0.106095,-0.445458,-1.30349,0
5,4,-0.965122,0.188279,0.0714627,0.384598,-0.735842,0
6,4,0.344552,0.511555,-0.680048,0.339692,-0.871048,0
7,4,0.319416,0.406753,-0.597303,0.256197,-0.92509,0
8,4,-0.575264,2.10708,-2.24682,1.86975,-0.211278,0
9,4,-0.482866,0.0885937,0.0802225,0.18844,-1.09697,0
10,4,-0.162819,0.754591,-0.864046,0.660797,-0.637884,0
1,5,-1.67794,1.58675,-1.20176,1.70759,-2.63426,0
2,5,-1.43628,1.44002,-1.11323,1.53178,-2.6304,0
3,5,-2.44822,2.34875,-1.91719,2.51705,-2.06163,0
4,5,-1.68976,1.56939,-1.26075,1.69161,-2.65172,0
5,5,-1.42349,1.44929,-1.18393,1.52927,-2.40701,0
6,5,-2.48786,2.36597,-1.96835,2.53982,-1.85114,0
7,5,-1.59521,1.59929,-1.31894,1.69545,-2.29133,0
8,5,-1.37407,1.45965,-1.22236,1.52912,-2.61442,0
9,5,-2.51733,2.37484,-1.91679,2.55514,-1.86894,0
10,5,-1.58654,1.61198,-1.32577,1.70529,-2.2808,0
1,6,1.00624,-0.095705,-0.232968,-0.317068,-0.958194,0
2,6,-1.70844,1.11807,-0.783459,1.32623,0.0821455,0
3,6,-0.390344,0.25984,-0.27102,0.301868,-0.546411,0
4,6,0.267662,-0.775034,0.8086,-0.701764,-0.994542,0
5,6,0.637188,1.72229,-2.2891,1.26127,0.0426232,0
6,6,-0.296117,0.951438,-0.938406,0.855482,-0.205422,0
7,6,0.610267,0.496935,-0.888074,0.263505,-0.26987,0
8,6,-0.852465,-0.552675,1.01345,-0.248403,-0.708344,0
9,6,-0.0336509,0.377772,-0.516253,0.31685,-0.307217,0
10,6,-0.408361,0.581768,-0.417588,0.577328,-0.246262,0
1,7,-1.83624,0.677038,0.154066,1.00191,0.138154,0
2,7,-0.72239,0.971881,-0.943884,0.97102,0.164624,0
3,7,-1.09597,0.647544,-0.455985,0.792256,0.0619555,0
