ID,time,observation,median,piLower,piUpper,censored,color,filter
1,0,0.542939,0.497157,0.366516,0.637336,0,#4682B4,0
1,0.3539,0.656686,0.65659,0.515088,0.823362,0,#4682B4,0
1,0.7078,0.607591,0.668627,0.511217,0.816884,0,#4682B4,0
1,1.0617,0.606326,0.668963,0.524014,0.802987,0,#4682B4,0
1,1.4156,0.619246,0.666159,0.51871,0.820736,0,#4682B4,0
1,1.7695,0.578761,0.658554,0.512473,0.811405,0,#4682B4,0
1,2.1234,0.630394,0.661628,0.544753,0.828451,0,#4682B4,0
1,2.4773,0.681797,0.655198,0.517474,0.821462,0,#4682B4,0
1,2.8312,0.678139,0.665461,0.527078,0.820452,0,#4682B4,0
1,3.1851,0.664019,0.659902,0.519599,0.805174,0,#4682B4,0
1,3.539,0.59888,0.661004,0.508987,0.820679,0,#4682B4,0
1,3.8929,0.732306,0.658689,0.515143,0.819361,0,#4682B4,0
1,4.2468,0.716425,0.654682,0.499579,0.798817,0,#4682B4,0
1,4.6007,0.600515,0.65701,0.521158,0.822507,0,#4682B4,0
1,4.9546,0.570086,0.659747,0.512146,0.810198,0,#4682B4,0
1,5.3085,0.667584,0.655715,0.517764,0.807102,0,#4682B4,0
1,5.6624,0.646151,0.665016,0.514031,0.811417,0,#4682B4,0
1,6.0162,0.612864,0.657544,0.51192,0.816904,0,#4682B4,0
1,6.3701,0.605217,0.665927,0.52805,0.829854,0,#4682B4,0
1,6.724,0.607834,0.657463,0.506407,0.808942,0,#4682B4,0
1,7.0779,0.730659,0.66467,0.521147,0.808718,0,#4682B4,0
1,7.4318,0.563142,0.66133,0.516489,0.801179,0,#4682B4,0
1,7.7857,0.679204,0.657298,0.519375,0.829395,0,#4682B4,0
1,8.1396,0.700048,0.658155,0.519602,0.812213,0,#4682B4,0
1,8.4935,0.653037,0.659288,0.508496,0.833022,0,#4682B4,0
1,8.8474,0.645465,0.658964,0.51512,0.813625,0,#4682B4,0
1,9.2013,0.666999,0.659962,0.513964,0.799578,0,#4682B4,0
1,9.5552,0.622007,0.666623,0.509788,0.802594,0,#4682B4,0
1,9.9091,0.653307,0.660118,0.510236,0.80578,0,#4682B4,0
1,10.263,0.603547,0.653906,0.505363,0.829695,0,#4682B4,0
1,10.6169,0.601553,0.666092,0.513349,0.808176,0,#4682B4,0
1,10.9708,0.769421,0.666079,0.518455,0.827571,0,#4682B4,0
1,11.3247,0.678441,0.661824,0.520861,0.812219,0,#4682B4,0
1,11.6786,0.611981,0.667202,0.508865,0.820138,0,#4682B4,0
1,12.0325,0.634984,0.662744,0.507271,0.818696,0,#4682B4,0
1,12.3863,0.636876,0.66086,0.498037,0.8295,0,#4682B4,0
1,12.7402,0.673095,0.661678,0.521337,0.805581,0,#4682B4,0
1,13.0941,0.696709,0.664541,0.516969,0.821341,0,#4682B4,0
1,13.448,0.717034,0.662484,0.51779,0.813252,0,#4682B4,0
1,13.8019,0.635899,0.662394,0.511739,0.822073,0,#4682B4,0
1,14.1558,0.66906,0.653849,0.517501,0.812804,0,#4682B4,0
1,14.5097,0.720028,0.661518,0.517758,0.813402,0,#4682B4,0
1,14.8636,0.696567,0.66168,0.496668,0.809352,0,#4682B4,0
1,15.2175,0.713575,0.663695,0.52163,0.8169,0,#4682B4,0
1,15.5714,0.693018,0.659529,0.519538,0.818336,0,#4682B4,0
1,15.9253,0.646286,0.657407,0.511284,0.817607,0,#4682B4,0
1,16.2792,0.663207,0.662764,0.512087,0.813727,0,#4682B4,0
1,16.6331,0.720574,0.658992,0.50974,0.812942,0,#4682B4,0
1,16.987,0.681549,0.661362,0.522187,0.803701,0,#4682B4,0
1,17.3409,0.601874,0.662958,0.516453,0.823758,0,#4682B4,0
1,17.6948,0.66574,0.661173,0.504913,0.824927,0,#4682B4,0
1,18.0487,0.637716,0.666473,0.507586,0.799734,0,#4682B4,0
1,18.4026,0.681397,0.662961,0.516878,0.798594,0,#4682B4,0
1,18.7564,0.626316,0.661178,0.520564,0.822297,0,#4682B4,0
1,19.1103,0.617878,0.655415,0.512063,0.816508,0,#4682B4,0
1,19.4642,0.671872,0.66763,0.51507,0.817758,0,#4682B4,0
1,19.8181,0.598471,0.656435,0.511935,0.82036,0,#4682B4,0
1,20.172,0.588719,0.665407,0.506434,0.812808,0,#4682B4,0
1,20.5259,0.477333,0.654027,0.518207,0.823182,0,#4682B4,0
1,20.8798,0.659601,0.667533,0.513505,0.813568,0,#4682B4,0
1,21.2337,0.617399,0.659282,0.521558,0.803144,0,#4682B4,0
1,21.5876,0.60861,0.672444,0.523252,0.804076,0,#4682B4,0
1,21.9415,0.658864,0.661174,0.512783,0.820851,0,#4682B4,0
1,22.2954,0.680281,0.657514,0.517136,0.803608,0,#4682B4,0
1,22.6493,0.689299,0.657477,0.531382,0.830738,0,#4682B4,0
1,23.0032,0.645754,0.663571,0.517119,0.807771,0,#4682B4,0
1,23.3571,0.642438,0.669204,0.519185,0.825739,0,#4682B4,0
1,23.711,0.699023,0.662743,0.519081,0.806569,0,#4682B4,0
1,24.0649,0.631912,0.660992,0.522304,0.800537,0,#4682B4,0
1,24.4188,0.679203,0.669851,0.517517,0.808866,0,#4682B4,0
1,24.7727,0.692438,0.660555,0.515287,0.812351,0,#4682B4,0
1,25.1265,0.634616,0.660797,0.50703,0.808839,0,#4682B4,0
1,25.4804,0.666139,0.658341,0.517894,0.805544,0,#4682B4,0
1,25.8343,0.682253,0.662352,0.522002,0.810238,0,#4682B4,0
1,26.1882,0.635581,0.655835,0.510431,0.807259,0,#4682B4,0
1,26.5421,0.693447,0.665047,0.514655,0.811175,0,#4682B4,0
1,26.896,0.714786,0.659757,0.508371,0.800352,0,#4682B4,0
1,27.2499,0.607606,0.662521,0.517303,0.81087,0,#4682B4,0
1,27.6038,0.633706,0.657733,0.513541,0.815699,0,#4682B4,0
1,27.9577,0.632736,0.649435,0.519245,0.802571,0,#4682B4,0
1,28.3116,0.678581,0.662376,0.520813,0.809473,0,#4682B4,0
1,28.6655,0.596865,0.659812,0.515674,0.809534,0,#4682B4,0
1,29.0194,0.637588,0.653049,0.516777,0.816505,0,#4682B4,0
1,29.3733,0.675427,0.654584,0.518099,0.813331,0,#4682B4,0
1,29.7272,0.532816,0.661879,0.524006,0.814532,0,#4682B4,0
1,30.0811,0.609855,0.659025,0.520976,0.826047,0,#4682B4,0
1,30.435,0.67449,0.657936,0.511817,0.819281,0,#4682B4,0
1,30.7889,0.618905,0.663357,0.512123,0.824746,0,#4682B4,0
1,31.1428,0.595009,0.663499,0.513764,0.808881,0,#4682B4,0
1,31.4966,0.63604,0.660844,0.511423,0.800154,0,#4682B4,0
2,0,0.478541,0.490107,0.360414,0.623765,0,#4682B4,0
2,0.3539,0.64969,0.648079,0.508666,0.798166,0,#4682B4,0
2,0.7078,0.863244,0.652242,0.502705,0.805744,0,#4682B4,0
2,1.0617,0.627508,0.65115,0.501743,0.816454,0,#4682B4,0
2,1.4156,0.685994,0.651047,0.514974,0.799728,0,#4682B4,0
2,1.7695,0.694956,0.648044,0.514263,0.806922,0,#4682B4,0
2,2.1233,0.699908,0.647501,0.504612,0.801298,0,#4682B4,0
2,2.4772,0.666911,0.648626,0.501463,0.800935,0,#4682B4,0
2,2.8311,0.768765,0.656742,0.496323,0.797863,0,#4682B4,0
2,3.185,0.708894,0.65219,0.51331,0.797971,0,#4682B4,0
2,3.5389,0.607427,0.650648,0.515049,0.814265,0,#4682B4,0
2,3.8928,0.685623,0.654287,0.501383,0.799775,0,#4682B4,0
2,4.2467,0.698985,0.648274,0.501299,0.806764,0,#4682B4,0
2,4.6006,0.734401,0.650176,0.526587,0.812688,0,#4682B4,0
2,4.9545,0.706,0.654607,0.50051,0.803643,0,#4682B4,0
2,5.3084,0.743565,0.655181,0.514984,0.809018,0,#4682B4,0
2,5.6623,0.762474,0.64991,0.499414,0.803228,0,#4682B4,0
2,6.0162,0.720726,0.653266,0.5058,0.808479,0,#4682B4,0
2,6.3701,0.727844,0.655877,0.528787,0.808862,0,#4682B4,0
2,6.724,0.772081,0.65446,0.530526,0.806977,0,#4682B4,0
2,7.0779,0.669798,0.648558,0.51898,0.813324,0,#4682B4,0
2,7.4318,0.701512,0.655682,0.510174,0.81588,0,#4682B4,0
2,7.7857,0.675216,0.652254,0.508581,0.805498,0,#4682B4,0
2,8.1396,0.790374,0.652225,0.512968,0.800448,0,#4682B4,0
2,8.4934,0.684551,0.644711,0.509428,0.802238,0,#4682B4,0
2,8.8473,0.701346,0.646584,0.498973,0.822808,0,#4682B4,0
2,9.2012,0.712088,0.649072,0.515678,0.814243,0,#4682B4,0
2,9.5551,0.651214,0.651142,0.493664,0.812327,0,#4682B4,0
