time,mean,sd,split
0,0.499001,0.0725012,All
0.3539,0.600739,0.0713241,All
0.7078,0.658234,0.0850471,All
1.0617,0.664243,0.09231,All
1.4156,0.669597,0.0862331,All
1.7695,0.652998,0.0592916,All
2.1234,0.683726,0.0611573,All
2.47729,0.675233,0.0767098,All
2.8312,0.686553,0.0969548,All
3.18509,0.6636,0.0677072,All
3.539,0.664735,0.0847082,All
4.06984,0.682976,0.0979104,All
4.77764,0.674163,0.0796832,All
5.48544,0.670874,0.0721046,All
6.0162,0.659313,0.0999168,All
6.3701,0.665127,0.0898446,All
6.724,0.659496,0.0724142,All
7.0779,0.66445,0.0839629,All
7.4318,0.683667,0.0893949,All
7.7857,0.659838,0.0820227,All
8.1396,0.667653,0.0833294,All
8.4935,0.673353,0.0962339,All
8.84739,0.681816,0.107787,All
9.2013,0.695975,0.0839905,All
9.5552,0.66233,0.0855,All
9.90909,0.6478,0.0841564,All
10.4399,0.658638,0.0864715,All
11.1477,0.671303,0.102396,All
11.8555,0.674324,0.0812463,All
12.3863,0.684766,0.0770891,All
12.7402,0.662547,0.0820326,All
13.0941,0.684632,0.0890509,All
13.448,0.692618,0.0954192,All
13.8019,0.679073,0.109731,All
14.1558,0.660771,0.109681,All
14.5097,0.672567,0.0744237,All
14.8636,0.679552,0.106434,All
15.2175,0.661163,0.104105,All
15.5714,0.661572,0.081108,All
15.9253,0.654182,0.0790852,All
16.4561,0.668342,0.0847675,All
17.1639,0.649147,0.0855778,All
17.6948,0.660516,0.075584,All
18.2256,0.66792,0.0898689,All
18.7564,0.660493,0.0749674,All
19.1103,0.653839,0.0855279,All
19.4642,0.654651,0.0806048,All
19.8181,0.660923,0.0717371,All
20.172,0.619105,0.0819212,All
20.5259,0.644581,0.0942337,All
20.8798,0.664007,0.0840824,All
21.2337,0.647099,0.0920484,All
21.5876,0.65016,0.103672,All
21.9415,0.65455,0.100584,All
22.2954,0.649133,0.0884546,All
22.6493,0.647391,0.0907316,All
23.1801,0.628282,0.0828566,All
23.8879,0.652243,0.095407,All
24.5957,0.65003,0.0865523,All
25.1265,0.639905,0.0890799,All
25.4804,0.65295,0.0877575,All
25.8343,0.643319,0.0985228,All
26.1882,0.6328,0.0870895,All
26.5421,0.659029,0.0874908,All
26.896,0.648571,0.0864517,All
27.2499,0.644877,0.0852381,All
27.6038,0.630781,0.0606084,All
27.9577,0.642877,0.0861883,All
28.3116,0.648622,0.086915,All
28.6655,0.636011,0.0856364,All
29.0194,0.63063,0.0892919,All
29.5502,0.637308,0.0824365,All
30.258,0.643773,0.0875317,All
30.9658,0.638867,0.094638,All
31.4966,0.628434,0.0732757,All
