iteration,convergenceIndicator,phase,A1_pop,tau1_pop,A2_pop,tau2_pop,I0_pop,omega_A1,omega_tau1,omega_A2,omega_tau2,omega_I0,corr_A2_A1,corr_tau1_A1,corr_tau2_A1,corr_tau1_A2,corr_tau2_A2,corr_tau2_tau1,a
1,3622.09,1,0.25,617.1,0.4,6.34,0.5,1,1,1,1,1,0,0,0,0,0,0,1
2,3482.9,1,0.150441,798.573,0.182285,5.35208,0.239962,0.974679,0.974679,0.974679,1.00199,0.974679,0,0,0,0,0,0,0.974679
3,3398.4,1,0.13107,740.053,0.161406,5.63705,0.236205,0.95,1.02519,0.95,0.976623,0.95,0,0,0,0,0,0,0.95
4,3306.17,1,0.118689,739.675,0.169467,5.55042,0.238553,0.925945,0.999229,0.925945,0.987522,0.925945,0,0,0,0,0,0,0.925945
5,3215.05,1,0.115113,743.847,0.15411,6.78395,0.240096,0.9025,0.973928,0.9025,1.01795,0.9025,0,0,0,0,0,0,0.9025
6,3123.13,1,0.130721,705.815,0.157271,7.01417,0.241107,0.879648,0.949267,0.879648,1.14907,0.879648,0,0,0,0,0,0,0.879648
7,3027.21,1,0.148413,608.423,0.169042,7.81752,0.248314,0.857375,1.01989,0.857375,1.23495,0.857375,0,0,0,0,0,0,0.857375
8,2920.64,1,0.146304,654.367,0.148484,6.89487,0.268841,0.835666,0.994065,0.835666,1.20368,0.835666,0,0,0,0,0,0,0.835666
9,2854.49,1,0.138989,607.312,0.145081,8.74545,0.218266,0.814506,0.968895,0.814506,1.30885,0.814506,0,0,0,0,0,0,0.814506
10,2753.91,1,0.157344,595.406,0.155298,7.43827,0.220376,0.793882,1.07327,0.793882,1.27571,0.793882,0,0,0,0,0,0,0.793882
11,2663.57,1,0.150818,531.592,0.159052,7.52661,0.238255,0.773781,1.11093,0.773781,1.34534,0.773781,0,0,0,0,0,0,0.773781
12,2573.1,1,0.152947,514.545,0.188427,7.90925,0.194656,0.754188,1.0828,0.754188,1.50433,0.754188,0,0,0,0,0,0,0.754188
