ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
1,0,0.489139,0.525717,0.525717,0.493361,0.780715,0.780715,0.49607,0.738059,0.738059,0.489139,0.456639,0.456639,0,All,#4682B4,0
1,0.3539,0.650822,-0.050003,-0.050003,0.644613,0.190114,0.190114,0.648585,0.12756,0.12756,0.650822,-0.000466708,-0.000466708,0,All,#4682B4,0
1,0.7078,0.650822,-0.610902,-0.610902,0.644613,-0.582989,-0.582989,0.648585,-0.645543,-0.645543,0.650822,-0.570955,-0.570955,0,All,#4682B4,0
1,1.0617,0.650822,-0.668462,-0.668462,0.644613,-0.602914,-0.602914,0.648585,-0.665468,-0.665468,0.650822,-0.620568,-0.620568,0,All,#4682B4,0
1,1.4156,0.650822,-0.482448,-0.482448,0.644613,-0.399452,-0.399452,0.648585,-0.462007,-0.462007,0.650822,-0.491425,-0.491425,0,All,#4682B4,0
1,1.7695,0.650822,-0.879736,-0.879736,0.644613,-1.03699,-1.03699,0.648585,-1.09954,-1.09954,0.650822,-0.817726,-0.817726,0,All,#4682B4,0
1,2.1234,0.650822,-0.443182,-0.443182,0.644613,-0.223912,-0.223912,0.648585,-0.286466,-0.286466,0.650822,-0.41999,-0.41999,0,All,#4682B4,0
1,2.4773,0.650822,0.217251,0.217251,0.644613,0.585541,0.585541,0.648585,0.522987,0.522987,0.650822,0.251419,0.251419,0,All,#4682B4,0
1,2.8312,0.650822,0.153572,0.153572,0.644613,0.527942,0.527942,0.648585,0.465388,0.465388,0.650822,0.161299,0.161299,0,All,#4682B4,0
1,3.1851,0.650822,0.0229004,0.0229004,0.644613,0.305588,0.305588,0.648585,0.243034,0.243034,0.650822,0.0765283,0.0765283,0,All,#4682B4,0
1,3.539,0.650822,-0.66885,-0.66885,0.644613,-0.720168,-0.720168,0.648585,-0.782722,-0.782722,0.650822,-0.654442,-0.654442,0,All,#4682B4,0
1,3.8929,0.650822,0.763364,0.763364,0.644613,1.38092,1.38092,0.648585,1.31836,1.31836,0.650822,0.786668,0.786668,0,All,#4682B4,0
1,4.2468,0.650822,0.630945,0.630945,0.644613,1.13084,1.13084,0.648585,1.06829,1.06829,0.650822,0.556044,0.556044,0,All,#4682B4,0
1,4.6007,0.650822,-0.663465,-0.663465,0.644613,-0.694409,-0.694409,0.648585,-0.756963,-0.756963,0.650822,-0.599353,-0.599353,0,All,#4682B4,0
1,4.9546,0.650822,-1.00076,-1.00076,0.644613,-1.17359,-1.17359,0.648585,-1.23615,-1.23615,0.650822,-0.938842,-0.938842,0,All,#4682B4,0
1,5.3085,0.650822,0.067135,0.067135,0.644613,0.361729,0.361729,0.648585,0.299175,0.299175,0.650822,0.137487,0.137487,0,All,#4682B4,0
1,5.6624,0.650822,-0.213929,-0.213929,0.644613,0.0242304,0.0242304,0.648585,-0.0383239,-0.0383239,0.650822,-0.215809,-0.215809,0,All,#4682B4,0
