time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
2.22045e-16,0.171383,2.22045e-16,0.225432,2.22045e-16,0.166505,0.489139,0.077249,0.37269,-0.0826028,0.489139,0.0749778,All
4.89189e-16,0.171383,4.89189e-16,0.225432,4.89189e-16,0.166505,0.491941,0.0760104,0.378168,-0.0798623,0.491941,0.0736461,All
1.07774e-15,0.171383,1.07774e-15,0.225432,1.07774e-15,0.166505,0.492373,0.0758195,0.380697,-0.0785972,0.492373,0.0734409,All
2.37438e-15,0.171383,2.37438e-15,0.225432,2.37438e-15,0.166505,0.494759,0.0747646,0.383727,-0.0770816,0.494759,0.0723068,All
5.23102e-15,0.171383,5.23102e-15,0.225432,5.23102e-15,0.166505,0.495607,0.0743899,0.388704,-0.0745916,0.495607,0.071904,All
1.15245e-14,0.171383,1.15245e-14,0.225432,1.15245e-14,0.166505,0.497593,0.0735117,0.389367,-0.07426,0.497593,0.0709598,All
2.53898e-14,0.171383,2.53898e-14,0.225432,2.53898e-14,0.166505,0.49884,0.0729603,0.39509,-0.0713969,0.49884,0.070367,All
5.59365e-14,0.171383,5.59365e-14,0.225432,5.59365e-14,0.166505,0.500443,0.0722516,0.396711,-0.070586,0.500443,0.0696051,All
1.23234e-13,0.171383,1.23234e-13,0.225432,1.23234e-13,0.166505,0.502074,0.0715308,0.400898,-0.0684918,0.502074,0.0688301,All
2.71499e-13,0.171383,2.71499e-13,0.225432,2.71499e-13,0.166505,0.50331,0.0709843,0.404718,-0.0665805,0.50331,0.0682426,All
5.98143e-13,0.171383,5.98143e-13,0.225432,5.98143e-13,0.166505,0.505308,0.0701012,0.40679,-0.0655439,0.505308,0.0672932,All
1.31778e-12,0.171383,1.31778e-12,0.225432,1.31778e-12,0.166505,0.506193,0.0697098,0.412725,-0.0625749,0.506193,0.0668723,All
2.90321e-12,0.171383,2.90321e-12,0.225432,2.90321e-12,0.166505,0.508541,0.0686716,0.41277,-0.0625527,0.508541,0.0657562,All
6.39609e-12,0.171383,6.39609e-12,0.225432,6.39609e-12,0.166505,0.509093,0.0684279,0.418837,-0.0595176,0.509093,0.0654942,All
1.40913e-11,0.171383,1.40913e-11,0.225432,1.40913e-11,0.166505,0.511775,0.067242,0.420732,-0.0585693,0.511775,0.0642193,All
3.10447e-11,0.171383,3.10447e-11,0.225432,3.10447e-11,0.166505,0.512009,0.0671387,0.424993,-0.0564378,0.512009,0.0641082,All
6.83949e-11,0.171383,6.83949e-11,0.225432,6.83949e-11,0.166505,0.514942,0.0658421,0.428739,-0.0545638,0.514942,0.0627142,All
1.50682e-10,0.171383,1.50682e-10,0.225432,1.50682e-10,0.166505,0.515009,0.0658125,0.43124,-0.0533128,0.515009,0.0626824,All
3.31968e-10,0.171383,3.31968e-10,0.225432,3.31968e-10,0.166505,0.517891,0.0645381,0.436746,-0.0505582,0.517891,0.0613123,All
7.31363e-10,0.171383,7.31363e-10,0.225432,7.31363e-10,0.166505,0.518242,0.0643829,0.437578,-0.0501418,0.518242,0.0611454,All
1.61127e-09,0.171383,1.61127e-09,0.225432,1.61127e-09,0.166505,0.520858,0.0632266,0.44401,-0.0471895,0.520858,0.0599023,All
3.54982e-09,0.171383,3.54982e-09,0.225432,3.54982e-09,0.166505,0.521476,0.0629533,0.444753,-0.0469912,0.521476,0.0596085,All
