id,eta_A1_SAEM,eta_tau1_SAEM,eta_A2_SAEM,eta_tau2_SAEM,eta_A1_mean,eta_tau1_mean,eta_A2_mean,eta_tau2_mean,eta_A1_mode,eta_tau1_mode,eta_A2_mode,eta_tau2_mode,eta_A1_sd,eta_tau1_sd,eta_A2_sd,eta_tau2_sd
1,-0.00701795,-0.162486,-0.0125964,0.0319599,-0.00728474,-0.176236,-0.0125331,0.0332523,-0.00765085,-0.198267,-0.013274,0.0357657,0.0108512,0.711718,0.0190821,0.0622507
10,0.0849429,2.16594,0.147535,-0.395087,0.0824623,1.83087,0.145819,-0.369211,0.0852196,2.06441,0.149243,-0.390788,0.00865766,0.745524,0.0147888,0.0594901
11,-0.00200379,-0.231318,-0.0021029,0.0191317,-0.000882019,-0.076885,-0.00134639,0.00724539,-0.00105086,-0.0140373,-0.00195032,0.00421675,0.00999065,0.775548,0.0159822,0.0652575
12,-0.0743292,-1.63517,-0.131729,0.332154,-0.0772869,-1.97068,-0.134132,0.359407,-0.0738172,-1.81144,-0.129047,0.339724,0.0113423,0.786698,0.0211476,0.0645985
13,-0.225512,-5.35065,-0.39647,1.02855,-0.219439,-5.26271,-0.384848,1.0035,-0.214292,-5.26796,-0.37453,0.98671,0.00776881,0.912125,0.0127885,0.064687
14,-0.0414962,-0.995265,-0.0729027,0.189827,-0.0388819,-0.858125,-0.0680849,0.173261,-0.0402716,-0.981768,-0.0704655,0.184998,0.0110318,0.695908,0.0185985,0.0633948
15,-0.0214959,-0.529048,-0.037786,0.0991903,-0.0223182,-0.479303,-0.0399831,0.0993736,-0.0216049,-0.515817,-0.0379083,0.0986741,0.00949496,0.816935,0.0161656,0.0650986
16,0.0397046,0.869635,0.0700353,-0.176929,0.0396635,0.937458,0.0692609,-0.18033,0.039287,0.975866,0.068569,-0.18143,0.00861964,0.855752,0.0157551,0.0618542
17,0.0637967,1.42497,0.113047,-0.286267,0.0650281,1.50268,0.115029,-0.294725,0.0658854,1.55336,0.115794,-0.299877,0.00917123,0.772091,0.0165691,0.0602452
18,-0.0271031,-0.694599,-0.0466426,0.125928,-0.0271284,-0.758867,-0.0465343,0.129796,-0.0257199,-0.632906,-0.0449467,0.118461,0.00982251,0.875334,0.0167187,0.0692961
19,0.00186818,-0.0437142,0.00406403,-0.00381321,0.00284737,0.1766,0.00375494,-0.0185933,0.00173094,0.0866821,0.0026002,-0.010297,0.0112784,0.830205,0.0186572,0.0729737
2,-0.0088915,-0.119003,-0.0160396,0.0353344,-0.00720396,-0.198164,-0.0123687,0.034294,-0.00758061,-0.133254,-0.0137616,0.0321059,0.0102882,0.831082,0.0165045,0.0693808
20,0.0505946,1.34286,0.0872367,-0.238033,0.0522236,1.3912,0.089691,-0.245713,0.0498163,1.22588,0.0870572,-0.229447,0.0103591,0.918566,0.0186374,0.0698754
3,-0.0897205,-2.02809,-0.15721,0.402759,-0.0907934,-2.28916,-0.158343,0.421232,-0.0871217,-2.13284,-0.152355,0.400686,0.010053,0.738072,0.0183092,0.0624129
4,0.062427,1.42302,0.110226,-0.281591,0.0643341,1.64402,0.111217,-0.299052,0.0639172,1.61162,0.111326,-0.296436,0.00932854,0.748472,0.0145087,0.0617221
5,0.126492,3.45274,0.218076,-0.600773,0.12421,3.00877,0.217023,-0.56921,0.126392,3.10538,0.220928,-0.581889,0.00782567,0.619827,0.0136498,0.0500054
6,0.000867769,0.167407,0.000331383,-0.0118798,0.00240342,-0.0588412,0.00536316,-0.00484579,0.00204116,0.00739181,0.00398005,-0.00714287,0.0109829,0.888102,0.017724,0.0758828
7,0.0130781,0.291089,0.0232155,-0.0586599,0.014912,0.591786,0.023583,-0.080312,0.0128158,0.300589,0.0225387,-0.0582483,0.0104096,0.876784,0.0169621,0.0725046
8,0.0628202,1.7433,0.109218,-0.300809,0.0615742,1.45134,0.108617,-0.280523,0.0607172,1.5373,0.10569,-0.281931,0.00798103,0.788233,0.014814,0.0567149
9,-0.0076587,-0.313829,-0.0122787,0.0419659,-0.00725646,-0.200149,-0.0124929,0.0345795,-0.0087782,-0.233523,-0.0151715,0.0413542,0.0106807,0.837877,0.0173226,0.0707165
