id,A1_SAEM,tau1_SAEM,A2_SAEM,tau2_SAEM,A1_mean,tau1_mean,A2_mean,tau2_mean,A1_mode,tau1_mode,A2_mode,tau2_mode,A1_sd,tau1_sd,A2_sd,tau2_sd
43,0.190224,2.51767,0.410329,259.913,0.190802,2.13707,0.414297,221.099,0.190091,2.03296,0.41275,226.421,0.0023981,0.724804,0.00374598,36.2779
52,0.170674,2.02721,0.3719,1012.77,0.170293,2.08597,0.37067,1033.18,0.170539,1.9326,0.371344,993.282,0.00261191,0.772519,0.00559581,282.712
53,0.181652,2.11238,0.395383,413.62,0.183129,2.66455,0.394777,434.523,0.181642,2.11752,0.393942,436.194,0.00270001,0.972015,0.00492463,125.001
54,0.152217,1.70786,0.334324,4269.02,0.151671,1.38983,0.335376,4342.07,0.152039,1.36807,0.33576,4000.24,0.00214362,0.528287,0.00427486,1069.91
55,0.130603,1.1187,0.291511,30399.2,0.1309,1.17017,0.291974,27958.4,0.131082,1.08871,0.292363,27480.2,0.00171718,0.425313,0.0044522,7497.34
56,0.134699,0.952249,0.302982,16930.5,0.134727,0.856287,0.304418,16033.5,0.134105,0.720287,0.303784,15708,0.0024423,0.419637,0.00600435,5998.5
57,0.143873,0.96521,0.322838,7093.48,0.144322,1.10885,0.322442,7320.74,0.14378,0.917122,0.322534,6875.66,0.00189692,0.454411,0.00596282,2281.38
58,0.107308,0.619182,0.245537,323019,0.106903,0.564198,0.245679,305708,0.107447,0.546604,0.246417,290747,0.00233086,0.216521,0.00560724,140693
59,0.127198,0.979473,0.285876,39015.7,0.126365,0.863011,0.285165,41284.3,0.126994,0.759938,0.287219,34564.6,0.001907,0.358172,0.00451938,12927.8
60,0.1343,0.984318,0.30149,17800.3,0.13382,1.12871,0.29892,20469.6,0.133778,0.864868,0.300948,18095.2,0.00238871,0.455255,0.00463855,5853.07
61,0.151327,0.68541,0.343837,2895.08,0.150568,0.648757,0.342667,3010.97,0.150794,0.609062,0.343438,2791.02,0.00250176,0.217283,0.00469627,710.208
44,0.151985,1.69343,0.333573,4605.9,0.151803,1.52985,0.334402,4416.25,0.152103,1.58898,0.333994,4341.55,0.00272342,0.435897,0.00564806,1357.97
62,0.14143,0.931314,0.31802,8664.77,0.141435,0.931045,0.318082,8523.22,0.141604,0.847576,0.318648,8115.38,0.00227796,0.385927,0.00380183,1853.02
45,0.207274,0.846011,0.468099,38.5107,0.206966,0.849575,0.467505,38.8091,0.206131,0.584477,0.468982,35.3566,0.00252282,0.587962,0.006994,12.3211
46,0.174572,2.49388,0.377327,832.705,0.174453,2.29798,0.378398,802.87,0.173905,2.07284,0.377605,788.733,0.00221432,1.13777,0.00576312,253.783
47,0.205564,2.07865,0.446993,73.1179,0.206297,2.33831,0.445974,78.1113,0.205553,1.86997,0.447449,72.7341,0.00258118,0.643519,0.00338195,15.9681
48,0.200682,2.33696,0.434215,114.482,0.201018,2.62574,0.433514,119.628,0.200746,1.95984,0.436292,103.865,0.00274458,1.08647,0.00404941,27.7797
49,0.195014,2.13989,0.423642,161.07,0.195538,2.48835,0.421689,181.299,0.194859,2.15134,0.422105,165.883,0.00196607,0.644265,0.00410247,35.5372
50,0.172127,2.14239,0.374344,905.022,0.171502,1.80697,0.375016,849.009,0.171614,1.69967,0.375494,844.175,0.00274688,0.506271,0.00473225,185.153
51,0.151015,0.934546,0.339207,3614.4,0.150983,0.968109,0.338932,3618.49,0.151033,0.926395,0.338536,3490.95,0.00248229,0.434353,0.00495253,1069.96
