id,eta_A1_SAEM,eta_tau1_SAEM,eta_A2_SAEM,eta_tau2_SAEM,eta_A1_mean,eta_tau1_mean,eta_A2_mean,eta_tau2_mean,eta_A1_mode,eta_tau1_mode,eta_A2_mode,eta_tau2_mode,eta_A1_sd,eta_tau1_sd,eta_A2_sd,eta_tau2_sd
43,0.180938,0.628403,0.15541,-2.12625,0.184351,0.468206,0.164901,-2.26933,0.180699,0.473219,0.161202,-2.23353,0.0125426,0.328828,0.00907652,0.151142
52,0.0724576,0.390932,0.0570158,-0.782113,0.0705958,0.437893,0.0535578,-0.751005,0.0721552,0.42259,0.0554882,-0.754914,0.0153655,0.344537,0.0150473,0.265737
53,0.134833,0.408764,0.118306,-1.65802,0.143278,0.67417,0.116603,-1.61783,0.135232,0.513969,0.114565,-1.57784,0.0147825,0.381518,0.0125444,0.261727
54,-0.0419971,0.215406,-0.0494981,0.658584,-0.0451944,0.036474,-0.0464687,0.690406,-0.0426679,0.0771228,-0.0452444,0.638182,0.0141023,0.321946,0.0127242,0.24392
55,-0.195165,-0.186362,-0.18656,2.62021,-0.192461,-0.143488,-0.185092,2.54377,-0.190985,-0.151278,-0.183642,2.56529,0.0130635,0.358853,0.0151707,0.285817
56,-0.164275,-0.392104,-0.147941,2.04575,-0.163718,-0.492725,-0.143432,1.95793,-0.168181,-0.56438,-0.145322,2.006,0.0181585,0.435628,0.0197319,0.372024
57,-0.0983858,-0.349485,-0.0844344,1.18723,-0.0948445,-0.215495,-0.0858865,1.19856,-0.0985234,-0.32279,-0.0854304,1.17981,0.0131357,0.408834,0.0185185,0.292038
58,-0.39163,-0.796262,-0.358178,4.98857,-0.395121,-0.876638,-0.357873,4.88044,-0.389811,-0.840307,-0.354616,4.92428,0.0217221,0.362125,0.0228578,0.427295
59,-0.221549,-0.358913,-0.206079,2.87199,-0.227746,-0.456519,-0.208698,2.92702,-0.22267,-0.510793,-0.201394,2.79466,0.0151176,0.370969,0.0158062,0.299618
60,-0.167245,-0.334058,-0.152894,2.09001,-0.17047,-0.192019,-0.161585,2.23043,-0.170626,-0.381454,-0.154702,2.14747,0.0179035,0.392475,0.0155328,0.28398
61,-0.0478391,-0.682976,-0.0214635,0.263405,-0.0525312,-0.716552,-0.0249752,0.327003,-0.0508887,-0.73211,-0.0226341,0.278233,0.0166104,0.300741,0.0137541,0.231666
44,-0.0434944,0.222628,-0.0517041,0.749483,-0.044381,0.144282,-0.0494396,0.692017,-0.042246,0.226817,-0.0505168,0.720059,0.0179462,0.314331,0.0169109,0.302855
62,-0.115552,-0.395314,-0.0995382,1.36941,-0.115096,-0.387008,-0.0994035,1.37125,-0.113771,-0.40165,-0.0975534,1.34559,0.0160588,0.393816,0.0119603,0.216803
45,0.266788,-0.595519,0.287063,-4.03142,0.265673,-0.582909,0.285657,-4.03913,0.261704,-0.773313,0.288924,-4.09044,0.0121965,0.589314,0.0151075,0.276902
46,0.0950678,0.594678,0.0715807,-0.959902,0.0947707,0.520728,0.0741898,-1.01174,0.0917016,0.492645,0.0722086,-0.985501,0.012698,0.350352,0.0152831,0.289447
47,0.258507,0.410505,0.240994,-3.38725,0.262432,0.570327,0.238593,-3.31802,0.258896,0.389648,0.241924,-3.36912,0.012574,0.304388,0.00759618,0.200496
48,0.234492,0.538962,0.212003,-2.9374,0.236493,0.636459,0.210241,-2.90029,0.235232,0.43659,0.216673,-3.01284,0.013619,0.440517,0.00933551,0.244227
49,0.205836,0.442418,0.187314,-2.60265,0.208897,0.636681,0.182581,-2.47688,0.205469,0.529817,0.183615,-2.54464,0.0100632,0.290091,0.00974341,0.211093
50,0.0809809,0.439557,0.0636224,-0.872076,0.0776607,0.316958,0.0652498,-0.936465,0.0784388,0.294157,0.0666022,-0.917568,0.0160348,0.277995,0.0126045,0.224999
51,-0.0498842,-0.386775,-0.0349829,0.500407,-0.0497752,-0.354366,-0.0359481,0.493309,-0.0493088,-0.312729,-0.0370098,0.502,0.0164182,0.405352,0.0145864,0.303058
