rep,id,eta_A1,eta_tau1
1,43,0.172149201853087,0.208682823581743
2,43,0.170031425937362,0.199858872407603
3,43,0.17480035178323,0.206933154096539
4,43,0.164941217317908,0.210118761260349
5,43,0.170348257866788,0.204318449487656
6,43,0.16657793510937,0.209546213001483
7,43,0.179457696702717,0.215514531475312
8,43,0.166257093828994,0.209244678153071
9,43,0.165337473239982,0.206636199525833
10,43,0.169740116116378,0.217116552879398
1,52,0.0606630594552777,0.0618191158421688
2,52,0.0769292105443949,0.10904088758287
3,52,0.0895847098254341,0.109639183584301
4,52,0.057583584613937,0.0722670258683666
5,52,0.0691314306223654,0.0773893300135195
6,52,0.0595064557873224,0.0642795881291426
7,52,0.061656689552867,0.0806214631456688
8,52,0.0519696448821681,0.0685502353459132
9,52,0.0691609730408195,0.0619321775647956
10,52,0.0832363043265356,0.0894208768002621
1,53,0.110879708076373,0.136530413449748
2,53,0.137520277040356,0.153755092286668
3,53,0.105062356472068,0.129015498208348
4,53,0.117081602746668,0.156839910742737
5,53,0.136323460103761,0.165026331529623
6,53,0.115686066008845,0.158007414284876
7,53,0.121043752259208,0.149892879406556
8,53,0.127634744346145,0.162043090838349
9,53,0.0901005042080697,0.100120377541335
10,53,0.108493911259768,0.127263314273423
1,54,-0.0643864717359592,-0.089760278664193
2,54,-0.0235309917273033,-0.00548676066150295
3,54,-0.0477296482896098,-0.0733259902164603
4,54,-0.0306311401140171,-0.0278501917886794
5,54,-0.0599008860824108,-0.0699818223724346
6,54,-0.0450841367975175,-0.0514609397255396
7,54,-0.0619747001732271,-0.0587415705533855
8,54,-0.0321601026737171,-0.0356979908970999
9,54,-0.0472679083225041,-0.0571117671986556
10,54,-0.0357708724201004,-0.0369926339342205
1,55,-0.210267945879457,-0.2541229414679
2,55,-0.187491929173983,-0.224951516279668
3,55,-0.19552242724636,-0.242042416504914
4,55,-0.203782554789491,-0.248832360774658
5,55,-0.180935968433193,-0.212319799203754
6,55,-0.192969908346997,-0.253502091393921
7,55,-0.172141867626179,-0.218930003660488
8,55,-0.189856146208502,-0.226490076398097
9,55,-0.209131572496374,-0.247338860545185
10,55,-0.216222987103976,-0.257248330284185
1,56,-0.183912073237113,-0.232477803752981
2,56,-0.152503205174473,-0.164606152254254
3,56,-0.177777063337003,-0.201043820561736
4,56,-0.164671237463502,-0.208895045668091
5,56,-0.160563383443485,-0.201096809644031
6,56,-0.1959749397192,-0.241517419824209
7,56,-0.149915668661864,-0.189942192234371
8,56,-0.159381772233603,-0.173435249341036
9,56,-0.142816287098712,-0.174722577204806
10,56,-0.151000073727395,-0.18526786082359
1,57,-0.0962352495118481,-0.118448695146566
2,57,-0.0967669894179031,-0.127327722849462
3,57,-0.12362609351893,-0.157128020792264
4,57,-0.10483434365258,-0.132512521796787
5,57,-0.0956290820706281,-0.131563325812494
6,57,-0.0748795097185919,-0.115677156418519
7,57,-0.0988147683509463,-0.114577253591808
8,57,-0.117561400875962,-0.144101961354979
9,57,-0.0944729851083542,-0.122580408186132
10,57,-0.0978640670177457,-0.117296388194908
1,58,-0.387296215382514,-0.465803443821311
2,58,-0.393480401315557,-0.458822993951893
3,58,-0.39587308916288,-0.464729030747379
4,58,-0.379035720924791,-0.46197497229282
5,58,-0.377355690828628,-0.4550982268811
6,58,-0.408816901766246,-0.489986627403796
7,58,-0.396176862054285,-0.480662161348544
8,58,-0.379567471927857,-0.459957598866711
9,58,-0.343784671949199,-0.421694792208323
10,58,-0.391606206628907,-0.474266082974705
1,59,-0.216330845677879,-0.279899196541181
2,59,-0.204806983283866,-0.256956508410431
3,59,-0.201915195776188,-0.251069696964774
4,59,-0.2055591969334,-0.255900560879797
5,59,-0.204074031498931,-0.258862485615388
6,59,-0.199320108787818,-0.252235917274235
7,59,-0.208879270779188,-0.270248359686165
8,59,-0.23716129442592,-0.281675492542172
9,59,-0.20170946196519,-0.255233789256082
10,59,-0.192243869711422,-0.230098525340933
1,60,-0.179094136449616,-0.217093033906189
2,60,-0.146883571640372,-0.195963603769563
3,60,-0.154552894131148,-0.194830558237487
4,60,-0.177391342931135,-0.209445580406137
5,60,-0.18401630701252,-0.212982799950475
6,60,-0.161746672425455,-0.173132689294082
7,60,-0.187682625183547,-0.223731250603195
8,60,-0.137320503633603,-0.160814734703335
9,60,-0.148038673492765,-0.168130844073747
10,60,-0.157563676105151,-0.175607225145544
1,61,-0.052251301430696,-0.0467755778467684
2,61,-0.0249329585981626,-0.0364457004029378
3,61,-0.0180888274997796,-0.0153432349254848
4,61,-0.0305930615267867,-0.0317267858031477
5,61,-0.0436711324448715,-0.0441507000686618
6,61,-0.0469566489189122,-0.0659315295139532
7,61,-0.0583101980943725,-0.0699760013954859
8,61,-0.0503363480843934,-0.0580996249561666
9,61,-0.0358453206984238,-0.0587299250974668
10,61,-0.0232044960533353,-0.0408267891813797
1,44,-0.055366800050258,-0.0481592995330052
2,44,-0.0457699653337467,-0.0473453417548751
3,44,-0.0604583238175432,-0.0659605197314147
4,44,-0.0350089929787774,-0.0454202955328741
5,44,-0.0649328592955901,-0.0865008975524937
6,44,-0.0217413674385423,-0.0124388759435757
7,44,-0.0554501074483344,-0.0596083990720743
8,44,-0.0336930384826976,-0.0461150095828188
9,44,-0.058876343441918,-0.058149746211753
10,44,-0.0538445522935181,-0.0572747659372348
1,62,-0.113311467399554,-0.15060832383348
2,62,-0.103160647248491,-0.137313773376321
3,62,-0.110647104029083,-0.133782897492188
4,62,-0.109848547425354,-0.134401572893277
5,62,-0.117420655035164,-0.144199910654641
6,62,-0.125640093796801,-0.143984195300633
7,62,-0.101514719912135,-0.146678896847436
8,62,-0.0717586035062525,-0.0878590017106645
9,62,-0.0955179189487876,-0.121785340638588
10,62,-0.115562816356373,-0.13666177954968
1,45,0.266795367551715,0.317935500860528
2,45,0.266718574314044,0.324922531455103
3,45,0.258497719205115,0.316173692957119
4,45,0.287520890547275,0.361096058815638
5,45,0.275438085458696,0.325044409016769
6,45,0.272575743201109,0.336872644281369
7,45,0.253115090158878,0.299036139435835
8,45,0.270025353018558,0.348774071329161
9,45,0.275939713205736,0.315328182007508
10,45,0.279072323750895,0.345618592149483
1,46,0.0835913228254654,0.104926101504256
2,46,0.0848936168515873,0.10432795218463
3,46,0.105913062273542,0.126952825704913
4,46,0.0973618854520614,0.118989072884496
5,46,0.0774743588732481,0.10465035653499
6,46,0.076975405028431,0.112891072706193
7,46,0.0995001939653111,0.10712733487119
8,46,0.0835751646315174,0.10815040990151
9,46,0.087205358711589,0.114172517813151
10,46,0.0695209175872307,0.075004913504083
1,47,0.257771986455642,0.312592804187041
2,47,0.260154420491991,0.314121026226323
3,47,0.245063429015795,0.311427296275638
4,47,0.232561209198525,0.251965693279068
5,47,0.242499195567383,0.296610338615782
6,47,0.248306123221455,0.305489309916393
7,47,0.247882887669429,0.2911428682556
8,47,0.25205569028168,0.316110302794945
9,47,0.246959186363922,0.308872363522236
10,47,0.251157736311504,0.302142471644855
1,48,0.222597316515706,0.274612563636196
2,48,0.209480861200939,0.246132991797415
3,48,0.223687872897131,0.284777361152905
4,48,0.222339628961611,0.273297019277184
5,48,0.220166251094425,0.27991718964889
6,48,0.204106971524284,0.25221029450387
7,48,0.208899851369956,0.238178412120455
8,48,0.215173942548294,0.270772278587088
9,48,0.217530610590933,0.258966388042721
10,48,0.217249753959475,0.262661506212262
1,49,0.191685903135056,0.236605966047126
2,49,0.186537752357098,0.208041195827462
3,49,0.208076933006891,0.263201700099533
