id,A1_SAEM,tau1_SAEM,A1_mean,tau1_mean,A1_mode,tau1_mode,A1_sd,tau1_sd
43,0.601347,4.8166,0.602105,4.8259,0.602249,4.82786,0.0059287,0.0778136
52,0.540482,4.3445,0.541557,4.34674,0.541534,4.35228,0.00631616,0.0717115
53,0.573911,4.60316,0.574798,4.61243,0.575261,4.61688,0.0058858,0.0712899
54,0.486808,3.9182,0.485398,3.9075,0.486732,3.9201,0.00668603,0.0736479
55,0.421831,3.40322,0.42089,3.39991,0.422199,3.41128,0.00674704,0.0644407
56,0.435826,3.51958,0.435458,3.51159,0.434907,3.51199,0.00612183,0.0612145
57,0.464774,3.7541,0.464932,3.74442,0.46398,3.74049,0.00608896,0.0608495
58,0.350507,2.83995,0.350304,2.84314,0.350409,2.84242,0.00758473,0.0678585
59,0.411652,3.32834,0.412683,3.33908,0.411724,3.32911,0.00675567,0.0713069
60,0.432439,3.48819,0.432429,3.48657,0.432438,3.49127,0.00604038,0.0574244
61,0.490307,3.949,0.489832,3.94986,0.488849,3.93412,0.00586566,0.0648337
44,0.485409,3.90727,0.485221,3.91157,0.485562,3.91161,0.00721832,0.0747113
62,0.457727,3.68488,0.458236,3.69707,0.457525,3.68908,0.00631294,0.0687022
45,0.668095,5.3386,0.665552,5.30874,0.666727,5.32934,0.00675054,0.078944
46,0.551945,4.43505,0.551069,4.42728,0.551354,4.43028,0.00686991,0.076257
47,0.65182,5.20917,0.652104,5.22132,0.651814,5.21436,0.00589118,0.0704983
48,0.635679,5.08041,0.635847,5.0916,0.636174,5.09308,0.00706521,0.0860792
49,0.616439,4.94361,0.616329,4.93215,0.616531,4.94088,0.00564562,0.0734186
50,0.546752,4.39422,0.546103,4.38033,0.546403,4.39037,0.00679169,0.0740609
51,0.487627,3.92843,0.48672,3.9164,0.486878,3.91934,0.0058954,0.0609704
