rep,id,eta_A1,eta_tau1,eta_I0
1,43,-0.0431748238649853,0.185418823985542,0.255781614501343
2,43,-0.00537193057169673,-0.00808693342148348,0.233338860026377
3,43,-0.0411124050928042,0.277677206179095,0.255713793638943
4,43,-0.124427371694764,1.28313825769205,0.254134918348952
5,43,0.0379079378707294,-0.172381685013812,0.2283343922697
6,43,0.00642482270116716,0.467042318818224,0.234270580937651
7,43,0.00610508180646406,0.309365413427841,0.238638852228665
8,43,-0.00681732369722283,0.12325663527999,0.247754497477494
9,43,-0.00252109124530924,0.351800350305456,0.248525554320552
10,43,-0.0147545148538041,0.375842989200099,0.263641347282845
1,44,-0.0722431931021162,0.443154899002047,0.128436458962878
2,44,-0.0460717105622312,0.452070146023267,0.10195283012313
3,44,-0.065470138513952,0.721279358976227,0.110204964664155
4,44,-0.0496098401490154,0.298110814546926,0.108187787786028
5,44,-0.00965890251993796,0.289956970279588,0.0933898076855074
6,44,-0.0406454342508285,0.54274678392529,0.11666538629985
7,44,-0.0875896869519574,0.487906315514425,0.122908684024699
8,44,0.027330984672393,-0.151584970241752,0.0977512970200741
9,44,0.00855189725474543,0.320163269733113,0.104879086103723
10,44,-0.145633299872501,1.08364867937947,0.131340353622735
1,45,-0.0752418491847578,0.664396234192441,0.188108533927208
2,45,-0.0885322902210755,0.912645946455525,0.225752903261924
3,45,-0.0977368253589974,0.927258968355202,0.208014367387653
4,45,-0.0946726731271753,0.652865660157902,0.21524039506205
5,45,-0.0855647243076344,0.672244093819543,0.220219839235838
6,45,-0.0789623356700603,0.879652752267742,0.188443897556395
7,45,-0.0804304846044358,0.410004394639924,0.192073335475099
8,45,-0.129745304677747,0.822266181729575,0.20488458940449
9,45,-0.0648572623045962,0.77679828398865,0.220674092200959
10,45,-0.0931597884270659,0.992336008659732,0.184891670938354
1,46,0.00910863627025887,0.139048379276557,-0.0772378239465396
2,46,-0.0823213590120024,0.428555187567881,-0.0366460026459994
3,46,0.0153418676774024,0.124527312236109,-0.0599644712567377
4,46,-0.0876946549399844,0.562849321463438,-0.0211536589650675
5,46,-0.0325228816866594,0.192623359462864,-0.0213562064521472
6,46,-0.0125040245590229,5.58332895239655e-6,-0.0688358415695698
7,46,0.0432740665940746,-0.402266550013911,-0.0554254194026189
8,46,0.0206325767722931,0.260275818541571,-0.0424146552043534
9,46,-2.83994220108374e-5,-0.0297582038787045,-0.05739763819027
10,46,-0.036445183318705,0.0063440582683672,-0.0205444996697698
1,47,0.0492348906284793,-0.0910762069305101,-0.286270998202951
2,47,0.00551956089914218,0.00448705338757675,-0.260766854555617
3,47,-0.113159320868614,0.815901247924691,-0.21613861530716
4,47,-0.0317590182203213,0.38755050670924,-0.264761778822361
5,47,0.0115035279942242,0.18024519284989,-0.273692911191506
6,47,-0.0026059263599072,0.0597696496287745,-0.2728675496898
7,47,-0.0343720965649745,-0.0872992494460015,-0.240776341051595
8,47,0.0111809182108216,-0.0112868353705455,-0.281724251975643
9,47,0.0470369570316507,-0.176098619352199,-0.299010245000631
10,47,-0.016683925402159,0.0751363752156637,-0.26060161986471
1,48,0.0745875843987804,-0.462659003303008,-0.243257579044688
2,48,-0.0246921619524022,-0.0759417593885457,-0.205846761206233
3,48,-0.0226267811689516,0.144746303114751,-0.236477440397196
4,48,-0.0500958496285995,0.274216322911357,-0.214885584815801
5,48,0.0352146805298998,-0.658236570710508,-0.216180712365518
6,48,0.0930891306197968,-0.924133346262509,-0.215228597836374
7,48,0.0510075993043079,-0.256968041519945,-0.248988164771177
8,48,-0.0440866717384184,0.502455515004682,-0.230647731422891
9,48,0.0462819191732826,-0.011468662252513,-0.215366410383415
10,48,-0.00539967392807169,-0.264398488896891,-0.242370583235645
1,49,0.0631847526550142,-0.680063845406265,-0.103316399590921
2,49,-0.0457536655153094,0.139319999931796,-0.0740739607089349
3,49,0.0497561510975519,-0.299924812014454,-0.150845512589508
4,49,0.00736355232998182,-0.381432061089799,-0.121109200224667
5,49,0.00931094384314319,-0.223899697420412,-0.140367576739485
6,49,0.00243485442736286,0.0390066552991651,-0.152259973262045
7,49,-0.00644894373406901,-0.22911274316584,-0.11516183665153
8,49,-0.010244185431758,0.119073535772604,-0.123571044621115
9,49,0.0248934183861863,-0.0559186806288745,-0.140625289006177
10,49,0.0459717213221229,-0.263488988180122,-0.157292929920376
1,50,0.0930267342558243,-0.702025743888462,-0.613845972753839
2,50,0.0317641659770366,-0.1486202620766,-0.58243678816058
3,50,-0.023810577170257,-0.292714464724064,-0.528859710579588
4,50,0.0960070943116518,-0.846499794320918,-0.662476911685865
5,50,0.0600815688653697,-0.426946696603498,-0.594840259615053
6,50,0.0185269422025543,-0.545162404288906,-0.578674534863992
7,50,0.0410949001844705,-0.319636237962719,-0.578088085443271
8,50,0.0399241181649512,-0.137411200561979,-0.600675243407055
9,50,-0.0160765152668273,-0.0729899360384303,-0.515561784550806
10,50,0.0229131095191789,-0.286687073288209,-0.583311474842055
1,51,0.0218423353178586,-0.450386032749871,-0.358231284672372
2,51,0.0392760362484425,-0.60311253709403,-0.326550720697172
3,51,0.112269287394546,-0.692864507092882,-0.366459922635975
4,51,0.000379194455078974,-0.187126620299814,-0.294932249820886
5,51,-0.012789557006312,0.185495243667704,-0.256088442863931
6,51,-0.0143409153757973,-0.0644152979451075,-0.307394666524213
7,51,0.0331515078032877,-0.0816317054723418,-0.313139846396572
8,51,0.0299438503422557,-0.524348485235146,-0.327728773198829
9,51,-0.0687960389306184,0.574000905908728,-0.289049833018953
10,51,0.0076608865395606,-0.186010701066137,-0.305720927165069
1,52,0.0221216244987699,-0.306195270844573,-0.238540532310533
2,52,-0.0398496364838753,0.21931552902129,-0.188070381646913
3,52,0.00396725730842378,-0.379753153291294,-0.230558977709589
4,52,0.0245972551383753,-0.368485649077958,-0.248477479728118
5,52,0.0287334796662156,-0.337782997852557,-0.241813110891002
6,52,-0.00333410677905182,-0.372584542593795,-0.237157694132078
7,52,0.0529457291304964,-0.495081860999385,-0.26100654788491
8,52,0.0155915955926073,0.175660454421558,-0.241805150886647
9,52,0.0734686318632616,-0.758016010476663,-0.252112717894049
10,52,-0.0288830638980242,0.190894032364811,-0.19048232997485
1,53,0.072981888300959,-0.60176997780944,-0.0601814864292317
2,53,0.0882424495956712,-0.950817429337779,-0.074724079645544
3,53,0.0790701885917885,-0.687311930069462,-0.081733399524033
4,53,0.0530542032594137,-0.727012427585267,-0.0569172363683166
5,53,0.0978590875108854,-0.783770339824646,-0.0867782137867179
6,53,0.121980282388735,-0.923105986059611,-0.0941993161854554
7,53,0.0669858778389714,-0.824416582568301,-0.0792294944475243
8,53,0.133742061478927,-1.03522278720068,-0.103955985771026
9,53,0.0452835908099045,-0.630057527016948,-0.0418584461705075
10,53,0.0634142009386019,-0.675697957337206,-0.0553361456776759
1,54,-0.0723462926097376,0.817562730444375,-0.0498941054019207
2,54,-0.0663265166193933,0.114756045229594,0.0148597199129774
3,54,0.00827274692706872,0.265238625357936,-0.065272991494908
4,54,-0.0147488959181134,-0.0174393057258049,-0.0543983912357843
5,54,-0.0478025031324859,0.264025266081943,-0.0391096868605742
6,54,-0.100259187672214,1.28233812490048,-0.034928507768734
7,54,-0.0347268148714331,0.702344876366664,-0.0519713009286306
8,54,0.0241324209413711,0.15392618190109,-0.0718202258354139
9,54,-0.0767568113263482,0.602621760537898,-0.0452470562405191
10,54,0.0361658009279598,-0.0888015147932479,-0.0601675044181931
1,55,0.063866011325449,-0.756293437537466,-0.171184634620493
2,55,0.00948594535269574,-0.316147809814891,-0.139501539929969
3,55,0.00840853255893302,-0.0959559120739997,-0.148193881263427
4,55,-0.0156951641453273,-0.0057918984548585,-0.125531033523393
5,55,0.0374536764948124,-0.146320982951018,-0.184008312744367
6,55,0.0354335229668441,-0.599947737127439,-0.118788493426598
7,55,-0.0110256680857392,-0.217073709350796,-0.12736437615342
8,55,0.0672936745363671,-0.0578133933812137,-0.196473004842753
9,55,0.0910652754290024,-0.480974801813518,-0.164344947290152
10,55,-0.019489228494671,0.0982997621889855,-0.137422680848726
1,56,0.0813865791477796,-0.945683844693096,0.33729700492123
2,56,0.184808773464947,-1.64358562466077,0.323873483654197
3,56,0.145256642170306,-1.57863908976951,0.355611926195843
4,56,0.15727981885649,-1.42368977241705,0.362172595927535
5,56,0.115442411633241,-1.27325377191577,0.346337210348145
6,56,0.0712328973596076,-1.14986739000348,0.368387231710039
7,56,0.138303191444794,-0.978707172560943,0.357969308211374
8,56,0.125448108043715,-1.31685233130052,0.37599462154897
9,56,0.167602961219236,-1.6371598119861,0.342674833974595
10,56,0.0829229972409756,-1.37183909688105,0.348786490496786
1,57,-0.0351929208273117,0.557499785797317,0.118595439732483
2,57,-0.0509803273635302,0.377556716021331,0.119990294875623
3,57,-0.0116931386003824,0.486695844086013,0.13424794659899
4,57,-0.120587016609662,1.12736354975767,0.151464971883547
5,57,-0.101802189434371,0.574173591270021,0.173606481670264
6,57,-0.104394060817013,0.667728210846414,0.159825156297024
7,57,-0.0853456416010438,0.545866707858353,0.144208850008103
8,57,-0.0269447623445849,0.545357704523318,0.139234439521819
9,57,-0.114715334704478,1.10838599396532,0.165631822655261
10,57,-0.0262410753799083,0.426764267233901,0.130332576939431
1,58,0.0240492611911219,-0.157898229396409,0.327095636180353
2,58,-0.00346122406722823,0.551669643221035,0.335591423683244
3,58,0.0652939417501574,-0.43942698496953,0.320173830360137
4,58,-0.042580585589416,0.324892986286134,0.363648886568998
5,58,-0.0289288339509076,0.351357801253342,0.35680269098901
6,58,-0.0368441963927604,0.401964382919823,0.345704453396203
7,58,0.0127457178043543,-0.295969375599437,0.337350380556066
8,58,0.0616543666104082,-0.509318368642293,0.31670458377933
9,58,0.00097561450933227,0.153158115411584,0.344625547048625
10,58,-0.00411829402794488,0.0416217773839913,0.353049172131339
1,59,-0.0853662996891123,0.574545051157674,0.3385997016775
2,59,0.00730504700000403,0.101159825007032,0.325054498311438
3,59,0.0186520054176716,0.0548441973125322,0.301871745091312
4,59,0.0156625543313187,0.0650506825427042,0.305939136692362
5,59,-0.0409876280450093,0.366442214903139,0.330009385926468
6,59,0.0328770723204416,-0.129888332618312,0.312683131684416
7,59,0.0482326464330072,-0.335709893766437,0.314712288413386
8,59,0.0027662892019718,-0.104262784639807,0.304933689907454
9,59,-0.0516411704009644,0.55613921009208,0.336801526765261
10,59,0.0362834967301327,0.165876231315914,0.302469776668612
1,60,-0.0550478591406105,0.142599985035407,0.285421938935296
2,60,-0.00723946244660854,0.144664980676159,0.268594244250469
3,60,0.00502289265723065,0.0239156291210311,0.280728928443301
4,60,-0.0434440430229069,0.260780151168738,0.283825715433751
5,60,-0.0741405666180272,0.695156559026704,0.289555505109786
6,60,-0.0869832746797771,1.20491028023125,0.30450335173887
7,60,-0.0551877675944989,0.525753896937693,0.272647061426544
8,60,-0.0241988128929546,0.314043330129038,0.296664068141025
9,60,-0.0404282212831889,0.390923716528169,0.287245074738518
10,60,-0.0579107005342173,0.825897160905829,0.289835284627739
1,61,-0.0909518078008854,0.90938036234568,0.127820928621753
2,61,-0.0133619352613918,0.168614890484098,0.113930036338259
3,61,0.00345316726735281,0.0863262538500245,0.117176127778954
4,61,-0.130176461674835,0.929863601385764,0.159060912228301
5,61,-0.0124655682950751,0.230318421973721,0.122165782256191
6,61,-0.068315317913051,0.718008645629577,0.130905882616026
7,61,-0.00615085689476864,0.394957089399676,0.113059784555121
8,61,-0.0626928262719706,0.816048779706673,0.12115690558208
9,61,-0.0332530011449487,-0.0832176961151726,0.145510716279942
10,61,-0.0778483918831661,0.456374599616934,0.144013053383202
1,62,0.102855400415532,-0.525915618631223,-0.0921143048654449
2,62,0.0299356760931925,-0.285875128677763,-0.0585957284058647
3,62,0.0691971581806919,-0.276912396179285,-0.0662688933541428
4,62,0.0260609468503314,-0.225862507809289,-0.0706730505473539
5,62,0.0836486748465486,-0.646891891511878,-0.0765139461734523
6,62,0.0187369078971963,0.0729565325050208,-0.0780591449744814
7,62,0.033264055381507,-0.430695996547112,-0.0694576949295005
8,62,0.0189150589906006,-0.572051747976145,-0.0699778188519622
9,62,-0.0523071992452747,-0.0162919605628033,-0.0246824458706551
10,62,0.0478866813890818,-0.225285405693079,-0.0712631484863948
