parameter,value,se_sa,rse_sa
A1_pop,0.289134070701266,0.0221367962791876,7.65623927525973
tau1_pop,7976331507724.16,124364676351102,1559.17135879658
A2_pop,0.0973799074429609,0.028079658379789,28.8351664292106
tau2_pop,13437.6218063089,70622.4222770674,525.557448297217
omega_A1,0.0816363967885265,nan,nan
omega_tau1,12.6682603482579,nan,nan
omega_A2,0.579063999312778,nan,nan
omega_tau2,4.59994855345022,nan,nan
corr_A2_A1,-0.966505406055397,0.00646832707393657,0.669248928501682
corr_tau1_A1,-0.312145650361615,nan,nan
corr_tau2_A1,-0.992059793573371,0.0115129108714793,1.16050574230109
corr_tau1_A2,0.539113292307457,nan,nan
corr_tau2_A2,0.976989472830397,nan,nan
corr_tau2_tau1,0.394621959326522,nan,nan
a,0.102870653230353,0.00330707483135096,3.21478937627198
