id,eta_A1_SAEM,eta_tau1_SAEM,eta_I0_SAEM,eta_A1_mean,eta_tau1_mean,eta_I0_mean,eta_A1_mode,eta_tau1_mode,eta_I0_mode,eta_A1_sd,eta_tau1_sd,eta_I0_sd
63,-0.0532791,0.119976,0.1034,-0.00942795,0.0268871,0.10221,0.0498741,-0.122328,0.105904,0.517065,1.34587,0.0436703
64,-0.135068,0.369461,-0.076583,-0.0985405,0.222848,-0.0763112,-0.0513799,0.126022,-0.0743316,0.504817,1.30195,0.0446103
65,0.690638,-1.7143,0.160746,0.594468,-1.45922,0.161385,0.753705,-1.84864,0.163851,0.603297,1.51507,0.0726322
66,-0.17065,0.424205,-0.0239977,-0.177755,0.424278,-0.0261068,-0.107764,0.264317,-0.0238729,0.501921,1.2843,0.041042
67,-0.116052,0.270318,-0.0487781,-0.136182,0.335832,-0.0503642,-0.0592351,0.145289,-0.0483582,0.524266,1.35654,0.0450962
68,0.366149,-0.90545,0.11286,0.297051,-0.731336,0.11856,0.348985,-0.85597,0.126894,0.581474,1.49714,0.0574262
69,-0.0705444,0.191338,-0.0841562,-0.0467011,0.106203,-0.0870664,-0.0465025,0.114059,-0.0797347,0.535746,1.37166,0.0470661
70,-0.395078,1.01536,-0.109158,-0.27495,0.660539,-0.115268,-0.270845,0.664314,-0.11116,0.473032,1.24506,0.0407882
71,-0.215409,0.54949,-0.0502491,-0.173842,0.420085,-0.0559354,-0.10609,0.260211,-0.0524806,0.527238,1.36021,0.0437522
72,0.163758,-0.369187,0.0178568,0.167494,-0.417582,0.0160066,0.228463,-0.560362,0.0232201,0.560699,1.46002,0.0584518
